0000000180c67df8 (__TEXT,__text) external _OSAtomicAdd32
0000000180c67e04 (__TEXT,__text) external _OSAtomicAdd32Barrier
0000000180c67e50 (__TEXT,__text) external _OSAtomicAdd64
0000000180c67e5c (__TEXT,__text) external _OSAtomicAdd64Barrier
0000000180c67ea8 (__TEXT,__text) external _OSAtomicAnd32
0000000180c67eb8 (__TEXT,__text) external _OSAtomicAnd32Barrier
0000000180c67ec8 (__TEXT,__text) external _OSAtomicAnd32Orig
0000000180c67ed4 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
0000000180c67f30 (__TEXT,__text) external _OSAtomicCompareAndSwap32
0000000180c67f44 (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000180c67fd0 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000180c67fe4 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
0000000180c67f80 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
0000000180c67f94 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
0000000180c67fa8 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
0000000180c67fbc (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
0000000180c67f58 (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
0000000180c67f6c (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
0000000180c67e30 (__TEXT,__text) external _OSAtomicDecrement32
0000000180c67e40 (__TEXT,__text) external _OSAtomicDecrement32Barrier
0000000180c67e88 (__TEXT,__text) external _OSAtomicDecrement64
0000000180c67e98 (__TEXT,__text) external _OSAtomicDecrement64Barrier
0000000180c681d8 (__TEXT,__text) external _OSAtomicDequeue
0000000180c680f8 (__TEXT,__text) external _OSAtomicEnqueue
0000000180c66368 (__TEXT,__text) external _OSAtomicFifoDequeue
0000000180c6a094 (__TEXT,__text) non-external _OSAtomicFifoDequeue.cold.1
0000000180c662fc (__TEXT,__text) external _OSAtomicFifoEnqueue
0000000180c6a094 (__TEXT,__text) non-external _OSAtomicFifoEnqueue.cold.1
0000000180c67e10 (__TEXT,__text) external _OSAtomicIncrement32
0000000180c67e20 (__TEXT,__text) external _OSAtomicIncrement32Barrier
0000000180c67e68 (__TEXT,__text) external _OSAtomicIncrement64
0000000180c67e78 (__TEXT,__text) external _OSAtomicIncrement64Barrier
0000000180c67ee0 (__TEXT,__text) external _OSAtomicOr32
0000000180c67eec (__TEXT,__text) external _OSAtomicOr32Barrier
0000000180c67ef8 (__TEXT,__text) external _OSAtomicOr32Orig
0000000180c67f00 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
0000000180c68078 (__TEXT,__text) external _OSAtomicTestAndClear
0000000180c680b8 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
0000000180c67ff8 (__TEXT,__text) external _OSAtomicTestAndSet
0000000180c68038 (__TEXT,__text) external _OSAtomicTestAndSetBarrier
0000000180c67f08 (__TEXT,__text) external _OSAtomicXor32
0000000180c67f14 (__TEXT,__text) external _OSAtomicXor32Barrier
0000000180c67f20 (__TEXT,__text) external _OSAtomicXor32Orig
0000000180c67f28 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
0000000180c68234 (__TEXT,__text) external _OSMemoryBarrier
0000000180c668dc (__TEXT,__text) external _OSSpinLockLock
0000000180c668f8 (__TEXT,__text) external _OSSpinLockTry
0000000180c66928 (__TEXT,__text) external _OSSpinLockUnlock
0000000180c6a8ac (__TEXT,__cstring) non-external __0x
0000000180c6a88a (__TEXT,__cstring) non-external __H
0000000180c68270 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
0000000180c6823c (__TEXT,__text) non-external __OSAtomicDequeue_misalign_mte
0000000180c68168 (__TEXT,__text) non-external __OSAtomicDequeue_mte
0000000180c681d8 (__TEXT,__text) non-external __OSAtomicDequeue_plain
0000000180c68140 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
0000000180c66794 (__TEXT,__text) external __OSSpinLockLockSlow
0000000180c6680c (__TEXT,__text) non-external __OSSpinLockLockYield
0000000180c694c0 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
0000000182cd4060 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
0000000180c64000 (__TEXT,__text) external ___libplatform_init
0000000180c67300 (__TEXT,__text) external ___os_once_reset
0000000180c664dc (__TEXT,__text) non-external (was a private external) ___os_security_config_init
0000000180c6a0bc (__TEXT,__text) non-external ___os_security_config_init.cold.1
0000000180c66224 (__TEXT,__text) non-external (was a private external) ___pfz_setup
0000000180c6a7e8 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
0000000180c6a7b0 (__TEXT,__const) non-external (was a private external) ___platformVersionString
0000000180c68304 (__TEXT,__text) external ___platform_sigaction
0000000182cd4048 (__DATA_DIRTY,__data) non-external (was a private external) ___security_config
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
0000000180c64520 (__TEXT,__text) non-external ___simple_bprintf
0000000180c687bc (__TEXT,__text) external ___sme_memchr
0000000180c68b58 (__TEXT,__text) external ___sme_memcpy
0000000180c68c2c (__TEXT,__text) external ___sme_memmove
0000000180c6998c (__TEXT,__text) external ___sme_memset
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wait2 (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180c69be8 (__TEXT,__text) external __ctx_done
0000000180c69f10 (__TEXT,__text) non-external (was a private external) __ctx_start
0000000180c64fb8 (__TEXT,__text) non-external __enlarge
0000000180c6a044 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
0000000180c64e84 (__TEXT,__text) non-external __flush
0000000180c644f0 (__TEXT,__text) non-external __flush_reset
0000000180c6a89b (__TEXT,__cstring) non-external __h
0000000180c683e0 (__TEXT,__text) external __longjmp
0000000180c67954 (__TEXT,__text) non-external __os_alloc
0000000180c6a33c (__TEXT,__text) non-external __os_alloc.cold.1
0000000182cd4058 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
0000000180c67904 (__TEXT,__text) external __os_alloc_once
0000000180c67a10 (__TEXT,__text) non-external __os_alloc_slow
0000000180c6a0dc (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
0000000180c66978 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
0000000180c669c8 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
0000000180c6699c (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
0000000180c669bc (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
0000000180c6729c (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
0000000180c672c0 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
0000000180c672e0 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
0000000180c6a26c (__TEXT,__text) non-external __os_lock_recursive_abort
0000000180c66930 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
0000000180c66950 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
0000000180c6696c (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
0000000180c6a7f0 (__TEXT,__const) non-external __os_lock_type_base
0000000182d60bc0 (__AUTH_CONST,__const) external __os_lock_type_eliding
0000000182d60be0 (__AUTH_CONST,__const) external __os_lock_type_handoff
0000000182d60c20 (__AUTH_CONST,__const) external __os_lock_type_nospin
0000000182d60bc0 (__AUTH_CONST,__const) external __os_lock_type_spin
0000000182d60bc0 (__AUTH_CONST,__const) external __os_lock_type_transactional
0000000182d60c00 (__AUTH_CONST,__const) external __os_lock_type_unfair
0000000180c6702c (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
0000000180c67058 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
0000000180c67078 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
0000000180c67098 (__TEXT,__text) external __os_nospin_lock_lock
0000000180c670b8 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
0000000180c671b4 (__TEXT,__text) external __os_nospin_lock_trylock
0000000180c671d0 (__TEXT,__text) external __os_nospin_lock_unlock
0000000180c671ec (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
0000000180c673c8 (__TEXT,__text) external __os_once
0000000180c6a318 (__TEXT,__text) non-external __os_once.cold.1
0000000180c67420 (__TEXT,__text) non-external __os_once_callout
0000000180c6731c (__TEXT,__text) non-external __os_once_gate_broadcast
0000000180c6a244 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
0000000180c6a1f4 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
0000000180c6a21c (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
0000000180c67494 (__TEXT,__text) non-external __os_once_gate_wait
0000000180c67d1c (__TEXT,__text) external __os_semaphore_create
0000000180c6a364 (__TEXT,__text) non-external __os_semaphore_create.cold.1
0000000180c6a38c (__TEXT,__text) non-external __os_semaphore_create.cold.2
0000000180c67d70 (__TEXT,__text) external __os_semaphore_dispose
0000000180c6a3b4 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
0000000180c67da0 (__TEXT,__text) external __os_semaphore_signal
0000000180c6a3dc (__TEXT,__text) non-external __os_semaphore_signal.cold.1
0000000180c67dc0 (__TEXT,__text) external __os_semaphore_wait
0000000180c6a404 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
0000000180c6a154 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
0000000180c66ab4 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
0000000180c6a104 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
0000000180c66c8c (__TEXT,__text) non-external __os_unfair_lock_trylock_with_options_slow
0000000180c66d64 (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
0000000180c6a12c (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
0000000180c694c0 (__TEXT,__text) external __platform_bzero
0000000180c68610 (__TEXT,__text) external __platform_memccpy
0000000180c69040 (__TEXT,__text) external __platform_memchr
0000000180c69150 (__TEXT,__text) external __platform_memcmp
0000000180c69600 (__TEXT,__text) external __platform_memcmp_zero_aligned8
0000000180c68890 (__TEXT,__text) external __platform_memmove
0000000180c69520 (__TEXT,__text) external __platform_memset
0000000180c69700 (__TEXT,__text) external __platform_memset_pattern16
0000000180c696c0 (__TEXT,__text) external __platform_memset_pattern4
0000000180c696e0 (__TEXT,__text) external __platform_memset_pattern8
0000000180c69ae0 (__TEXT,__text) external __platform_strchr
0000000180c69a54 (__TEXT,__text) external __platform_strcmp
0000000180c68d50 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$Base
0000000180c69890 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$MTE
0000000180c68554 (__TEXT,__text) external __platform_strcpy
0000000182d60b38 (__AUTH_CONST,__const) non-external __platform_string_functions
0000000180c68720 (__TEXT,__text) external __platform_strlcat
0000000180c68594 (__TEXT,__text) external __platform_strlcpy
0000000180c69340 (__TEXT,__text) external __platform_strlen
0000000180c69a88 (__TEXT,__text) external __platform_strncmp
0000000180c693b0 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$Base
0000000180c68e50 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$MTE
0000000180c68698 (__TEXT,__text) external __platform_strncpy
0000000180c692a0 (__TEXT,__text) external __platform_strnlen
0000000180c684cc (__TEXT,__text) external __platform_strstr
0000000180c69e7c (__TEXT,__text) non-external (was a private external) __setcontext
0000000180c68380 (__TEXT,__text) external __setjmp
0000000180c682b0 (__TEXT,__text) non-external (was a private external) __sigtramp
0000000180c68294 (__TEXT,__text) non-external (was a private external) __sigunaltstack
0000000180c6428c (__TEXT,__text) non-external __simple_asl_escape_key
0000000180c64300 (__TEXT,__text) non-external __simple_asl_escape_val
0000000180c64488 (__TEXT,__text) external __simple_asl_log
0000000180c643a8 (__TEXT,__text) external __simple_asl_log_prog
0000000180c640f4 (__TEXT,__text) external __simple_asl_msg_new
