00007ff8400ac238 (__DATA,__bss) non-external _GlobalMajor
00007ff8400ac23c (__DATA,__bss) non-external _GlobalMinor
00007ff8400ac240 (__DATA,__bss) non-external _GlobalSubminor
00007ff8400ac230 (__DATA,__bss) non-external _OSOnceCounter
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff800b350ee (__TEXT,__text) external ___absvdi2
00007ff800b35117 (__TEXT,__text) external ___absvsi2
00007ff800b3513c (__TEXT,__text) external ___absvti2
00007ff800b3517c (__TEXT,__text) external ___addvdi3
00007ff800b351c2 (__TEXT,__text) external ___addvsi3
00007ff800b35204 (__TEXT,__text) external ___addvti3
00007ff800b35261 (__TEXT,__text) external ___ashldi3
00007ff800b3528d (__TEXT,__text) external ___ashlti3
00007ff800b352b5 (__TEXT,__text) external ___ashrdi3
00007ff800b352e6 (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff800b3557c (__TEXT,__text) external ___atomic_compare_exchange
00007ff800b35abc (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff800b35b08 (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff800b35b54 (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff800b35ba0 (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff800b357bc (__TEXT,__text) external ___atomic_exchange
00007ff800b359ee (__TEXT,__text) external ___atomic_exchange_1
00007ff800b35a24 (__TEXT,__text) external ___atomic_exchange_2
00007ff800b35a58 (__TEXT,__text) external ___atomic_exchange_4
00007ff800b35a88 (__TEXT,__text) external ___atomic_exchange_8
00007ff800b35bec (__TEXT,__text) external ___atomic_fetch_add_1
00007ff800b35c24 (__TEXT,__text) external ___atomic_fetch_add_2
00007ff800b35c58 (__TEXT,__text) external ___atomic_fetch_add_4
00007ff800b35c8c (__TEXT,__text) external ___atomic_fetch_add_8
00007ff800b35d9c (__TEXT,__text) external ___atomic_fetch_and_1
00007ff800b35e14 (__TEXT,__text) external ___atomic_fetch_and_2
00007ff800b35e94 (__TEXT,__text) external ___atomic_fetch_and_4
00007ff800b35f04 (__TEXT,__text) external ___atomic_fetch_and_8
00007ff800b35f88 (__TEXT,__text) external ___atomic_fetch_or_1
00007ff800b36000 (__TEXT,__text) external ___atomic_fetch_or_2
00007ff800b36080 (__TEXT,__text) external ___atomic_fetch_or_4
00007ff800b360f0 (__TEXT,__text) external ___atomic_fetch_or_8
00007ff800b35cc0 (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff800b35cf8 (__TEXT,__text) external ___atomic_fetch_sub_2
00007ff800b35d30 (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff800b35d64 (__TEXT,__text) external ___atomic_fetch_sub_8
00007ff800b36174 (__TEXT,__text) external ___atomic_fetch_xor_1
00007ff800b361ec (__TEXT,__text) external ___atomic_fetch_xor_2
