000000018d290990 (__TEXT,__const) non-external _SHA256_K
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018d283008 (__TEXT,__text) non-external _alone_decode
000000018d2832b8 (__TEXT,__text) non-external _alone_decoder_end
000000018d2832f8 (__TEXT,__text) non-external _alone_decoder_memconfig
000000018d281f90 (__TEXT,__text) non-external _alone_encode
000000018d2820c4 (__TEXT,__text) non-external _alone_encoder_end
000000018d281e1c (__TEXT,__text) non-external _alone_encoder_init
000000018d28c4c0 (__TEXT,__text) non-external _arm_code
000000018d28c598 (__TEXT,__text) non-external _armthumb_code
000000018d283528 (__TEXT,__text) non-external _auto_decode
000000018d283684 (__TEXT,__text) non-external _auto_decoder_end
000000018d2836c4 (__TEXT,__text) non-external _auto_decoder_get_check
000000018d28341c (__TEXT,__text) non-external _auto_decoder_init
000000018d2836dc (__TEXT,__text) non-external _auto_decoder_memconfig
000000018d2839e8 (__TEXT,__text) non-external _block_decode
000000018d283c10 (__TEXT,__text) non-external _block_decoder_end
000000018d27cd74 (__TEXT,__text) non-external _block_encode
000000018d282340 (__TEXT,__text) non-external _block_encode_normal
000000018d2824f4 (__TEXT,__text) non-external _block_encode_uncompressed
000000018d280fa8 (__TEXT,__text) non-external _block_encoder_end
000000018d27afbc (__TEXT,__text) non-external _block_encoder_init
000000018d28269c (__TEXT,__text) non-external _block_encoder_update
000000018d27fe30 (__TEXT,__text) non-external _bt_find_func
000000018d27dcb4 (__TEXT,__text) non-external _bt_skip_func
                 (undefined) external _bzero (from libSystem)
000000018d28be0c (__TEXT,__text) non-external _copy_or_code
000000018d2875f8 (__TEXT,__text) non-external _decode_buffer
000000018d284110 (__TEXT,__text) non-external _decoder_find
00000001dd8f8c48 (__AUTH_CONST,__const) non-external _decoders
000000018d28b6a8 (__TEXT,__text) non-external _delta_coder_end
000000018d28b8cc (__TEXT,__text) non-external _delta_decode
000000018d28b738 (__TEXT,__text) non-external _delta_encode
000000018d28b868 (__TEXT,__text) non-external _delta_encoder_update
000000018d27b5f8 (__TEXT,__text) non-external _encoder_find
00000001dd8f8a50 (__AUTH_CONST,__const) non-external _encoders
000000018d28c830 (__TEXT,__const) non-external _features
                 (undefined) external _free (from libSystem)
000000018d283e98 (__TEXT,__text) non-external _free_properties
000000018d27ff54 (__TEXT,__text) non-external _get_literal_price
