                 (undefined) external _AnalyticsSendEvent (from CoreAnalytics)
                 (undefined) external _CC_SHA256 (from libSystem)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _OBJC_CLASS_$_GEOCountryConfiguration (from GeoServices)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHTTPURLResponse (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_OS_dispatch_queue (from libSystem)
                 (undefined) external _OBJC_CLASS_$_OS_os_log (from libSystem)
                 (undefined) external _OBJC_CLASS_$_RBSAssertion (from RunningBoardServices)
                 (undefined) external _OBJC_CLASS_$_RBSAttribute (from RunningBoardServices)
                 (undefined) external _OBJC_CLASS_$_RBSDomainAttribute (from RunningBoardServices)
                 (undefined) external _OBJC_CLASS_$_RBSTarget (from RunningBoardServices)
00000002993e4870 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SAAssetManagerFactory
00000002993e4898 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SADeviceInfo
00000002993e48c0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SATrialExperiment
                 (undefined) external _OBJC_CLASS_$_UAFAsset (from UnifiedAssetFramework)
                 (undefined) external _OBJC_CLASS_$_UAFAssetSetManager (from UnifiedAssetFramework)
                 (undefined) external _OBJC_CLASS_$_UAFAssetSetSubscription (from UnifiedAssetFramework)
                 (undefined) external _OBJC_CLASS_$__PASBloomFilter (from ProactiveSupport)
00000002993e4768 (__DATA_DIRTY,__objc_data) non-external (was a private external) _OBJC_CLASS_$__TtC12SearchAssets29SASafariAssistantAssetManager
00000002993e4808 (__DATA_DIRTY,__objc_data) non-external (was a private external) _OBJC_CLASS_$__TtC12SearchAssets41PrefilterSafariSummarizationPrefetchModel
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000002993e5040 (__DATA_DIRTY,__data) external _OBJC_METACLASS_$_SAAssetManagerFactory
00000002993e50d8 (__DATA_DIRTY,__data) external _OBJC_METACLASS_$_SADeviceInfo
00000002993e5100 (__DATA_DIRTY,__data) external _OBJC_METACLASS_$_SATrialExperiment
00000002993e4930 (__DATA_DIRTY,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC12SearchAssets29SASafariAssistantAssetManager
00000002993e4958 (__DATA_DIRTY,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC12SearchAssets41PrefilterSafariSummarizationPrefetchModel
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
00000002677ff0e0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002677ff270 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002677ff764 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000267800cb4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026780afb0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026780b8e0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000267811850 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002678134b0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026781708c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000267817900 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002677ff0e0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002677ff0fc (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002677ff788 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000267800ccc (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
