                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
0000000283727ccc (__TEXT,__text) external __crypt_blowfish_rn
0000000283729eac (__TEXT,__text) external __crypt_gensalt_blowfish_rn
0000000283727c80 (__TEXT,__text) external __crypt_output_magic
                 (undefined) external _abort (from libSystem)
                 (undefined) external _apr_allocator_alloc (from libapr-1)
                 (undefined) external _apr_allocator_free (from libapr-1)
                 (undefined) external _apr_array_make (from libapr-1)
                 (undefined) external _apr_array_push (from libapr-1)
                 (undefined) external _apr_atoi64 (from libapr-1)
                 (undefined) external _apr_atomic_dec32 (from libapr-1)
                 (undefined) external _apr_atomic_inc32 (from libapr-1)
                 (undefined) external _apr_atomic_read32 (from libapr-1)
                 (undefined) external _apr_atomic_set32 (from libapr-1)
000000028372c954 (__TEXT,__text) external _apr_base64_decode
000000028372c97c (__TEXT,__text) external _apr_base64_decode_binary
000000028372c914 (__TEXT,__text) external _apr_base64_decode_len
000000028372cad4 (__TEXT,__text) external _apr_base64_encode
000000028372cad8 (__TEXT,__text) external _apr_base64_encode_binary
000000028372caac (__TEXT,__text) external _apr_base64_encode_len
0000000283726bf4 (__TEXT,__text) external _apr_bcrypt_encode
00000002837228c0 (__TEXT,__text) external _apr_brigade_cleanup
0000000283722994 (__TEXT,__text) external _apr_brigade_create
0000000283722930 (__TEXT,__text) external _apr_brigade_destroy
0000000283722ce0 (__TEXT,__text) external _apr_brigade_flatten
000000028372382c (__TEXT,__text) external _apr_brigade_insert_file
0000000283722c2c (__TEXT,__text) external _apr_brigade_length
0000000283722b10 (__TEXT,__text) external _apr_brigade_partition
0000000283722db8 (__TEXT,__text) external _apr_brigade_pflatten
00000002837236cc (__TEXT,__text) external _apr_brigade_printf
0000000283723614 (__TEXT,__text) external _apr_brigade_putc
0000000283723640 (__TEXT,__text) external _apr_brigade_puts
00000002837236a0 (__TEXT,__text) external _apr_brigade_putstrs
0000000283722b08 (__TEXT,__text) external _apr_brigade_split
0000000283722a10 (__TEXT,__text) external _apr_brigade_split_ex
0000000283722e34 (__TEXT,__text) external _apr_brigade_split_line
0000000283723178 (__TEXT,__text) external _apr_brigade_to_iovec
00000002837236f8 (__TEXT,__text) external _apr_brigade_vprintf
0000000283723224 (__TEXT,__text) external _apr_brigade_vputstrs
0000000283722fc4 (__TEXT,__text) external _apr_brigade_write
0000000283723320 (__TEXT,__text) external _apr_brigade_writev
