00000001ac803988 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001ac8039ac (__TEXT,__text) non-external +[AMFI preflightBinary:withPlatform:error:]
00000001ac7f4e58 (__TEXT,__text) non-external +[AppWrapper checkAppWrapperWithURL:withProcessURL:]
00000001ac805774 (__TEXT,__text) non-external +[AppWrapper checkAppWrapperWithURL:withProcessURL:].cold.1
00000001ac8057fc (__TEXT,__text) non-external +[AppWrapper checkAppWrapperWithURL:withProcessURL:].cold.2
00000001ac7f4cfc (__TEXT,__text) non-external +[AppWrapper isAppWrapper:]
00000001ac7f5034 (__TEXT,__text) non-external +[AppWrapper wrappedAppURL:]
00000001ac803e60 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:]
00000001ac806dd4 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.1
00000001ac806e38 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.2
00000001ac804120 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperProfileIsTrusted:]
00000001ac8033dc (__TEXT,__text) non-external +[GKScanResult supportsSecureCoding]
00000001ac7fcde8 (__TEXT,__text) non-external +[MIS currentDeviceID]
00000001ac80619c (__TEXT,__text) non-external +[MIS currentDeviceID].cold.1
00000001ac7fce84 (__TEXT,__text) non-external +[MIS findProvisioningProfile:]
00000001ac7fd3a0 (__TEXT,__text) non-external +[MIS installProvisioningProfile:]
00000001ac806304 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.1
00000001ac8061fc (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.2
00000001ac7fcdc8 (__TEXT,__text) non-external +[MIS isAvailable]
00000001ac7fd2b4 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:]
00000001ac8062d8 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.1
00000001ac8061fc (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.2
00000001ac7fd200 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:]
00000001ac8062ac (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:].cold.1
00000001ac7fd010 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:]
00000001ac8061b0 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
00000001ac8061fc (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
00000001ac806228 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00000001ac806254 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00000001ac7fd5b4 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00000001ac80640c (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
00000001ac80647c (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
00000001ac7fd498 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
