0000000225bc2acc (__TEXT,__text) external _CGLGetCurrentContext
0000000225bc2aac (__TEXT,__text) external _CGLSetCurrentContext
0000000225bb9430 (__TEXT,__text) external _glAccum
0000000225bbf07c (__TEXT,__text) external _glActiveShaderProgram
0000000225bc1554 (__TEXT,__text) external _glActiveStencilFaceEXT
0000000225bbbe84 (__TEXT,__text) external _glActiveTexture
0000000225bc0370 (__TEXT,__text) external _glActiveTextureARB
0000000225bb9444 (__TEXT,__text) external _glAlphaFunc
0000000225bb945c (__TEXT,__text) external _glAreTexturesResident
0000000225bb947c (__TEXT,__text) external _glArrayElement
0000000225bc0e20 (__TEXT,__text) external _glAttachObjectARB
0000000225bbd130 (__TEXT,__text) external _glAttachShader
0000000225bb9494 (__TEXT,__text) external _glBegin
0000000225bbdc90 (__TEXT,__text) external _glBeginConditionalRender
0000000225bc29ec (__TEXT,__text) external _glBeginConditionalRenderNV
0000000225bbc98c (__TEXT,__text) external _glBeginQuery
0000000225bc0b8c (__TEXT,__text) external _glBeginQueryARB
0000000225bbee70 (__TEXT,__text) external _glBeginQueryIndexed
0000000225bbdbac (__TEXT,__text) external _glBeginTransformFeedback
0000000225bc1cf8 (__TEXT,__text) external _glBeginTransformFeedbackEXT
0000000225bbd5b8 (__TEXT,__text) external _glBindAttribLocation
0000000225bc1210 (__TEXT,__text) external _glBindAttribLocationARB
0000000225bbca20 (__TEXT,__text) external _glBindBuffer
0000000225bc0c20 (__TEXT,__text) external _glBindBufferARB
0000000225bbdc00 (__TEXT,__text) external _glBindBufferBase
0000000225bc1cd8 (__TEXT,__text) external _glBindBufferBaseEXT
0000000225bc1cb4 (__TEXT,__text) external _glBindBufferOffsetEXT
0000000225bbdbd8 (__TEXT,__text) external _glBindBufferRange
0000000225bc1c8c (__TEXT,__text) external _glBindBufferRangeEXT
0000000225bbdfa8 (__TEXT,__text) external _glBindFragDataLocation
0000000225bc2200 (__TEXT,__text) external _glBindFragDataLocationEXT
0000000225bbe644 (__TEXT,__text) external _glBindFragDataLocationIndexed
0000000225bbd850 (__TEXT,__text) external _glBindFramebuffer
0000000225bc1a2c (__TEXT,__text) external _glBindFramebufferEXT
0000000225bbfae4 (__TEXT,__text) external _glBindProgramARB
0000000225bbf0b8 (__TEXT,__text) external _glBindProgramPipeline
0000000225bbd7a0 (__TEXT,__text) external _glBindRenderbuffer
0000000225bc197c (__TEXT,__text) external _glBindRenderbufferEXT
0000000225bbe6d4 (__TEXT,__text) external _glBindSampler
0000000225bb94ac (__TEXT,__text) external _glBindTexture
0000000225bbeda0 (__TEXT,__text) external _glBindTransformFeedback
0000000225bbda88 (__TEXT,__text) external _glBindVertexArray
0000000225bc26d8 (__TEXT,__text) external _glBindVertexArrayAPPLE
0000000225bb94c8 (__TEXT,__text) external _glBitmap
0000000225bbb87c (__TEXT,__text) external _glBlendColor
0000000225bc191c (__TEXT,__text) external _glBlendColorEXT
0000000225bbb890 (__TEXT,__text) external _glBlendEquation
0000000225bc1930 (__TEXT,__text) external _glBlendEquationEXT
0000000225bbd694 (__TEXT,__text) external _glBlendEquationSeparate
0000000225bc2978 (__TEXT,__text) external _glBlendEquationSeparateATI
0000000225bc1948 (__TEXT,__text) external _glBlendEquationSeparateEXT
0000000225bbef00 (__TEXT,__text) external _glBlendEquationSeparatei
0000000225bc134c (__TEXT,__text) external _glBlendEquationSeparateiARB
0000000225bbeee4 (__TEXT,__text) external _glBlendEquationi
0000000225bc1330 (__TEXT,__text) external _glBlendEquationiARB
0000000225bb94e8 (__TEXT,__text) external _glBlendFunc
0000000225bbc744 (__TEXT,__text) external _glBlendFuncSeparate
0000000225bc18ac (__TEXT,__text) external _glBlendFuncSeparateEXT
0000000225bbef40 (__TEXT,__text) external _glBlendFuncSeparatei
0000000225bc138c (__TEXT,__text) external _glBlendFuncSeparateiARB
0000000225bbef20 (__TEXT,__text) external _glBlendFunci
0000000225bc136c (__TEXT,__text) external _glBlendFunciARB
0000000225bbd998 (__TEXT,__text) external _glBlitFramebuffer
0000000225bc1b74 (__TEXT,__text) external _glBlitFramebufferEXT
0000000225bbca8c (__TEXT,__text) external _glBufferData
0000000225bc0c8c (__TEXT,__text) external _glBufferDataARB
0000000225bc2830 (__TEXT,__text) external _glBufferParameteriAPPLE
0000000225bbcab0 (__TEXT,__text) external _glBufferSubData
0000000225bc0cb0 (__TEXT,__text) external _glBufferSubDataARB
0000000225bb9504 (__TEXT,__text) external _glCallList
0000000225bb951c (__TEXT,__text) external _glCallLists
0000000225bbd8a4 (__TEXT,__text) external _glCheckFramebufferStatus
0000000225bc1a80 (__TEXT,__text) external _glCheckFramebufferStatusEXT
0000000225bbdc74 (__TEXT,__text) external _glClampColor
0000000225bc1298 (__TEXT,__text) external _glClampColorARB
0000000225bb953c (__TEXT,__text) external _glClear
0000000225bb9554 (__TEXT,__text) external _glClearAccum
0000000225bbe1cc (__TEXT,__text) external _glClearBufferfi
0000000225bbe1ac (__TEXT,__text) external _glClearBufferfv
0000000225bbe16c (__TEXT,__text) external _glClearBufferiv
0000000225bbe18c (__TEXT,__text) external _glClearBufferuiv
0000000225bb9568 (__TEXT,__text) external _glClearColor
0000000225bc223c (__TEXT,__text) external _glClearColorIiEXT
0000000225bc2260 (__TEXT,__text) external _glClearColorIuiEXT
0000000225bb957c (__TEXT,__text) external _glClearDepth
0000000225bbefdc (__TEXT,__text) external _glClearDepthf
0000000225bb9590 (__TEXT,__text) external _glClearIndex
0000000225bb95a4 (__TEXT,__text) external _glClearStencil
0000000225bbbe6c (__TEXT,__text) external _glClientActiveTexture
0000000225bc0358 (__TEXT,__text) external _glClientActiveTextureARB
0000000225bbe4c4 (__TEXT,__text) external _glClientWaitSync
0000000225bb95bc (__TEXT,__text) external _glClipPlane
0000000225bb95d8 (__TEXT,__text) external _glColor3b
0000000225bb95f8 (__TEXT,__text) external _glColor3bv
0000000225bb9610 (__TEXT,__text) external _glColor3d
0000000225bb9624 (__TEXT,__text) external _glColor3dv
0000000225bb963c (__TEXT,__text) external _glColor3f
0000000225bb9650 (__TEXT,__text) external _glColor3fv
0000000225bb9668 (__TEXT,__text) external _glColor3i
0000000225bb9688 (__TEXT,__text) external _glColor3iv
0000000225bb96a0 (__TEXT,__text) external _glColor3s
0000000225bb96c0 (__TEXT,__text) external _glColor3sv
0000000225bb96d8 (__TEXT,__text) external _glColor3ub
0000000225bb96f8 (__TEXT,__text) external _glColor3ubv
0000000225bb9710 (__TEXT,__text) external _glColor3ui
0000000225bb9730 (__TEXT,__text) external _glColor3uiv
0000000225bb9748 (__TEXT,__text) external _glColor3us
0000000225bb9768 (__TEXT,__text) external _glColor3usv
0000000225bb9780 (__TEXT,__text) external _glColor4b
0000000225bb97a4 (__TEXT,__text) external _glColor4bv
0000000225bb97bc (__TEXT,__text) external _glColor4d
0000000225bb97d0 (__TEXT,__text) external _glColor4dv
0000000225bb97e8 (__TEXT,__text) external _glColor4f
0000000225bb97fc (__TEXT,__text) external _glColor4fv
0000000225bb9814 (__TEXT,__text) external _glColor4i
0000000225bb9838 (__TEXT,__text) external _glColor4iv
0000000225bb9850 (__TEXT,__text) external _glColor4s
0000000225bb9874 (__TEXT,__text) external _glColor4sv
0000000225bb988c (__TEXT,__text) external _glColor4ub
0000000225bb98b0 (__TEXT,__text) external _glColor4ubv
0000000225bb98c8 (__TEXT,__text) external _glColor4ui
0000000225bb98ec (__TEXT,__text) external _glColor4uiv
0000000225bb9904 (__TEXT,__text) external _glColor4us
0000000225bb9928 (__TEXT,__text) external _glColor4usv
0000000225bb9940 (__TEXT,__text) external _glColorMask
0000000225bc2304 (__TEXT,__text) external _glColorMaskIndexedEXT
0000000225bbdaf0 (__TEXT,__text) external _glColorMaski
0000000225bb9964 (__TEXT,__text) external _glColorMaterial
0000000225bb9980 (__TEXT,__text) external _glColorPointer
0000000225bbbac4 (__TEXT,__text) external _glColorSubTable
0000000225bc15ac (__TEXT,__text) external _glColorSubTableEXT
0000000225bbb9cc (__TEXT,__text) external _glColorTable
0000000225bc1580 (__TEXT,__text) external _glColorTableEXT
0000000225bbb9f8 (__TEXT,__text) external _glColorTableParameterfv
0000000225bbba18 (__TEXT,__text) external _glColorTableParameteriv
0000000225bc2a78 (__TEXT,__text) external _glCombinerInputNV
0000000225bc2a7c (__TEXT,__text) external _glCombinerOutputNV
0000000225bc2a6c (__TEXT,__text) external _glCombinerParameterfNV
0000000225bc2a68 (__TEXT,__text) external _glCombinerParameterfvNV
0000000225bc2a74 (__TEXT,__text) external _glCombinerParameteriNV
0000000225bc2a70 (__TEXT,__text) external _glCombinerParameterivNV
0000000225bc2a9c (__TEXT,__text) external _glCombinerStageParameterfvNV
0000000225bbd0ec (__TEXT,__text) external _glCompileShader
0000000225bc0df4 (__TEXT,__text) external _glCompileShaderARB
0000000225bc13f8 (__TEXT,__text) external _glCompileShaderIncludeARB
0000000225bbc33c (__TEXT,__text) external _glCompressedTexImage1D
0000000225bc0828 (__TEXT,__text) external _glCompressedTexImage1DARB
0000000225bbc2e8 (__TEXT,__text) external _glCompressedTexImage2D
0000000225bc07d4 (__TEXT,__text) external _glCompressedTexImage2DARB
0000000225bbc28c (__TEXT,__text) external _glCompressedTexImage3D
0000000225bc0778 (__TEXT,__text) external _glCompressedTexImage3DARB
0000000225bbc42c (__TEXT,__text) external _glCompressedTexSubImage1D
0000000225bc0918 (__TEXT,__text) external _glCompressedTexSubImage1DARB
0000000225bbc3d0 (__TEXT,__text) external _glCompressedTexSubImage2D
0000000225bc08bc (__TEXT,__text) external _glCompressedTexSubImage2DARB
0000000225bbc36c (__TEXT,__text) external _glCompressedTexSubImage3D
0000000225bc0858 (__TEXT,__text) external _glCompressedTexSubImage3DARB
0000000225bbbb18 (__TEXT,__text) external _glConvolutionFilter1D
0000000225bbbb44 (__TEXT,__text) external _glConvolutionFilter2D
0000000225bbbb74 (__TEXT,__text) external _glConvolutionParameterf
0000000225bbbb90 (__TEXT,__text) external _glConvolutionParameterfv
0000000225bbbbb0 (__TEXT,__text) external _glConvolutionParameteri
0000000225bbbbd0 (__TEXT,__text) external _glConvolutionParameteriv
0000000225bbe208 (__TEXT,__text) external _glCopyBufferSubData
0000000225bbbaf0 (__TEXT,__text) external _glCopyColorSubTable
0000000225bbba38 (__TEXT,__text) external _glCopyColorTable
0000000225bbbbf0 (__TEXT,__text) external _glCopyConvolutionFilter1D
0000000225bbbc18 (__TEXT,__text) external _glCopyConvolutionFilter2D
0000000225bb99a4 (__TEXT,__text) external _glCopyPixels
0000000225bb99cc (__TEXT,__text) external _glCopyTexImage1D
0000000225bb99fc (__TEXT,__text) external _glCopyTexImage2D
0000000225bb9a50 (__TEXT,__text) external _glCopyTexSubImage1D
0000000225bb9a7c (__TEXT,__text) external _glCopyTexSubImage2D
0000000225bbb974 (__TEXT,__text) external _glCopyTexSubImage3D
0000000225bbd108 (__TEXT,__text) external _glCreateProgram
0000000225bc0e0c (__TEXT,__text) external _glCreateProgramObjectARB
0000000225bbd098 (__TEXT,__text) external _glCreateShader
0000000225bc0db8 (__TEXT,__text) external _glCreateShaderObjectARB
0000000225bbf098 (__TEXT,__text) external _glCreateShaderProgramv
0000000225bb9ad0 (__TEXT,__text) external _glCullFace
0000000225bbca3c (__TEXT,__text) external _glDeleteBuffers
0000000225bc0c3c (__TEXT,__text) external _glDeleteBuffersARB
0000000225bc25d0 (__TEXT,__text) external _glDeleteFencesAPPLE
0000000225bbd86c (__TEXT,__text) external _glDeleteFramebuffers
0000000225bc1a48 (__TEXT,__text) external _glDeleteFramebuffersEXT
0000000225bb9ae8 (__TEXT,__text) external _glDeleteLists
0000000225bc13dc (__TEXT,__text) external _glDeleteNamedStringARB
0000000225bc0d6c (__TEXT,__text) external _glDeleteObjectARB
0000000225bbd18c (__TEXT,__text) external _glDeleteProgram
0000000225bbf0d0 (__TEXT,__text) external _glDeleteProgramPipelines
0000000225bbfb00 (__TEXT,__text) external _glDeleteProgramsARB
0000000225bbc958 (__TEXT,__text) external _glDeleteQueries
0000000225bc0b58 (__TEXT,__text) external _glDeleteQueriesARB
0000000225bbd7bc (__TEXT,__text) external _glDeleteRenderbuffers
0000000225bc1998 (__TEXT,__text) external _glDeleteRenderbuffersEXT
0000000225bbe6a0 (__TEXT,__text) external _glDeleteSamplers
0000000225bbd058 (__TEXT,__text) external _glDeleteShader
0000000225bbe4ac (__TEXT,__text) external _glDeleteSync
0000000225bb9b04 (__TEXT,__text) external _glDeleteTextures
0000000225bbedbc (__TEXT,__text) external _glDeleteTransformFeedbacks
0000000225bbdaa0 (__TEXT,__text) external _glDeleteVertexArrays
0000000225bc26f0 (__TEXT,__text) external _glDeleteVertexArraysAPPLE
0000000225bc156c (__TEXT,__text) external _glDepthBoundsEXT
0000000225bb9b20 (__TEXT,__text) external _glDepthFunc
0000000225bb9b38 (__TEXT,__text) external _glDepthMask
0000000225bb9b50 (__TEXT,__text) external _glDepthRange
0000000225bbfa6c (__TEXT,__text) external _glDepthRangeArrayv
0000000225bbfa8c (__TEXT,__text) external _glDepthRangeIndexed
0000000225bbefc8 (__TEXT,__text) external _glDepthRangef
0000000225bc0d9c (__TEXT,__text) external _glDetachObjectARB
0000000225bbd074 (__TEXT,__text) external _glDetachShader
0000000225bb9b64 (__TEXT,__text) external _glDisable
0000000225bb9b7c (__TEXT,__text) external _glDisableClientState
0000000225bc2348 (__TEXT,__text) external _glDisableIndexedEXT
0000000225bc248c (__TEXT,__text) external _glDisableVertexAttribAPPLE
0000000225bbcfc0 (__TEXT,__text) external _glDisableVertexAttribArray
0000000225bbff88 (__TEXT,__text) external _glDisableVertexAttribArrayARB
0000000225bbdb74 (__TEXT,__text) external _glDisablei
0000000225bb9b94 (__TEXT,__text) external _glDrawArrays
0000000225bbe9c4 (__TEXT,__text) external _glDrawArraysIndirect
0000000225bbe32c (__TEXT,__text) external _glDrawArraysInstanced
0000000225bc12d0 (__TEXT,__text) external _glDrawArraysInstancedARB
0000000225bb9bb4 (__TEXT,__text) external _glDrawBuffer
0000000225bbcb6c (__TEXT,__text) external _glDrawBuffers
0000000225bc127c (__TEXT,__text) external _glDrawBuffersARB
0000000225bc275c (__TEXT,__text) external _glDrawElementArrayAPPLE
0000000225bb9bcc (__TEXT,__text) external _glDrawElements
0000000225bbe3b0 (__TEXT,__text) external _glDrawElementsBaseVertex
0000000225bbe9e0 (__TEXT,__text) external _glDrawElementsIndirect
0000000225bbe350 (__TEXT,__text) external _glDrawElementsInstanced
0000000225bc12f4 (__TEXT,__text) external _glDrawElementsInstancedARB
0000000225bbe408 (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
0000000225bb9bf0 (__TEXT,__text) external _glDrawPixels
0000000225bc277c (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
0000000225bbb8a8 (__TEXT,__text) external _glDrawRangeElements
0000000225bbe3d8 (__TEXT,__text) external _glDrawRangeElementsBaseVertex
0000000225bc1880 (__TEXT,__text) external _glDrawRangeElementsEXT
0000000225bbee34 (__TEXT,__text) external _glDrawTransformFeedback
0000000225bbee50 (__TEXT,__text) external _glDrawTransformFeedbackStream
0000000225bb9c18 (__TEXT,__text) external _glEdgeFlag
0000000225bb9c30 (__TEXT,__text) external _glEdgeFlagPointer
0000000225bb9c4c (__TEXT,__text) external _glEdgeFlagv
0000000225bc2740 (__TEXT,__text) external _glElementPointerAPPLE
0000000225bb9c64 (__TEXT,__text) external _glEnable
0000000225bb9c7c (__TEXT,__text) external _glEnableClientState
0000000225bc232c (__TEXT,__text) external _glEnableIndexedEXT
0000000225bc2470 (__TEXT,__text) external _glEnableVertexAttribAPPLE
0000000225bbcfa8 (__TEXT,__text) external _glEnableVertexAttribArray
0000000225bbff70 (__TEXT,__text) external _glEnableVertexAttribArrayARB
0000000225bbdb58 (__TEXT,__text) external _glEnablei
0000000225bb9c94 (__TEXT,__text) external _glEnd
0000000225bbdcac (__TEXT,__text) external _glEndConditionalRender
0000000225bc2a08 (__TEXT,__text) external _glEndConditionalRenderNV
0000000225bb9ca8 (__TEXT,__text) external _glEndList
0000000225bbc9a8 (__TEXT,__text) external _glEndQuery
0000000225bc0ba8 (__TEXT,__text) external _glEndQueryARB
0000000225bbee90 (__TEXT,__text) external _glEndQueryIndexed
0000000225bbdbc4 (__TEXT,__text) external _glEndTransformFeedback
0000000225bc1d10 (__TEXT,__text) external _glEndTransformFeedbackEXT
0000000225bb9cbc (__TEXT,__text) external _glEvalCoord1d
0000000225bb9cd0 (__TEXT,__text) external _glEvalCoord1dv
0000000225bb9ce8 (__TEXT,__text) external _glEvalCoord1f
0000000225bb9cfc (__TEXT,__text) external _glEvalCoord1fv
0000000225bb9d14 (__TEXT,__text) external _glEvalCoord2d
0000000225bb9d28 (__TEXT,__text) external _glEvalCoord2dv
0000000225bb9d40 (__TEXT,__text) external _glEvalCoord2f
0000000225bb9d54 (__TEXT,__text) external _glEvalCoord2fv
0000000225bb9d6c (__TEXT,__text) external _glEvalMesh1
0000000225bb9d8c (__TEXT,__text) external _glEvalMesh2
0000000225bb9db4 (__TEXT,__text) external _glEvalPoint1
0000000225bb9dcc (__TEXT,__text) external _glEvalPoint2
0000000225bb9de8 (__TEXT,__text) external _glFeedbackBuffer
0000000225bbe478 (__TEXT,__text) external _glFenceSync
0000000225bc2a80 (__TEXT,__text) external _glFinalCombinerInputNV
0000000225bb9e08 (__TEXT,__text) external _glFinish
0000000225bc2634 (__TEXT,__text) external _glFinishFenceAPPLE
0000000225bc2668 (__TEXT,__text) external _glFinishObjectAPPLE
0000000225bc2808 (__TEXT,__text) external _glFinishRenderAPPLE
0000000225bb9e1c (__TEXT,__text) external _glFlush
0000000225bbda68 (__TEXT,__text) external _glFlushMappedBufferRange
0000000225bc2850 (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
0000000225bc27f4 (__TEXT,__text) external _glFlushRenderAPPLE
0000000225bc26a0 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
0000000225bbc4ec (__TEXT,__text) external _glFogCoordPointer
0000000225bc1860 (__TEXT,__text) external _glFogCoordPointerEXT
0000000225bbc4c0 (__TEXT,__text) external _glFogCoordd
0000000225bc1834 (__TEXT,__text) external _glFogCoorddEXT
0000000225bbc4d4 (__TEXT,__text) external _glFogCoorddv
0000000225bc1848 (__TEXT,__text) external _glFogCoorddvEXT
0000000225bbc494 (__TEXT,__text) external _glFogCoordf
0000000225bc1808 (__TEXT,__text) external _glFogCoordfEXT
0000000225bbc4a8 (__TEXT,__text) external _glFogCoordfv
0000000225bc181c (__TEXT,__text) external _glFogCoordfvEXT
0000000225bb9e30 (__TEXT,__text) external _glFogf
0000000225bb9e48 (__TEXT,__text) external _glFogfv
0000000225bb9e64 (__TEXT,__text) external _glFogi
0000000225bb9e80 (__TEXT,__text) external _glFogiv
0000000225bbd938 (__TEXT,__text) external _glFramebufferRenderbuffer
0000000225bc1b14 (__TEXT,__text) external _glFramebufferRenderbufferEXT
0000000225bbe620 (__TEXT,__text) external _glFramebufferTexture
0000000225bbd8bc (__TEXT,__text) external _glFramebufferTexture1D
0000000225bc1a98 (__TEXT,__text) external _glFramebufferTexture1DEXT
0000000225bbd8e4 (__TEXT,__text) external _glFramebufferTexture2D
0000000225bc1ac0 (__TEXT,__text) external _glFramebufferTexture2DEXT
0000000225bbd90c (__TEXT,__text) external _glFramebufferTexture3D
0000000225bc1ae8 (__TEXT,__text) external _glFramebufferTexture3DEXT
0000000225bc1c18 (__TEXT,__text) external _glFramebufferTextureEXT
0000000225bc1c64 (__TEXT,__text) external _glFramebufferTextureFaceEXT
0000000225bbda1c (__TEXT,__text) external _glFramebufferTextureLayer
0000000225bc1c3c (__TEXT,__text) external _glFramebufferTextureLayerEXT
0000000225bb9e9c (__TEXT,__text) external _glFrontFace
0000000225bb9eb4 (__TEXT,__text) external _glFrustum
0000000225bbca58 (__TEXT,__text) external _glGenBuffers
0000000225bc0c58 (__TEXT,__text) external _glGenBuffersARB
0000000225bc25b4 (__TEXT,__text) external _glGenFencesAPPLE
0000000225bbd888 (__TEXT,__text) external _glGenFramebuffers
0000000225bc1a64 (__TEXT,__text) external _glGenFramebuffersEXT
0000000225bb9ec8 (__TEXT,__text) external _glGenLists
0000000225bbf0ec (__TEXT,__text) external _glGenProgramPipelines
0000000225bbfb1c (__TEXT,__text) external _glGenProgramsARB
0000000225bbc93c (__TEXT,__text) external _glGenQueries
0000000225bc0b3c (__TEXT,__text) external _glGenQueriesARB
0000000225bbd7d8 (__TEXT,__text) external _glGenRenderbuffers
0000000225bc19b4 (__TEXT,__text) external _glGenRenderbuffersEXT
0000000225bbe684 (__TEXT,__text) external _glGenSamplers
0000000225bb9ee0 (__TEXT,__text) external _glGenTextures
0000000225bbedd8 (__TEXT,__text) external _glGenTransformFeedbacks
0000000225bbdabc (__TEXT,__text) external _glGenVertexArrays
0000000225bc270c (__TEXT,__text) external _glGenVertexArraysAPPLE
0000000225bbd980 (__TEXT,__text) external _glGenerateMipmap
0000000225bc1b5c (__TEXT,__text) external _glGenerateMipmapEXT
0000000225bbd5dc (__TEXT,__text) external _glGetActiveAttrib
0000000225bc1230 (__TEXT,__text) external _glGetActiveAttribARB
0000000225bbecd8 (__TEXT,__text) external _glGetActiveSubroutineName
0000000225bbecac (__TEXT,__text) external _glGetActiveSubroutineUniformName
0000000225bbec84 (__TEXT,__text) external _glGetActiveSubroutineUniformiv
0000000225bbd514 (__TEXT,__text) external _glGetActiveUniform
0000000225bc117c (__TEXT,__text) external _glGetActiveUniformARB
0000000225bbe2e4 (__TEXT,__text) external _glGetActiveUniformBlockName
0000000225bbe2c0 (__TEXT,__text) external _glGetActiveUniformBlockiv
0000000225bbe27c (__TEXT,__text) external _glGetActiveUniformName
0000000225bbe254 (__TEXT,__text) external _glGetActiveUniformsiv
0000000225bc113c (__TEXT,__text) external _glGetAttachedObjectsARB
0000000225bbd488 (__TEXT,__text) external _glGetAttachedShaders
0000000225bbd610 (__TEXT,__text) external _glGetAttribLocation
0000000225bc1260 (__TEXT,__text) external _glGetAttribLocationARB
0000000225bc1d98 (__TEXT,__text) external _glGetBooleanIndexedvEXT
0000000225bbdb18 (__TEXT,__text) external _glGetBooleani_v
0000000225bb9efc (__TEXT,__text) external _glGetBooleanv
