0000000209205a0c (__TEXT,__text) non-external _Done_iODBC
0000000209224a90 (__TEXT,__const) non-external _FunctionNumbers
00000002092238f8 (__TEXT,__text) non-external _GetPrivateProfileString
0000000209205888 (__TEXT,__text) non-external _Init_iODBC
0000000216f89a94 (__DATA,__common) non-external _ODBCSharedTraceFlag
0000000209203fc8 (__TEXT,__text) external _SQLAllocConnect
0000000209203ed8 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00000002092057f8 (__TEXT,__text) external _SQLAllocEnv
0000000209205654 (__TEXT,__text) non-external _SQLAllocEnv_Internal
000000020920f844 (__TEXT,__text) external _SQLAllocHandle
000000020920f95c (__TEXT,__text) non-external _SQLAllocHandleStd
000000020920f5a0 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00000002092084a0 (__TEXT,__text) external _SQLAllocStmt
0000000209207fe4 (__TEXT,__text) non-external _SQLAllocStmt_Internal
000000020920d4ec (__TEXT,__text) external _SQLBindCol
0000000209215528 (__TEXT,__text) external _SQLBindParam
000000020920c958 (__TEXT,__text) external _SQLBindParameter
0000000209200e34 (__TEXT,__text) external _SQLBrowseConnect
0000000209200f7c (__TEXT,__text) external _SQLBrowseConnectA
00000002092010c4 (__TEXT,__text) external _SQLBrowseConnectW
00000002092008f0 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
0000000209215034 (__TEXT,__text) external _SQLBulkOperations
00000002092093d4 (__TEXT,__text) external _SQLCancel
000000020921556c (__TEXT,__text) external _SQLCloseCursor
0000000209214a78 (__TEXT,__text) external _SQLColAttribute
0000000209214c20 (__TEXT,__text) external _SQLColAttributeA
0000000209214dc8 (__TEXT,__text) external _SQLColAttributeW
00000002092143b0 (__TEXT,__text) non-external _SQLColAttribute_Internal
000000020920f0a8 (__TEXT,__text) external _SQLColAttributes
000000020920f250 (__TEXT,__text) external _SQLColAttributesA
000000020920f3f8 (__TEXT,__text) external _SQLColAttributesW
000000020920ec04 (__TEXT,__text) non-external _SQLColAttributes_Internal
00000002091f9bb8 (__TEXT,__text) external _SQLColumnPrivileges
00000002091f9d9c (__TEXT,__text) external _SQLColumnPrivilegesA
00000002091f9f80 (__TEXT,__text) external _SQLColumnPrivilegesW
00000002091f9924 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00000002091fa3f8 (__TEXT,__text) external _SQLColumns
00000002091fa5dc (__TEXT,__text) external _SQLColumnsA
00000002091fa7c0 (__TEXT,__text) external _SQLColumnsW
00000002091fa164 (__TEXT,__text) non-external _SQLColumns_Internal
00000002091fe0b8 (__TEXT,__text) external _SQLConnect
00000002091fe848 (__TEXT,__text) external _SQLConnectA
00000002091fe9a8 (__TEXT,__text) external _SQLConnectW
00000002091fe218 (__TEXT,__text) non-external _SQLConnect_Internal
000000020922451c (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
0000000209214234 (__TEXT,__text) external _SQLCopyDesc
0000000209209ef8 (__TEXT,__text) external _SQLDataSources
000000020920a040 (__TEXT,__text) external _SQLDataSourcesA
000000020920a188 (__TEXT,__text) external _SQLDataSourcesW
0000000209209a9c (__TEXT,__text) non-external _SQLDataSources_Internal
0000000216f89a18 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
0000000216f89a38 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
0000000216f89a40 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
000000020920e628 (__TEXT,__text) external _SQLDescribeCol
000000020920e81c (__TEXT,__text) external _SQLDescribeColA
000000020920ea10 (__TEXT,__text) external _SQLDescribeColW
000000020920e36c (__TEXT,__text) non-external _SQLDescribeCol_Internal
0000000209202d7c (__TEXT,__text) external _SQLDescribeParam
000000020920120c (__TEXT,__text) external _SQLDisconnect
000000020920047c (__TEXT,__text) external _SQLDriverConnect
00000002092005f8 (__TEXT,__text) external _SQLDriverConnectA
0000000209200774 (__TEXT,__text) external _SQLDriverConnectW
00000002091feb08 (__TEXT,__text) non-external _SQLDriverConnect_Internal
0000000209224548 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
0000000209224574 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
000000020920a788 (__TEXT,__text) external _SQLDrivers
000000020920a8d0 (__TEXT,__text) external _SQLDriversA
000000020920aa18 (__TEXT,__text) external _SQLDriversW
000000020920a3ac (__TEXT,__text) non-external _SQLDrivers_Internal
0000000216f89a1c (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
0000000216f89a48 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
0000000216f89a50 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
0000000209214f70 (__TEXT,__text) external _SQLEndTran
000000020920618c (__TEXT,__text) external _SQLError
00000002092062b4 (__TEXT,__text) external _SQLErrorA
00000002092063dc (__TEXT,__text) external _SQLErrorW
0000000209202284 (__TEXT,__text) external _SQLExecDirect
00000002092023d4 (__TEXT,__text) external _SQLExecDirectA
0000000209202524 (__TEXT,__text) external _SQLExecDirectW
0000000209202028 (__TEXT,__text) non-external _SQLExecDirect_Internal
0000000209201d60 (__TEXT,__text) external _SQLExecute
0000000209203474 (__TEXT,__text) external _SQLExtendedFetch
00000002092031b8 (__TEXT,__text) external _SQLFetch
0000000209215224 (__TEXT,__text) external _SQLFetchScroll
0000000209202ffc (__TEXT,__text) non-external _SQLFetch_Internal
00000002091facf8 (__TEXT,__text) external _SQLForeignKeys
00000002091fafb4 (__TEXT,__text) external _SQLForeignKeysA
00000002091fb270 (__TEXT,__text) external _SQLForeignKeysW
00000002091fa9a4 (__TEXT,__text) non-external _SQLForeignKeys_Internal
000000020920413c (__TEXT,__text) external _SQLFreeConnect
000000020920408c (__TEXT,__text) non-external _SQLFreeConnect_Internal
0000000209205960 (__TEXT,__text) external _SQLFreeEnv
00000002092058d4 (__TEXT,__text) non-external _SQLFreeEnv_Internal
000000020920fa74 (__TEXT,__text) external _SQLFreeHandle
00000002092088f4 (__TEXT,__text) external _SQLFreeStmt
00000002092086e8 (__TEXT,__text) non-external _SQLFreeStmt_Internal
0000000209221108 (__TEXT,__text) non-external _SQLGetConfigMode
000000020921237c (__TEXT,__text) external _SQLGetConnectAttr
0000000209212838 (__TEXT,__text) external _SQLGetConnectAttrA
000000020921298c (__TEXT,__text) external _SQLGetConnectAttrW
00000002092124d0 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
0000000209204f0c (__TEXT,__text) external _SQLGetConnectOption
0000000209205038 (__TEXT,__text) external _SQLGetConnectOptionA
0000000209205164 (__TEXT,__text) external _SQLGetConnectOptionW
000000020920da3c (__TEXT,__text) external _SQLGetCursorName
000000020920dba4 (__TEXT,__text) external _SQLGetCursorNameA
000000020920dd0c (__TEXT,__text) external _SQLGetCursorNameW
000000020920d840 (__TEXT,__text) non-external _SQLGetCursorName_Internal
00000002092035fc (__TEXT,__text) external _SQLGetData
0000000209212d50 (__TEXT,__text) external _SQLGetDescField
0000000209212ec4 (__TEXT,__text) external _SQLGetDescFieldA
0000000209213038 (__TEXT,__text) external _SQLGetDescFieldW
0000000209212ae0 (__TEXT,__text) non-external _SQLGetDescField_Internal
0000000209213958 (__TEXT,__text) external _SQLGetDescRec
0000000209213b8c (__TEXT,__text) external _SQLGetDescRecA
0000000209213dc0 (__TEXT,__text) external _SQLGetDescRecW
000000020921375c (__TEXT,__text) non-external _SQLGetDescRec_Internal
0000000209207cc0 (__TEXT,__text) external _SQLGetDiagField
0000000209207dcc (__TEXT,__text) external _SQLGetDiagFieldA
0000000209207ed8 (__TEXT,__text) external _SQLGetDiagFieldW
0000000209206e50 (__TEXT,__text) non-external _SQLGetDiagField_Internal
0000000209206af0 (__TEXT,__text) external _SQLGetDiagRec
0000000209206c10 (__TEXT,__text) external _SQLGetDiagRecA
0000000209206d30 (__TEXT,__text) external _SQLGetDiagRecW
0000000209206504 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
0000000209210174 (__TEXT,__text) external _SQLGetEnvAttr
000000020920b650 (__TEXT,__text) external _SQLGetFunctions
000000020920b254 (__TEXT,__text) external _SQLGetInfo
000000020920b3a8 (__TEXT,__text) external _SQLGetInfoA
000000020920b4fc (__TEXT,__text) external _SQLGetInfoW
000000020920ac3c (__TEXT,__text) non-external _SQLGetInfo_Internal
0000000209223f90 (__TEXT,__text) non-external _SQLGetKeywordValue
0000000209223fdc (__TEXT,__text) non-external _SQLGetKeywordValueW
0000000209223ad4 (__TEXT,__text) non-external _SQLGetPrivateProfileString
0000000209223cd4 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00000002092109ec (__TEXT,__text) external _SQLGetStmtAttr
0000000209210b64 (__TEXT,__text) external _SQLGetStmtAttrA
0000000209210cdc (__TEXT,__text) external _SQLGetStmtAttrW
0000000209210358 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
000000020920913c (__TEXT,__text) external _SQLGetStmtOption
0000000209209288 (__TEXT,__text) external _SQLGetStmtOptionA
0000000209208f60 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00000002091f7bb8 (__TEXT,__text) external _SQLGetTypeInfo
00000002091f7cf8 (__TEXT,__text) external _SQLGetTypeInfoA
00000002091f7e38 (__TEXT,__text) external _SQLGetTypeInfoW
00000002091f79f8 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
0000000209203974 (__TEXT,__text) external _SQLMoreResults
000000020920160c (__TEXT,__text) external _SQLNativeSql
0000000209201778 (__TEXT,__text) external _SQLNativeSqlA
00000002092018e4 (__TEXT,__text) external _SQLNativeSqlW
0000000209201394 (__TEXT,__text) non-external _SQLNativeSql_Internal
0000000209202b74 (__TEXT,__text) external _SQLNumParams
000000020920e158 (__TEXT,__text) external _SQLNumResultCols
00000002092028ec (__TEXT,__text) external _SQLParamData
