000000021ba85aa8 (__DATA,__bss) non-external _A
000000021d566860 (__AUTH,__data) non-external (was a private external) _CMARK_ARENA_MEM_ALLOCATOR
000000021d566848 (__AUTH,__data) non-external (was a private external) _CMARK_DEFAULT_MEM_ALLOCATOR
000000021ba85788 (__DATA,__data) external _CMARK_NODE_LAST_BLOCK
000000021ba8578c (__DATA,__data) external _CMARK_NODE_LAST_INLINE
000000021ba85ab0 (__DATA,__common) external _CMARK_NODE_STRIKETHROUGH
000000021ba85ab8 (__DATA,__common) external _CMARK_NODE_TABLE
000000021ba85ac0 (__DATA,__common) external _CMARK_NODE_TABLE_CELL
000000021ba85abc (__DATA,__common) external _CMARK_NODE_TABLE_ROW
000000021ba85a60 (__DATA,__bss) non-external _CMARK_NODE__TABLE_VISITED
000000020cee1b40 (__TEXT,__const) non-external _HREF_SAFE
000000021855ca10 (__DATA_CONST,__const) non-external _HTML_ESCAPES
000000020cedff13 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
000000020cedb3ec (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020cee1a40 (__TEXT,__const) non-external _SMART_PUNCT_CHARS
000000020ced5688 (__TEXT,__text) non-external _S_advance_offset
000000020cec5ed8 (__TEXT,__text) non-external _S_blankline
000000020ced6130 (__TEXT,__text) non-external _S_can_contain
000000020cec5ebc (__TEXT,__text) non-external _S_cr
000000020ced5730 (__TEXT,__text) non-external _S_find_first_nonspace
000000020cec82f8 (__TEXT,__text) non-external _S_get_enumlevel
000000020ced6070 (__TEXT,__text) non-external _S_node_unlink
000000020cec5ef0 (__TEXT,__text) non-external _S_out
000000020cec4418 (__TEXT,__text) non-external _S_outc
000000020ced3b88 (__TEXT,__text) non-external _S_parser_feed
000000020cee1a28 (__TEXT,__const) non-external _S_parser_feed.repl
000000020ced768c (__TEXT,__text) non-external _S_print_error
000000020ced4338 (__TEXT,__text) non-external _S_process_line
000000020cedf18c (__TEXT,__text) non-external _S_process_line.cold.1
000000020cedf1b8 (__TEXT,__text) non-external _S_process_line.cold.2
000000020cedf1e4 (__TEXT,__text) non-external _S_process_line.cold.3
000000020cedf210 (__TEXT,__text) non-external _S_process_line.cold.4
000000020cedf23c (__TEXT,__text) non-external _S_process_line.cold.5
000000020cec3c34 (__TEXT,__text) non-external _S_put_footnote_backref
000000020cec1cd0 (__TEXT,__text) non-external _S_render_node
000000020cec4540 (__TEXT,__text) non-external _S_render_node
000000020cec7ac0 (__TEXT,__text) non-external _S_render_node
000000020cedbf80 (__TEXT,__text) non-external _S_render_node
000000020cedee90 (__TEXT,__text) non-external _S_render_node.cold.1
000000020cedef48 (__TEXT,__text) non-external _S_render_node.cold.1
000000020cedf024 (__TEXT,__text) non-external _S_render_node.cold.1
000000020cedfae4 (__TEXT,__text) non-external _S_render_node.cold.1
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___tolower (from libSystem)
000000020cec62a4 (__TEXT,__text) non-external (was a private external) __ext_scan_at
000000020cec8588 (__TEXT,__text) non-external (was a private external) __scan_at
000000020ced1250 (__TEXT,__text) non-external (was a private external) __scan_atx_heading_start
000000020cee1513 (__TEXT,__const) non-external __scan_atx_heading_start.yybm
000000020cec9ca4 (__TEXT,__text) non-external (was a private external) __scan_autolink_email
000000020cee0613 (__TEXT,__const) non-external __scan_autolink_email.yybm
000000020cec90d4 (__TEXT,__text) non-external (was a private external) __scan_autolink_uri
000000020cee0513 (__TEXT,__const) non-external __scan_autolink_uri.yybm
000000020ced182c (__TEXT,__text) non-external (was a private external) __scan_close_code_fence
000000020cee1813 (__TEXT,__const) non-external __scan_close_code_fence.yybm
000000020ced2434 (__TEXT,__text) non-external (was a private external) __scan_dangerous_url
000000020ced1984 (__TEXT,__text) non-external (was a private external) __scan_entity
000000020ced274c (__TEXT,__text) non-external (was a private external) __scan_footnote_definition
000000020cee1913 (__TEXT,__const) non-external __scan_footnote_definition.yybm
000000020cecf31c (__TEXT,__text) non-external (was a private external) __scan_html_block_end_1
000000020cee0e13 (__TEXT,__const) non-external __scan_html_block_end_1.yybm
000000020cecfc54 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_2
000000020cee0f13 (__TEXT,__const) non-external __scan_html_block_end_2.yybm
000000020ced0064 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_3
000000020cee1013 (__TEXT,__const) non-external __scan_html_block_end_3.yybm
000000020ced0414 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_4
000000020cee1113 (__TEXT,__const) non-external __scan_html_block_end_4.yybm
000000020ced0720 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_5
000000020cee1213 (__TEXT,__const) non-external __scan_html_block_end_5.yybm
000000020cecd828 (__TEXT,__text) non-external (was a private external) __scan_html_block_start
000000020cececac (__TEXT,__text) non-external (was a private external) __scan_html_block_start_7
000000020cee0d13 (__TEXT,__const) non-external __scan_html_block_start_7.yybm
000000020cecd610 (__TEXT,__text) non-external (was a private external) __scan_html_cdata
000000020cee0c13 (__TEXT,__const) non-external __scan_html_cdata.yybm
000000020cecd064 (__TEXT,__text) non-external (was a private external) __scan_html_comment
000000020cee0913 (__TEXT,__const) non-external __scan_html_comment.yybm
000000020cecd4d8 (__TEXT,__text) non-external (was a private external) __scan_html_declaration
000000020cee0b13 (__TEXT,__const) non-external __scan_html_declaration.yybm
000000020cecd1f0 (__TEXT,__text) non-external (was a private external) __scan_html_pi
000000020cee0a13 (__TEXT,__const) non-external __scan_html_pi.yybm
000000020cecc708 (__TEXT,__text) non-external (was a private external) __scan_html_tag
000000020cee0713 (__TEXT,__const) non-external __scan_html_tag.yybm
000000020ceccd50 (__TEXT,__text) non-external (was a private external) __scan_liberal_html_tag
000000020cee0813 (__TEXT,__const) non-external __scan_liberal_html_tag.yybm
000000020ced0b30 (__TEXT,__text) non-external (was a private external) __scan_link_title
000000020cee1313 (__TEXT,__const) non-external __scan_link_title.yybm
000000020ced1508 (__TEXT,__text) non-external (was a private external) __scan_open_code_fence
000000020cee1713 (__TEXT,__const) non-external __scan_open_code_fence.yybm
000000020cec85e8 (__TEXT,__text) non-external (was a private external) __scan_scheme
000000020ced1388 (__TEXT,__text) non-external (was a private external) __scan_setext_heading_line
000000020cee1613 (__TEXT,__const) non-external __scan_setext_heading_line.yybm
000000020ced1214 (__TEXT,__text) non-external (was a private external) __scan_spacechars
000000020cee1413 (__TEXT,__const) non-external __scan_spacechars.yybm
000000020cec64c4 (__TEXT,__text) non-external (was a private external) __scan_table_cell
000000020cee0213 (__TEXT,__const) non-external __scan_table_cell.yybm
000000020cec6780 (__TEXT,__text) non-external (was a private external) __scan_table_cell_end
000000020cec67bc (__TEXT,__text) non-external (was a private external) __scan_table_row_end
000000020cee0313 (__TEXT,__const) non-external __scan_table_row_end.yybm
000000020cec62fc (__TEXT,__text) non-external (was a private external) __scan_table_start
000000020cee0113 (__TEXT,__const) non-external __scan_table_start.yybm
000000020cec686c (__TEXT,__text) non-external (was a private external) __scan_tasklist
000000020cee0413 (__TEXT,__const) non-external __scan_tasklist.yybm
                 (undefined) external _abort (from libSystem)
000000020ced5538 (__TEXT,__text) non-external _add_child
000000020cedf268 (__TEXT,__text) non-external _add_child.cold.1
000000020ced5ca8 (__TEXT,__text) non-external _add_line
000000020cedf2ec (__TEXT,__text) non-external _add_line.cold.1
000000020cedb0d4 (__TEXT,__text) non-external _adjust_subj_node_newlines
000000020cede9c8 (__TEXT,__text) non-external _alloc_arena_chunk
000000020cedeb58 (__TEXT,__text) non-external _arena_calloc
000000020cedec9c (__TEXT,__text) non-external _arena_free
000000021ba85a68 (__DATA,__bss) non-external _arena_lock
000000021ba858c8 (__DATA,__data) non-external _arena_once
000000020cedec40 (__TEXT,__text) non-external _arena_realloc
000000020cec5800 (__TEXT,__text) non-external _autolink_delim
0000000218564f78 (__DATA_CONST,__const) non-external _blacklist
                 (undefined) external _bsearch (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
000000020cec4138 (__TEXT,__text) non-external _can_contain
000000020cec6df8 (__TEXT,__text) non-external _can_contain
000000020cedd088 (__TEXT,__text) non-external _can_contain
000000020cec56f4 (__TEXT,__text) non-external _check_domain
000000020cedb37c (__TEXT,__text) non-external _chunk_clone
000000020cedea2c (__TEXT,__text) external _cmark_arena_pop
000000020cede94c (__TEXT,__text) external _cmark_arena_push
000000020cedeac8 (__TEXT,__text) external _cmark_arena_reset
000000020cedc584 (__TEXT,__text) non-external _cmark_chunk_to_cstr
000000020ced7904 (__TEXT,__text) non-external (was a private external) _cmark_clean_attributes
000000020ced784c (__TEXT,__text) non-external (was a private external) _cmark_clean_title
000000020ced7764 (__TEXT,__text) non-external (was a private external) _cmark_clean_url
000000020cedf378 (__TEXT,__text) non-external _cmark_clean_url.cold.1
000000020cedf3a4 (__TEXT,__text) non-external _cmark_clean_url.cold.2
000000020cec72e8 (__TEXT,__text) external _cmark_consolidate_text_nodes
000000020cee0013 (__TEXT,__const) non-external _cmark_ctype_class
000000021855caa8 (__DATA_CONST,__const) non-external _cmark_entities
000000020cec5c14 (__TEXT,__text) external _cmark_find_syntax_extension
000000020ced2880 (__TEXT,__text) non-external (was a private external) _cmark_footnote_create
000000020cedf050 (__TEXT,__text) non-external _cmark_footnote_create.cold.1
000000020ced2900 (__TEXT,__text) non-external (was a private external) _cmark_footnote_map_new
000000020cedeca0 (__TEXT,__text) external _cmark_get_arena_mem_allocator
000000020cec2d1c (__TEXT,__text) external _cmark_get_default_mem_allocator
000000020ced29a8 (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
000000020cede190 (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
000000020cede2c8 (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_colspan
000000020cede300 (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_rowspan
000000020cede168 (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
000000020cede264 (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
