                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff810a03a86 (__TEXT,__text) external ___absvdi2
00007ff810a03aaf (__TEXT,__text) external ___absvsi2
00007ff810a03ad4 (__TEXT,__text) external ___absvti2
00007ff810a03b14 (__TEXT,__text) external ___addvdi3
00007ff810a03b5a (__TEXT,__text) external ___addvsi3
00007ff810a03b9c (__TEXT,__text) external ___addvti3
00007ff810a03bf9 (__TEXT,__text) external ___ashldi3
00007ff810a03c25 (__TEXT,__text) external ___ashlti3
00007ff810a03c4d (__TEXT,__text) external ___ashrdi3
00007ff810a03c7e (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff810a03f14 (__TEXT,__text) external ___atomic_compare_exchange
00007ff810a04454 (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff810a044a0 (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff810a044ec (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff810a04538 (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff810a04154 (__TEXT,__text) external ___atomic_exchange
00007ff810a04386 (__TEXT,__text) external ___atomic_exchange_1
00007ff810a043bc (__TEXT,__text) external ___atomic_exchange_2
00007ff810a043f0 (__TEXT,__text) external ___atomic_exchange_4
00007ff810a04420 (__TEXT,__text) external ___atomic_exchange_8
00007ff810a04584 (__TEXT,__text) external ___atomic_fetch_add_1
00007ff810a045bc (__TEXT,__text) external ___atomic_fetch_add_2
00007ff810a045f0 (__TEXT,__text) external ___atomic_fetch_add_4
00007ff810a04624 (__TEXT,__text) external ___atomic_fetch_add_8
00007ff810a04734 (__TEXT,__text) external ___atomic_fetch_and_1
00007ff810a047ac (__TEXT,__text) external ___atomic_fetch_and_2
