000000018ce21d89 (__TEXT,__const) non-external _DOWNCASE_TBL
000000018ce2288c (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
000000018ce2238c (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
000000018ce21e8c (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
000000018ce2278c (__TEXT,__const) non-external _VALID_METHOD_CHARS
000000018ce2228c (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018ce0f7dc (__TEXT,__text) non-external _active_outbound_item_reset
000000018ce14424 (__TEXT,__text) non-external _add_hd_table_incremental
000000018ce18080 (__TEXT,__text) non-external _bubble_down
000000018ce18004 (__TEXT,__text) non-external _bubble_up
000000018ce0f704 (__TEXT,__text) non-external _buf_chain_new
000000018ce19350 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
000000018ce0f5b8 (__TEXT,__text) non-external _default_calloc
000000018ce0f974 (__TEXT,__text) non-external _default_free
000000018ce0f654 (__TEXT,__text) non-external _default_malloc
000000018ce0f7d8 (__TEXT,__text) non-external _default_realloc
000000018ce146f8 (__TEXT,__text) non-external _emit_newname_block
000000018ce14014 (__TEXT,__text) non-external _emit_string
000000018ce16d40 (__TEXT,__text) non-external _emit_table_size
000000018ce1ae80 (__TEXT,__text) non-external _find_stream_on_goaway_func
000000018ce147d8 (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
000000018ce1a470 (__TEXT,__text) non-external _free_streams
000000018ce1b668 (__TEXT,__text) non-external _get_error_code_from_lib_error_code
000000018ce16b98 (__TEXT,__text) non-external _hd_context_free
000000018ce15070 (__TEXT,__text) non-external _hd_context_shrink_table_size
000000018ce17ed8 (__TEXT,__text) non-external _hd_get_table_entry
000000018ce16004 (__TEXT,__text) non-external _hd_inflate_commit_indname
000000018ce160c4 (__TEXT,__text) non-external _hd_inflate_commit_newname
000000018ce15f20 (__TEXT,__text) non-external _hd_inflate_read_huff
000000018ce15e08 (__TEXT,__text) non-external _hd_inflate_read_len
000000018ce16c28 (__TEXT,__text) non-external _hd_ringbuf_get
000000018ce1dd48 (__TEXT,__const) non-external _huff_decode_table
000000018ce1d540 (__TEXT,__const) non-external _huff_sym_table
000000018ce12790 (__TEXT,__text) non-external _insert
000000018ce1736c (__TEXT,__text) non-external _insert_link_dep
000000018ce131c8 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc (from libSystem)
000000018ce170c0 (__TEXT,__text) non-external _map_resize
00000001d6c049d8 (__AUTH,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
000000018ce10230 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
000000018ce0fac0 (__TEXT,__text) non-external _nghttp2_bufs_add
000000018ce14778 (__TEXT,__text) non-external _nghttp2_bufs_addb
000000018ce16cd4 (__TEXT,__text) non-external _nghttp2_bufs_free
000000018ce1d358 (__TEXT,__text) external _nghttp2_check_authority
000000018ce0ed4c (__TEXT,__text) external _nghttp2_check_header_name
000000018ce0ed98 (__TEXT,__text) external _nghttp2_check_header_value
000000018ce1d284 (__TEXT,__text) external _nghttp2_check_header_value_rfc9113
000000018ce1d2f0 (__TEXT,__text) external _nghttp2_check_method
000000018ce1d324 (__TEXT,__text) external _nghttp2_check_path
000000018ce14984 (__TEXT,__text) non-external _nghttp2_frame_add_pad
000000018ce17654 (__TEXT,__text) non-external _nghttp2_frame_pack_altsvc
000000018ce12968 (__TEXT,__text) non-external _nghttp2_frame_pack_headers
000000018ce17774 (__TEXT,__text) non-external _nghttp2_frame_pack_priority_update
000000018ce17574 (__TEXT,__text) non-external _nghttp2_frame_pack_push_promise
000000018ce12938 (__TEXT,__text) external _nghttp2_hd_deflate_bound
000000018ce15028 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
000000018ce17d0c (__TEXT,__text) external _nghttp2_hd_deflate_del
000000018ce17f34 (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
000000018ce17f3c (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
000000018ce17ec8 (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
000000018ce17ed4 (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
000000018ce179e4 (__TEXT,__text) external _nghttp2_hd_deflate_hd
000000018ce12a8c (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
000000018ce17ae8 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec
000000018ce0f5bc (__TEXT,__text) non-external _nghttp2_hd_deflate_init2
