00000001d6536248 (__DATA,__data) non-external _C
00000001d6537460 (__DATA,__bss) non-external _CF6464
0000000180267da8 (__TEXT,__const) non-external _CIFP
0000000180267d78 (__TEXT,__const) non-external _ExpandTr
00000001d6537450 (__DATA,__bss) non-external _IE3264
0000000180267d38 (__TEXT,__const) non-external _IP
00000001d65373c0 (__DATA,__bss) non-external _KS
00000001d9287ed0 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00000001d9287ec8 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
00000001802267a0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018022fc80 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018023b450 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018023b8d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001802576f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018022fca8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000018023b8f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000018022fda4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
000000018022fdbc (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
000000018022fdd8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
000000018022fdec (__TEXT,__text) non-external _OUTLINED_FUNCTION_13
000000018022fe00 (__TEXT,__text) non-external _OUTLINED_FUNCTION_14
000000018022fe14 (__TEXT,__text) non-external _OUTLINED_FUNCTION_15
000000018022fe2c (__TEXT,__text) non-external _OUTLINED_FUNCTION_16
000000018022fe38 (__TEXT,__text) non-external _OUTLINED_FUNCTION_17
000000018022fcc8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
000000018023b90c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
000000018022fcf4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
000000018022fd0c (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
000000018022fd24 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
000000018022fd3c (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
000000018022fd58 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
000000018022fd74 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
000000018022fd8c (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
0000000180267de8 (__TEXT,__const) non-external _P32Tr
0000000180267d00 (__TEXT,__const) non-external _PC1
00000001d65373b8 (__DATA,__bss) non-external _PC1ROT
0000000180267cc0 (__TEXT,__const) non-external _PC2
00000001d6537440 (__DATA,__bss) non-external _PC2ROT
0000000180267cb0 (__TEXT,__const) non-external _Rotates
0000000180267e08 (__TEXT,__const) non-external _S
00000001d6537458 (__DATA,__bss) non-external _SPE
00000001802422a0 (__TEXT,__text) non-external (was a private external) __BIG5_init
00000001802422e4 (__TEXT,__text) non-external __BIG5_mbrtowc
0000000180242408 (__TEXT,__text) non-external __BIG5_mbsinit
00000001802423b4 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00000001d6536360 (__DATA,__data) non-external __C_lconv
00000001d19be660 (__DATA_CONST,__const) non-external __C_messages_locale
00000001d19be680 (__DATA_CONST,__const) non-external __C_monetary_locale
00000001d19be728 (__DATA_CONST,__const) non-external __C_numeric_locale
00000001d19be908 (__DATA_CONST,__const) non-external __C_time_locale
00000001d65364b0 (__DATA,__data) external __CurrentRuneLocale
00000001d65366f8 (__DATA,__constrw) external __DefaultRuneLocale
00000001d92a14a0 (__AUTH,__constrw) non-external (was a private external) __DefaultRuneXLocale
0000000180243a74 (__TEXT,__text) non-external __EUC_free_extra
0000000180243540 (__TEXT,__text) non-external (was a private external) __EUC_init
00000001802436f0 (__TEXT,__text) non-external __EUC_mbrtowc
0000000180243a58 (__TEXT,__text) non-external __EUC_mbsinit
0000000180243880 (__TEXT,__text) non-external __EUC_wcrtomb
0000000180257e04 (__TEXT,__text) external __Exit
0000000180243a9c (__TEXT,__text) non-external (was a private external) __GB18030_init
0000000180243ae0 (__TEXT,__text) non-external __GB18030_mbrtowc
0000000180243d64 (__TEXT,__text) non-external __GB18030_mbsinit
0000000180243c58 (__TEXT,__text) non-external __GB18030_wcrtomb
0000000180243d80 (__TEXT,__text) non-external (was a private external) __GB2312_init
0000000180243dc4 (__TEXT,__text) non-external __GB2312_mbrtowc
0000000180243f2c (__TEXT,__text) non-external __GB2312_mbsinit
0000000180243ed8 (__TEXT,__text) non-external __GB2312_wcrtomb
0000000180243f48 (__TEXT,__text) non-external (was a private external) __GBK_init
0000000180243f8c (__TEXT,__text) non-external __GBK_mbrtowc
00000001802440b0 (__TEXT,__text) non-external __GBK_mbsinit
000000018024405c (__TEXT,__text) non-external __GBK_wcrtomb
000000018024450c (__TEXT,__text) non-external (was a private external) __MSKanji_init
0000000180244550 (__TEXT,__text) non-external __MSKanji_mbrtowc
000000018024469c (__TEXT,__text) non-external __MSKanji_mbsinit
0000000180244630 (__TEXT,__text) non-external __MSKanji_wcrtomb
00000001801f2cb0 (__TEXT,__text) external __NSGetArgc
00000001801f2ca4 (__TEXT,__text) external __NSGetArgv
00000001801ed910 (__TEXT,__text) external __NSGetEnviron
00000001801ed9b8 (__TEXT,__text) external __NSGetMachExecuteHeader
00000001801f2014 (__TEXT,__text) external __NSGetProgname
00000001d6538250 (__DATA,__common) external __PathLocale
0000000180211d88 (__TEXT,__text) external __Read_RuneMagi
000000018025771c (__TEXT,__text) non-external (was a private external) __UTF2_init
0000000180257780 (__TEXT,__text) non-external __UTF2_mbrtowc
0000000180257974 (__TEXT,__text) non-external __UTF2_mbsinit
0000000180257990 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00000001802578cc (__TEXT,__text) non-external __UTF2_wcrtomb
0000000180257b3c (__TEXT,__text) non-external __UTF2_wcsnrtombs
00000001802122b8 (__TEXT,__text) non-external (was a private external) __UTF8_init
0000000180213b1c (__TEXT,__text) non-external __UTF8_mbrtowc
0000000180244efc (__TEXT,__text) non-external __UTF8_mbsinit
0000000180213dd0 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00000001802144a4 (__TEXT,__text) non-external __UTF8_wcrtomb
0000000180244f18 (__TEXT,__text) non-external __UTF8_wcsnrtombs
00000001801fd0a8 (__TEXT,__text) external ___Balloc_D2A
00000001801fd2c4 (__TEXT,__text) external ___Bfree_D2A
000000018023b390 (__TEXT,__text) external ___ULtod_D2A
000000018022bc00 (__TEXT,__text) external ____mb_cur_max
000000018022bc2c (__TEXT,__text) external ____mb_cur_max_l
0000000180204248 (__TEXT,__text) external ____runetype
000000018020426c (__TEXT,__text) external ____runetype_l
0000000180244e10 (__TEXT,__text) external ____tolower
0000000180244d6c (__TEXT,__text) external ____tolower_l
0000000180244ed8 (__TEXT,__text) external ____toupper
0000000180244e34 (__TEXT,__text) external ____toupper_l
000000018026634c (__TEXT,__text) non-external (was a private external) ___abort
0000000180236f00 (__TEXT,__text) external ___add_ovflpage
0000000180236c70 (__TEXT,__text) external ___addel
0000000180203028 (__TEXT,__text) external ___any_on_D2A
