00007ff9012f8fc0 (__TEXT,__text) non-external +[Calculate _lock]
00007ff9012f8f09 (__TEXT,__text) non-external +[Calculate _resetGlobals]
00007ff9012f9083 (__TEXT,__text) non-external +[Calculate _unlock]
00007ff9012ff937 (__TEXT,__text) non-external +[Calculate evaluate:options:]
00007ff9012f90ed (__TEXT,__text) non-external +[Calculate evaluate:options:needsUpdate:]
00007ff9012ff7c5 (__TEXT,__text) non-external +[Calculate evaluate:options:resultHandler:]
00007ff9012ffed1 (__TEXT,__text) non-external +[CalculateRequest _lock]
00007ff9012fff09 (__TEXT,__text) non-external +[CalculateRequest _unlock]
00007ff9012fff22 (__TEXT,__text) non-external +[CalculateRequest serialQueue]
00007ff901308c2e (__TEXT,__text) non-external +[CalculateResult decimalNumberWithDecimal128:]
00007ff901308bab (__TEXT,__text) non-external +[CalculateResult defaultNumberFormatter]
00007ff9013091ae (__TEXT,__text) non-external +[CalculateResult preferMeasurementSystemsForLocale:preferred:fallback:]
00007ff901308cd7 (__TEXT,__text) non-external +[CalculateResult resultWithResultTree:parseTree:locales:numberFormatter:unitsInfo:unitType:unitExponent:expression:isTrivial:localizeUnit:unitFormat:autoScientificNotation:flexibleFractionDigits:hasStaleCurrencyData:]
00007ff901303ab5 (__TEXT,__text) non-external +[CalculateTerm termWithValue:units:result:]
00007ff9013098c2 (__TEXT,__text) non-external +[CalculateToken tokenWithType:range:text:ranks:]
00007ff90130daaa (__TEXT,__text) non-external +[CalculateTokenizer displayNameExponent:]
00007ff90130da48 (__TEXT,__text) non-external +[CalculateTokenizer prepareString:]
00007ff90130da5d (__TEXT,__text) non-external +[CalculateTokenizer tokenizerWithUnits:]
00007ff901308a42 (__TEXT,__text) non-external +[CalculateUnit unitWithID:unitsInfo:exponent:]
00007ff901313f7a (__TEXT,__text) non-external +[Converter currencyCacheLastRefreshDate]
00007ff901313f4a (__TEXT,__text) non-external +[Converter dispatchQueue]
00007ff901313ef2 (__TEXT,__text) non-external +[Converter initialize]
00007ff901313fd1 (__TEXT,__text) non-external +[Converter needsRefresh]
00007ff901314069 (__TEXT,__text) non-external +[Converter refreshCurrencyCacheIfNeeded]
00007ff90131401d (__TEXT,__text) non-external +[Converter refreshCurrencyCache]
00007ff9012e2035 (__TEXT,__text) non-external +[CurrencyCache shared]
00007ff9012f42d2 (__TEXT,__text) non-external +[Localize availableLocaleNames]
00007ff9012f4457 (__TEXT,__text) non-external +[Localize formatString:withExponent:formatter:]
00007ff9012f4329 (__TEXT,__text) non-external +[Localize localizationForLocale:]
00007ff9012f47ba (__TEXT,__text) non-external +[Localize localizedStringForKey:value:table:localization:]
00007ff9012f4894 (__TEXT,__text) non-external +[Localize localizedStringsForTable:localization:]
00007ff9012f42a7 (__TEXT,__text) non-external +[Localize mainBundle]
00007ff9012f4094 (__TEXT,__text) non-external +[Localize systemLocale]
00007ff9012f40ad (__TEXT,__text) non-external +[Localize systemLocales]
00007ff9012f8db5 (__TEXT,__text) non-external +[Trie enumerateCharactersInKey:range:usingBlock:]
00007ff9012f842c (__TEXT,__text) non-external +[TrieNode nodeWithTrie:node:offset:]
00007ff9012f5292 (__TEXT,__text) non-external +[UnitRanks unitRanksWithUnitsInfo:]
00007ff9012f8045 (__TEXT,__text) non-external +[UnitsInfo shouldSkipUnitName:]
00007ff9012f806b (__TEXT,__text) non-external +[UnitsInfo unitsInfoWithDictionary:]
00007ff9012ffcb7 (__TEXT,__text) non-external -[CalculateRequest .cxx_destruct]
00007ff9012ffa76 (__TEXT,__text) non-external -[CalculateRequest cancel]
00007ff9012ffc3a (__TEXT,__text) non-external -[CalculateRequest expression]
00007ff9012ffb4d (__TEXT,__text) non-external -[CalculateRequest finish]
00007ff9012ffc8b (__TEXT,__text) non-external -[CalculateRequest isCanceled]
00007ff9012ffc55 (__TEXT,__text) non-external -[CalculateRequest options]
