00007ffd047bfef6 (__TEXT,__text) external _AAAFSCGetMetadata
00007ffd047c0273 (__TEXT,__text) external _AAAFSCSetMetadata
00007ffd047bf30c (__TEXT,__text) external _AAAFSCStreamOpen
00007ffd047bf9fe (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00007ffd047bfb06 (__TEXT,__text) external _AAAFSCStreamOpenWithState
00007ffd0474729f (__TEXT,__text) external _AAArchiveStreamCancel
00007ffd04747268 (__TEXT,__text) external _AAArchiveStreamClose
00007ffd0475d416 (__TEXT,__text) external _AAArchiveStreamProcess
00007ffd0474721a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffd04747200 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffd0474724e (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffd04747234 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffd04748881 (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffd0474c6b2 (__TEXT,__text) external _AAAssetBuilderAddFilter
00007ffd0474c5f7 (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00007ffd0474c538 (__TEXT,__text) external _AAAssetBuilderCreate
00007ffd0474c5e6 (__TEXT,__text) external _AAAssetBuilderDestroy
00007ffd047b4e10 (__TEXT,__text) external _AAAssetBuilderGenerate
00007ffd0474c750 (__TEXT,__text) external _AAAssetBuilderGetParameter
00007ffd0474c6bd (__TEXT,__text) external _AAAssetBuilderSetParameter
00007ffd0474cda6 (__TEXT,__text) external _AAAssetExtractorCreate
00007ffd0474d391 (__TEXT,__text) external _AAAssetExtractorDestroy
00007ffd0474dde3 (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00007ffd0474dd6e (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00007ffd0474d8a2 (__TEXT,__text) external _AAAssetExtractorWrite
00007ffd047c7972 (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffd047c7987 (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffd047c7363 (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffd047c7810 (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffd0477e1d8 (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffd0475e326 (__TEXT,__text) external _AAByteRangeAdd
00007ffd0475e22e (__TEXT,__text) external _AAByteRangeClone
00007ffd0475e192 (__TEXT,__text) external _AAByteRangeCreate
00007ffd0475e208 (__TEXT,__text) external _AAByteRangeDestroy
00007ffd0475e4f4 (__TEXT,__text) external _AAByteRangeFirst
00007ffd0475e601 (__TEXT,__text) external _AAByteRangeNext
00007ffd0475e486 (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffd0475e414 (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffd0475e3a2 (__TEXT,__text) external _AAByteRangeSub
00007ffd047be40b (__TEXT,__text) external _AAByteStreamCancel
00007ffd047be420 (__TEXT,__text) external _AAByteStreamClose
00007ffd047be457 (__TEXT,__text) external _AAByteStreamCloseWithState
00007ffd047be4a0 (__TEXT,__text) external _AAByteStreamFlush
00007ffd047be3d3 (__TEXT,__text) external _AAByteStreamPRead
00007ffd047be4d4 (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffd047be39b (__TEXT,__text) external _AAByteStreamPWrite
00007ffd047976a1 (__TEXT,__text) external _AAByteStreamProcess
00007ffd047be3b7 (__TEXT,__text) external _AAByteStreamRead
00007ffd047be3ef (__TEXT,__text) external _AAByteStreamSeek
00007ffd047be4ba (__TEXT,__text) external _AAByteStreamTruncate
00007ffd047be2f0 (__TEXT,__text) external _AAByteStreamWrite
00007ffd0477c666 (__TEXT,__text) external _AAChunkAsyncStreamOpen
00007ffd0477bd69 (__TEXT,__text) external _AAChunkInputStreamOpen
00007ffd04794486 (__TEXT,__text) external _AAChunkOutputStreamOpen
00007ffd047c2cd8 (__TEXT,__text) external _AACompressionOutputStreamOpen
00007ffd047c363f (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
