0000000182f6ca14 (__TEXT,__text) external _CreateLSTMBreakEngine
0000000182f6c9d8 (__TEXT,__text) external _CreateLSTMData
0000000182f6c884 (__TEXT,__text) external _CreateLSTMDataForScript
0000000182f6cbc8 (__TEXT,__text) external _DeleteLSTMData
0000000182f6cc14 (__TEXT,__text) external _LSTMDataName
0000000182f4ba98 (__TEXT,__text) external _T_CString_int64ToString
0000000182f4b9c8 (__TEXT,__text) external _T_CString_integerToString
0000000182f4bb6c (__TEXT,__text) external _T_CString_stringToInteger
0000000182f4b970 (__TEXT,__text) external _T_CString_toLowerCase
0000000182f4b99c (__TEXT,__text) external _T_CString_toUpperCase
0000000182fb7b3c (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
0000000182fb78a8 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
0000000182fb7780 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
0000000182fb79e8 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
0000000182fb80ac (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
0000000182fb8054 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
0000000182fb78a4 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
0000000182fb8078 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
                 (undefined) external __DefaultRuneLocale (from libSystem)
0000000183005118 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
000000018317599c (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
0000000182f42d90 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
0000000182f42cac (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
0000000182f42e54 (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
0000000182f42e4c (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
0000000182f42ca8 (__TEXT,__text) external __ZN3icu10AppendableD0Ev
0000000182f42ca4 (__TEXT,__text) external __ZN3icu10AppendableD1Ev
0000000182f42ca0 (__TEXT,__text) external __ZN3icu10AppendableD2Ev
0000000183030820 (__TEXT,__text) external __ZN3icu10CECalendar6ceToJDEiiii
0000000183030960 (__TEXT,__text) external __ZN3icu10CECalendar6jdToCEEiiRiS1_S1_
00000001830306cc (__TEXT,__text) external __ZN3icu10CECalendarC2ERKNS_6LocaleER10UErrorCode
0000000183030748 (__TEXT,__text) external __ZN3icu10CECalendarC2ERKS0_
0000000183030784 (__TEXT,__text) external __ZN3icu10CECalendarD0Ev
0000000183030780 (__TEXT,__text) external __ZN3icu10CECalendarD1Ev
000000018303077c (__TEXT,__text) external __ZN3icu10CECalendarD2Ev
0000000183030788 (__TEXT,__text) external __ZN3icu10CECalendaraSERKS0_
0000000182f4b1d4 (__TEXT,__text) external __ZN3icu10CharString12appendNumberEiR10UErrorCode
0000000182f4b468 (__TEXT,__text) external __ZN3icu10CharString14appendPathPartENS_11StringPieceER10UErrorCode
0000000182f4ad80 (__TEXT,__text) external __ZN3icu10CharString14ensureCapacityEiiR10UErrorCode
0000000182f4b2d4 (__TEXT,__text) external __ZN3icu10CharString15getAppendBufferEiiRiR10UErrorCode
0000000182f4b3b8 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsEPKDsiR10UErrorCode
0000000182f4b36c (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsERKNS_13UnicodeStringER10UErrorCode
0000000182f4b4f8 (__TEXT,__text) external __ZN3icu10CharString27ensureEndsWithFileSeparatorER10UErrorCode
0000000182f4b028 (__TEXT,__text) external __ZN3icu10CharString6appendEPKciR10UErrorCode
0000000182f4afc8 (__TEXT,__text) external __ZN3icu10CharString6appendEcR10UErrorCode
0000000182f4ad10 (__TEXT,__text) external __ZN3icu10CharString8copyFromERKS0_R10UErrorCode
0000000182f4afa4 (__TEXT,__text) external __ZN3icu10CharString8truncateEi
0000000182f4ab60 (__TEXT,__text) external __ZN3icu10CharStringC1EOS0_
0000000182f4aae0 (__TEXT,__text) external __ZN3icu10CharStringC2EOS0_
0000000182f4ab64 (__TEXT,__text) external __ZN3icu10CharStringaSEOS0_
00000001830580f4 (__TEXT,__text) external __ZN3icu10DateFormat10setContextE15UDisplayContextR10UErrorCode
0000000183057f7c (__TEXT,__text) external __ZN3icu10DateFormat10setLenientEa
0000000183057d2c (__TEXT,__text) external __ZN3icu10DateFormat11setCalendarERKNS_8CalendarE
0000000183057f5c (__TEXT,__text) external __ZN3icu10DateFormat11setTimeZoneERKNS_8TimeZoneE
0000000183057cd8 (__TEXT,__text) external __ZN3icu10DateFormat13adoptCalendarEPNS_8CalendarE
0000000183057f4c (__TEXT,__text) external __ZN3icu10DateFormat13adoptTimeZoneEPNS_8TimeZoneE
00000001830577d0 (__TEXT,__text) external __ZN3icu10DateFormat14createInstanceEv
0000000183057804 (__TEXT,__text) external __ZN3icu10DateFormat14getBestPatternERKNS_6LocaleERKNS_13UnicodeStringER10UErrorCode
0000000183057eb4 (__TEXT,__text) external __ZN3icu10DateFormat15setNumberFormatERKNS_12NumberFormatE
0000000183057dfc (__TEXT,__text) external __ZN3icu10DateFormat17adoptNumberFormatEPNS_12NumberFormatE
0000000183057658 (__TEXT,__text) external __ZN3icu10DateFormat18createDateInstanceENS0_6EStyleERKNS_6LocaleE
0000000183057634 (__TEXT,__text) external __ZN3icu10DateFormat18createTimeInstanceENS0_6EStyleERKNS_6LocaleE
00000001830580d4 (__TEXT,__text) external __ZN3icu10DateFormat18setCalendarLenientEa
0000000183057cd4 (__TEXT,__text) external __ZN3icu10DateFormat19getAvailableLocalesERi
0000000183058158 (__TEXT,__text) external __ZN3icu10DateFormat19setBooleanAttributeE27UDateFormatBooleanAttributeaR10UErrorCode
0000000183057640 (__TEXT,__text) external __ZN3icu10DateFormat22createDateTimeInstanceENS0_6EStyleES1_RKNS_6LocaleE
00000001830579f0 (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonEPNS_8CalendarERKNS_13UnicodeStringERKNS_6LocaleER10UErrorCode
0000000183057c90 (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonERKNS_13UnicodeStringER10UErrorCode
0000000183057b84 (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonERKNS_13UnicodeStringERKNS_6LocaleER10UErrorCode
0000000183057670 (__TEXT,__text) external __ZN3icu10DateFormat6createENS0_6EStyleES1_RKNS_6LocaleE
0000000183056de8 (__TEXT,__text) external __ZN3icu10DateFormatC2ERKS0_
0000000183056da8 (__TEXT,__text) external __ZN3icu10DateFormatC2Ev
0000000183056fe4 (__TEXT,__text) external __ZN3icu10DateFormatD0Ev
0000000183056fe0 (__TEXT,__text) external __ZN3icu10DateFormatD1Ev
0000000183056f38 (__TEXT,__text) external __ZN3icu10DateFormatD2Ev
0000000183056e48 (__TEXT,__text) external __ZN3icu10DateFormataSERKS0_
00000001830925e4 (__TEXT,__text) external __ZN3icu10GenderInfo11getInstanceERKNS_6LocaleER10UErrorCode
0000000183092754 (__TEXT,__text) external __ZN3icu10GenderInfo12loadInstanceERKNS_6LocaleER10UErrorCode
0000000183092a94 (__TEXT,__text) external __ZN3icu10GenderInfo18getNeutralInstanceEv
0000000183092ab0 (__TEXT,__text) external __ZN3icu10GenderInfo21getMaleTaintsInstanceEv
0000000183092aa0 (__TEXT,__text) external __ZN3icu10GenderInfo23getMixedNeutralInstanceEv
0000000183092574 (__TEXT,__text) external __ZN3icu10GenderInfoC1Ev
0000000183092598 (__TEXT,__text) external __ZN3icu10GenderInfoC2Ev
