00007ffd04f22ca2 (__TEXT,__text) non-external _Done_iODBC
00007ffd04f40a20 (__TEXT,__const) non-external _FunctionNumbers
00007ffd04f3fa6b (__TEXT,__text) non-external _GetPrivateProfileString
00007ffd04f22b84 (__TEXT,__text) non-external _Init_iODBC
00007ffd41a4e63c (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffd04f21265 (__TEXT,__text) external _SQLAllocConnect
00007ffd04f21150 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffd04f22b0b (__TEXT,__text) external _SQLAllocEnv
00007ffd04f22958 (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffd04f2d2e4 (__TEXT,__text) external _SQLAllocHandle
00007ffd04f2d3df (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffd04f2d054 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffd04f25d8d (__TEXT,__text) external _SQLAllocStmt
00007ffd04f257c4 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffd04f2aee1 (__TEXT,__text) external _SQLBindCol
00007ffd04f33274 (__TEXT,__text) external _SQLBindParam
00007ffd04f2a211 (__TEXT,__text) external _SQLBindParameter
00007ffd04f1deb5 (__TEXT,__text) external _SQLBrowseConnect
00007ffd04f1e026 (__TEXT,__text) external _SQLBrowseConnectA
00007ffd04f1e197 (__TEXT,__text) external _SQLBrowseConnectW
00007ffd04f1d856 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffd04f32d50 (__TEXT,__text) external _SQLBulkOperations
00007ffd04f26c76 (__TEXT,__text) external _SQLCancel
00007ffd04f332a0 (__TEXT,__text) external _SQLCloseCursor
00007ffd04f32790 (__TEXT,__text) external _SQLColAttribute
00007ffd04f3293c (__TEXT,__text) external _SQLColAttributeA
00007ffd04f32ae8 (__TEXT,__text) external _SQLColAttributeW
00007ffd04f32062 (__TEXT,__text) non-external _SQLColAttribute_Internal
00007ffd04f2cb50 (__TEXT,__text) external _SQLColAttributes
00007ffd04f2ccfc (__TEXT,__text) external _SQLColAttributesA
00007ffd04f2cea8 (__TEXT,__text) external _SQLColAttributesW
00007ffd04f2c65d (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffd04f1641c (__TEXT,__text) external _SQLColumnPrivileges
00007ffd04f16613 (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffd04f1680a (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffd04f16160 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007ffd04f16cbd (__TEXT,__text) external _SQLColumns
00007ffd04f16eb4 (__TEXT,__text) external _SQLColumnsA
00007ffd04f170ab (__TEXT,__text) external _SQLColumnsW
00007ffd04f16a01 (__TEXT,__text) non-external _SQLColumns_Internal
00007ffd04f1aca7 (__TEXT,__text) external _SQLConnect
00007ffd04f1b5e8 (__TEXT,__text) external _SQLConnectA
00007ffd04f1b77f (__TEXT,__text) external _SQLConnectW
00007ffd04f1ae3e (__TEXT,__text) non-external _SQLConnect_Internal
00007ffd04f4077f (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffd04f31ee2 (__TEXT,__text) external _SQLCopyDesc
00007ffd04f27784 (__TEXT,__text) external _SQLDataSources
00007ffd04f278ac (__TEXT,__text) external _SQLDataSourcesA
00007ffd04f279d4 (__TEXT,__text) external _SQLDataSourcesW
00007ffd04f27310 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffd41a4e5c0 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffd41a4e5e0 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffd41a4e5e8 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffd04f2c096 (__TEXT,__text) external _SQLDescribeCol
00007ffd04f2c283 (__TEXT,__text) external _SQLDescribeColA
00007ffd04f2c470 (__TEXT,__text) external _SQLDescribeColW
00007ffd04f2bde9 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffd04f1ffbc (__TEXT,__text) external _SQLDescribeParam
00007ffd04f1e308 (__TEXT,__text) external _SQLDisconnect
00007ffd04f1d373 (__TEXT,__text) external _SQLDriverConnect
00007ffd04f1d514 (__TEXT,__text) external _SQLDriverConnectA
00007ffd04f1d6b5 (__TEXT,__text) external _SQLDriverConnectW
00007ffd04f1b916 (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffd04f407a2 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffd04f407c5 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffd04f28067 (__TEXT,__text) external _SQLDrivers
00007ffd04f2818f (__TEXT,__text) external _SQLDriversA
00007ffd04f282b7 (__TEXT,__text) external _SQLDriversW
00007ffd04f27c37 (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffd41a4e5c4 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffd41a4e5f0 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007ffd41a4e5f8 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffd04f32c94 (__TEXT,__text) external _SQLEndTran
00007ffd04f2365e (__TEXT,__text) external _SQLError
00007ffd04f23743 (__TEXT,__text) external _SQLErrorA
00007ffd04f23828 (__TEXT,__text) external _SQLErrorW
00007ffd04f1f4d8 (__TEXT,__text) external _SQLExecDirect
00007ffd04f1f614 (__TEXT,__text) external _SQLExecDirectA
00007ffd04f1f750 (__TEXT,__text) external _SQLExecDirectW
00007ffd04f1f2a0 (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffd04f1f003 (__TEXT,__text) external _SQLExecute
00007ffd04f206da (__TEXT,__text) external _SQLExtendedFetch
00007ffd04f20440 (__TEXT,__text) external _SQLFetch
00007ffd04f32f58 (__TEXT,__text) external _SQLFetchScroll
00007ffd04f20288 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffd04f17643 (__TEXT,__text) external _SQLForeignKeys
00007ffd04f17865 (__TEXT,__text) external _SQLForeignKeysA
00007ffd04f17a87 (__TEXT,__text) external _SQLForeignKeysW
00007ffd04f172a2 (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffd04f213ac (__TEXT,__text) external _SQLFreeConnect
