000000018017fc60 (__TEXT,__text) non-external K256
00000001801814f0 (__TEXT,__text) non-external K_XMM_AR
0000000180181530 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA1_compress
000000018017fd60 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA256_compress
0000000180180070 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA512_compress
000000018010b7f0 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA512_compress_hwassist
00000001801109b0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018013c2e0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018017e484 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001801109d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001801109f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001801109f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001801109f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001801109f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000018013c2f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001801109d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001801109d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001801109f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000180192afc (__TEXT,__const) non-external (was a private external) _SANDBOX_CHECK_NO_REPORT
0000000180192ab0 (__TEXT,__const) non-external _UUID_NULL
00000001801a156b (__TEXT,__cstring) non-external __0x
0000000180158140 (__TEXT,__text) non-external (was a private external) __Block_object_assign
0000000180106de8 (__TEXT,__text) non-external (was a private external) __Block_object_dispose
00000001801a1549 (__TEXT,__cstring) non-external __H
00000001edb42ce0 (__DATA,__common) non-external (was a private external) __NSConcreteGlobalBlock
00000001edb42be0 (__DATA,__common) non-external (was a private external) __NSConcreteStackBlock
000000018013c310 (__TEXT,__text) non-external (was a private external) __Z10murmurHashPKviy
0000000180163d30 (__TEXT,__text) non-external (was a private external) __Z11signPointeryPvbt11ptrauth_key
0000000180190454 (__TEXT,__text) non-external __Z11signPointeryPvbt11ptrauth_key.cold.1
00000001801104b8 (__TEXT,__text) non-external (was a private external) __Z17appendHexToStringIiEvPcT_y
0000000180110418 (__TEXT,__text) non-external (was a private external) __Z17appendHexToStringIyEvPcT_y
000000018016d1f0 (__TEXT,__text) non-external (was a private external) __Z5cksumNSt3__14spanISt4byteLm18446744073709551615EEE
00000001edb42780 (__DATA,__data) non-external __ZL12sProcessInfo
0000000180110190 (__TEXT,__text) non-external __ZL15OSMemoryBarrierv
00000001ee4d1e90 (__DATA_CONST,__const) non-external __ZL15cryptexPrefixes
000000018013c1dc (__TEXT,__text) non-external __ZL15hactivateRegionbbyyy
000000018018fafc (__TEXT,__text) non-external __ZL15hactivateRegionbbyyy.cold.1
000000018010fd4c (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy
0000000180153d10 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy
000000018018e96c (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy.cold.1
000000018018e998 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy.cold.2
000000018018e9c4 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy.cold.3
000000018011017c (__TEXT,__text) non-external __ZL32OSAtomicCompareAndSwapPtrBarrierPvS_PVS_
0000000180192220 (__TEXT,__const) non-external __ZL8crcTable
000000018013f0c8 (__TEXT,__text) non-external (was a private external) __ZN10AAREncoder7addFileENSt3__117basic_string_viewIcNS0_11char_traitsIcEEEENS0_4spanISt4byteLm18446744073709551615EEE
000000018013effc (__TEXT,__text) non-external (was a private external) __ZN10AAREncoderC1ERN3lsl9AllocatorE
000000018013f0c4 (__TEXT,__text) non-external (was a private external) __ZN10AAREncoderD1Ev
000000018013f014 (__TEXT,__text) non-external (was a private external) __ZN10AAREncoderD2Ev
000000018016e170 (__TEXT,__text) non-external (was a private external) __ZN10ByteStream9push_backEhy
000000018013ee20 (__TEXT,__text) non-external (was a private external) __ZN10ByteStream9push_backIjEEvT_
000000018013edd8 (__TEXT,__text) non-external (was a private external) __ZN10ByteStream9push_backItEEvT_
000000018013ee68 (__TEXT,__text) non-external (was a private external) __ZN10ByteStream9push_backIyEEvT_
000000018016d418 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
000000018016d5d0 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics11appendErrorEPKcz
000000018019060c (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.1
0000000180190638 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.2
0000000180190664 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.3
0000000180190690 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.4
000000018016d4a8 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKc12va_list_wrap
000000018019055c (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.1
0000000180190588 (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.2
00000001801905b4 (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.3
00000001801905e0 (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.4
000000018016d47c (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
000000018016d3d8 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1EOS_
000000018016d3d0 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Ev
0000000180106dc0 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
000000018015a240 (__TEXT,__text) non-external (was a private external) __ZN11FileIdTupleC1ERK4stat
000000018015a254 (__TEXT,__text) non-external (was a private external) __ZN11FileIdTupleC1Eyy
000000018016e414 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary10deallocateEv
0000000180155e34 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_4DataEJRNSt3__14spanISt4byteLm18446744073709551615EEEEEERT_NS3_17basic_string_viewIcNS3_11char_traitsIcEEEEDpOT0_
0000000180155ff0 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_4UUIDEJRA16_hEEERT_NSt3__117basic_string_viewIcNS7_11char_traitsIcEEEEDpOT0_
0000000180154ee0 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_5ArrayEJEEERT_NSt3__117basic_string_viewIcNS5_11char_traitsIcEEEEDpOT0_
0000000180156484 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_5FlagsIxEEJEEERT_NSt3__117basic_string_viewIcNS6_11char_traitsIcEEEEDpOT0_
0000000180156700 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_6BitmapEJmEEERT_NSt3__117basic_string_viewIcNS5_11char_traitsIcEEEEDpOT0_
0000000180155f08 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_6StringEJPKcEEERT_NSt3__117basic_string_viewIcNS7_11char_traitsIcEEEEDpOT0_
0000000180156208 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_6StringEJRKNSt3__117basic_string_viewIcNS3_11char_traitsIcEEEEEEERT_S7_DpOT0_
0000000180155f08 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_6StringEJRPKcEEERT_NSt3__117basic_string_viewIcNS8_11char_traitsIcEEEEDpOT0_
00000001801563b0 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_7IntegerEJRKhEEERT_NSt3__117basic_string_viewIcNS7_11char_traitsIcEEEEDpOT0_
0000000180156568 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_7IntegerEJRKiEEERT_NSt3__117basic_string_viewIcNS7_11char_traitsIcEEEEDpOT0_
