                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
00007ffc14a735a4 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffc14a73d90 (__TEXT,__const) external _libopenpam
00007ffc14a739ab (__TEXT,__text) external _misc_conv
00007ffc14a7375a (__TEXT,__text) external _pam_acct_mgmt
00007ffc14a7368e (__TEXT,__text) external _pam_authenticate
00007ffc14a737c0 (__TEXT,__text) external _pam_chauthtok
00007ffc14a73884 (__TEXT,__text) external _pam_close_session
00007ffc14a7363a (__TEXT,__text) external _pam_end
00007ffc14a73b51 (__TEXT,__text) external _pam_get_data
00007ffc14a73946 (__TEXT,__text) external _pam_get_item
00007ffc14a73cfc (__TEXT,__text) external _pam_get_pass
00007ffc14a73c20 (__TEXT,__text) external _pam_get_user
00007ffc14a73ab8 (__TEXT,__text) external _pam_getenv
00007ffc14a73b07 (__TEXT,__text) external _pam_getenvlist
00007ffc14a73827 (__TEXT,__text) external _pam_open_session
00007ffc14a73c85 (__TEXT,__text) external _pam_prompt
00007ffc14a73a62 (__TEXT,__text) external _pam_putenv
00007ffc14a73bb6 (__TEXT,__text) external _pam_set_data
00007ffc14a738e1 (__TEXT,__text) external _pam_set_item
00007ffc14a736f4 (__TEXT,__text) external _pam_setcred
00007ffc14a735d0 (__TEXT,__text) external _pam_start
00007ffc14a73a15 (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ffc14a73532 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00007ffc14a73547 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
00007ffc14a7359c (__TEXT,__text) external _xlate_pam_shim_item_type
00007ffc14a73579 (__TEXT,__text) external _xlate_pam_shim_retval
00007ffc14a7355c (__TEXT,__text) external _xlate_pam_shim_session_flags
00007ffc14a7356c (__TEXT,__text) external _xlate_pam_shim_setcred_flags
