00007fff2a2128ad (__TEXT,__text) external _BZ2_bzBuffToBuffCompress
00007fff2a2116da (__TEXT,__text) external _BZ2_bzBuffToBuffDecompress
00007fff2a212b83 (__TEXT,__text) external _BZ2_bzCompress
00007fff2a212cd7 (__TEXT,__text) external _BZ2_bzCompressEnd
00007fff2a212992 (__TEXT,__text) external _BZ2_bzCompressInit
00007fff2a211875 (__TEXT,__text) external _BZ2_bzDecompress
00007fff2a21282b (__TEXT,__text) external _BZ2_bzDecompressEnd
00007fff2a2117a3 (__TEXT,__text) external _BZ2_bzDecompressInit
00007fff2a2198b4 (__TEXT,__text) external _BZ2_bzRead
00007fff2a219822 (__TEXT,__text) external _BZ2_bzReadClose
00007fff2a219afd (__TEXT,__text) external _BZ2_bzReadGetUnused
00007fff2a2196a0 (__TEXT,__text) external _BZ2_bzReadOpen
00007fff2a2192d1 (__TEXT,__text) external _BZ2_bzWrite
00007fff2a219442 (__TEXT,__text) external _BZ2_bzWriteClose
00007fff2a219463 (__TEXT,__text) external _BZ2_bzWriteClose64
00007fff2a219190 (__TEXT,__text) external _BZ2_bzWriteOpen
00007fff2a219e2e (__TEXT,__text) external _BZ2_bzclose
00007fff2a219d9c (__TEXT,__text) external _BZ2_bzdopen
00007fff2a219ed2 (__TEXT,__text) external _BZ2_bzerror
00007fff2a219e26 (__TEXT,__text) external _BZ2_bzflush
00007fff2a218db5 (__TEXT,__text) external _BZ2_bzlibVersion
00007fff2a219b83 (__TEXT,__text) external _BZ2_bzopen
00007fff2a219db2 (__TEXT,__text) external _BZ2_bzread
00007fff2a219df0 (__TEXT,__text) external _BZ2_bzwrite
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strlcat_chk (from libSystem)
                 (undefined) external __get_cpu_capabilities (from libSystem)
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _ungetc (from libSystem)
                 (undefined) external dyld_stub_binder (from libSystem)
