000000018040924c (__TEXT,__text) external _NSAddImage
00000001804091dc (__TEXT,__text) external _NSAddLibrary
0000000180409214 (__TEXT,__text) external _NSAddLibraryWithSearching
0000000180408bc0 (__TEXT,__text) external _NSAddressOfSymbol
0000000180408d70 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
0000000180408ad8 (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
0000000180408da4 (__TEXT,__text) external _NSDestroyObjectFileImage
0000000180408b48 (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
000000018040919c (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
0000000180408ed4 (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
0000000180408f9c (__TEXT,__text) external _NSIsSymbolNameDefined
0000000180409000 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
0000000180408fcc (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
0000000180408f38 (__TEXT,__text) external _NSLibraryNameForModule
0000000180409158 (__TEXT,__text) external _NSLinkEditError
0000000180408b10 (__TEXT,__text) external _NSLinkModule
0000000180409034 (__TEXT,__text) external _NSLookupAndBindSymbol
0000000180409064 (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00000001804090a0 (__TEXT,__text) external _NSLookupSymbolInImage
0000000180408b84 (__TEXT,__text) external _NSLookupSymbolInModule
0000000180409120 (__TEXT,__text) external _NSModuleForSymbol
0000000180408f08 (__TEXT,__text) external _NSNameOfModule
00000001804090e0 (__TEXT,__text) external _NSNameOfSymbol
0000000180408dd4 (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
0000000180408e14 (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
0000000180408e54 (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
0000000180408e94 (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
0000000180408f68 (__TEXT,__text) external _NSUnLinkModule
0000000180407a38 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
0000000180407d04 (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00000001db875838 (__DATA_DIRTY,__common) external _NXArgc
00000001db875840 (__DATA_DIRTY,__common) external _NXArgv
0000000180418174 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180419748 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018041f0b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180424db8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180418188 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000018041975c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000018041f0cc (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000180424dcc (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000018041823c (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
0000000180418250 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
0000000180418264 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
0000000180418278 (__TEXT,__text) non-external _OUTLINED_FUNCTION_13
000000018041828c (__TEXT,__text) non-external _OUTLINED_FUNCTION_14
00000001804182a0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_15
00000001804182b4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_16
00000001804182c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_17
000000018041819c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000180419770 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
000000018041f0e0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001804181b0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001804181c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001804181d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001804181ec (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000180418200 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
0000000180418214 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
0000000180418228 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
000000018040781c (__TEXT,__text) external __NSGetExecutablePath
000000018041f924 (__TEXT,__text) non-external (was a private external) __Z10bytesToHexPKhmPc
0000000180419a0c (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
0000000180425968 (__TEXT,__text) non-external (was a private external) __Z28macho_best_slice_fd_internaliN5dyld38PlatformERKNS_11GradedArchsES3_bU13block_pointerFvPK11mach_headerymE
0000000180425cec (__TEXT,__text) non-external __ZL27launchableOnCurrentPlatformPKN5dyld39MachOFileE
0000000180408d38 (__TEXT,__text) non-external __ZL28legacyDyldLookup4OldBinariesPKcPPv
00000001dd5b96c8 (__AUTH_CONST,__const) non-external __ZL8sHelpers
0000000180408c30 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
0000000180408cb8 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics11appendErrorEPKcz
0000000180408c60 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcPc
0000000180408364 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
0000000180407280 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Eb
000000018040744c (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
00000001804198e8 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer3mapEjym
0000000180419860 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer6createEjymb
0000000180419854 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferC1Ev
00000001804199dc (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferD1Ev
000000018040a838 (__TEXT,__text) non-external __ZN12_GLOBAL__N_113cacheFilePeekEiPh
00000001804185c0 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache14isSubCachePathEPKc
000000018041a058 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base12addDyldImageEjyyPKc
000000018041ab98 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_32EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
000000018041b66c (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_64EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
000000018041a0f0 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base15copySegmentNameEPKc
0000000180419d94 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base23addInfoFromLoadCommandsEPK11mach_headerym
0000000180419ee0 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base29addInfoFromRemoteLoadCommandsEjy
000000018041a518 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base4makeI23dyld_all_image_infos_3218dyld_image_info_32EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
000000018041a7d4 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base4makeI23dyld_all_image_infos_6418dyld_image_info_64EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
0000000180419c88 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base8addImageEjbyyPKc
0000000180419b94 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base8copyPathEjy
0000000180419b28 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base9addStringEPKcm
0000000180419aa4 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_baseC2Ejjjm
