000000000003c1b8 (__DATA,__data) external _NDR_record
000000000001cc04 (__TEXT,__text) non-external __Xexception_raise
000000000001cccc (__TEXT,__text) non-external __Xexception_raise_state
000000000001cddc (__TEXT,__text) non-external __Xexception_raise_state_identity
000000000000cd80 (__TEXT,__text) external _____sigwait_nocancel
0000000000031040 (__TEXT,__const) external ____kernelVersionNumber
000000000003100c (__TEXT,__const) external ____kernelVersionString
000000000000cda8 (__TEXT,__text) external ___abort_with_payload
0000000000008b18 (__TEXT,__text) external ___accept
000000000000cdd0 (__TEXT,__text) external ___accept_nocancel
000000000000cdf8 (__TEXT,__text) external ___access_extended
000000000000ce20 (__TEXT,__text) external ___aio_suspend_nocancel
0000000000007fe0 (__TEXT,__text) external ___bind
0000000000004638 (__TEXT,__text) external ___bsdthread_create
00000000000027e4 (__TEXT,__text) external ___bsdthread_ctl
00000000000064f4 (__TEXT,__text) external ___bsdthread_register
00000000000037d4 (__TEXT,__text) external ___bsdthread_terminate
000000000000c61c (__TEXT,__text) external ___carbon_delete
000000000000ce48 (__TEXT,__text) external ___channel_get_info
000000000000ce70 (__TEXT,__text) external ___channel_get_opt
000000000000ce98 (__TEXT,__text) external ___channel_open
000000000000cec0 (__TEXT,__text) external ___channel_set_opt
000000000000cee8 (__TEXT,__text) external ___channel_sync
0000000000004598 (__TEXT,__text) external ___chmod
0000000000006034 (__TEXT,__text) external ___chmod_extended
0000000000002344 (__TEXT,__text) external ___close_nocancel
000000000000cf10 (__TEXT,__text) external ___coalition
000000000000cf38 (__TEXT,__text) external ___coalition_info
000000000000cf60 (__TEXT,__text) external ___coalition_ledger
0000000000002918 (__TEXT,__text) external ___commpage_gettimeofday
0000000000002920 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
0000000000004d24 (__TEXT,__text) external ___connect
0000000000004bac (__TEXT,__text) external ___connect_nocancel
000000000000cf88 (__TEXT,__text) external ___copyfile
000000000000cfb0 (__TEXT,__text) external ___crossarch_trap
0000000000001674 (__TEXT,__text) external ___csrctl
00000000000153b0 (__TEXT,__text) external ___darwin_check_fd_set_overflow
000000000000cfd8 (__TEXT,__text) external ___debug_syscall_reject
000000000000d000 (__TEXT,__text) external ___debug_syscall_reject_config
000000000000c644 (__TEXT,__text) external ___delete
00000000000037ac (__TEXT,__text) external ___disable_threadsignal
00000000000015b4 (__TEXT,__text) external ___error
000000000000d028 (__TEXT,__text) external ___execve
0000000000007a24 (__TEXT,__text) external ___exit
0000000000004fa8 (__TEXT,__text) external ___fchmod
000000000000612c (__TEXT,__text) external ___fchmod_extended
0000000000001714 (__TEXT,__text) external ___fcntl
0000000000004b5c (__TEXT,__text) external ___fcntl_nocancel
0000000000007df0 (__TEXT,__text) external ___fork
000000000000d050 (__TEXT,__text) external ___fs_snapshot
000000000000e23c (__TEXT,__text) external ___fstat
0000000000006104 (__TEXT,__text) external ___fstat64_extended
000000000000d078 (__TEXT,__text) external ___fstat_extended
000000000000e28c (__TEXT,__text) external ___fstatat
000000000000e2dc (__TEXT,__text) external ___fstatfs
000000000000d0a0 (__TEXT,__text) external ___fsync_nocancel
000000000000982c (__TEXT,__text) external ___get_remove_counter
00000000000015d0 (__TEXT,__text) external ___getattrlist
000000000000271c (__TEXT,__text) external ___getdirentries64
000000000000e3cc (__TEXT,__text) external ___getfsstat
0000000000005fe4 (__TEXT,__text) external ___gethostuuid
000000000000bfe4 (__TEXT,__text) external ___getlogin
0000000000004e98 (__TEXT,__text) external ___getpeername
0000000000001130 (__TEXT,__text) external ___getpid
0000000000002db0 (__TEXT,__text) external ___getrlimit
000000000000d0c8 (__TEXT,__text) external ___getsgroups
0000000000007ebc (__TEXT,__text) external ___getsockname
00000000000025ec (__TEXT,__text) external ___gettid
00000000000046b0 (__TEXT,__text) external ___gettimeofday
0000000000004688 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
000000000000d0f0 (__TEXT,__text) external ___getwgroups
000000000000d118 (__TEXT,__text) external ___guarded_open_dprotected_np
0000000000004184 (__TEXT,__text) external ___guarded_open_np
000000000000d140 (__TEXT,__text) external ___identitysvc
000000000000444c (__TEXT,__text) external ___inc_remove_counter
000000000000bfbc (__TEXT,__text) external ___initgroups
0000000000004cfc (__TEXT,__text) external ___ioctl
0000000000005028 (__TEXT,__text) external ___iopolicysys
000000000000d168 (__TEXT,__text) external ___kdebug_trace
0000000000003594 (__TEXT,__text) external ___kdebug_trace64
000000000000d190 (__TEXT,__text) external ___kdebug_trace_string
0000000000006280 (__TEXT,__text) external ___kdebug_typefilter
00000000000310b0 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
0000000000031078 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00000000000084b8 (__TEXT,__text) external ___kill
0000000000006bb8 (__TEXT,__text) external ___kqueue_workloop_ctl
00000000000061cc (__TEXT,__text) external ___lchown
00000000000062a8 (__TEXT,__text) external ___libkernel_init
000000000000f3d8 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
000000000000f2fc (__TEXT,__text) external ___libkernel_init_late
00000000000064e0 (__TEXT,__text) external ___libkernel_platform_init
0000000000001120 (__TEXT,__text) external ___libkernel_voucher_init
0000000000008af0 (__TEXT,__text) external ___listen
000000000000d1b8 (__TEXT,__text) external ___log_data
00000000000023d0 (__TEXT,__text) external ___lseek
000000000000e584 (__TEXT,__text) external ___lstat
000000000000605c (__TEXT,__text) external ___lstat64_extended
000000000000d1e0 (__TEXT,__text) external ___lstat_extended
000000000000d208 (__TEXT,__text) external ___mac_execve
000000000000d230 (__TEXT,__text) external ___mac_get_fd
000000000000d258 (__TEXT,__text) external ___mac_get_file
000000000000d280 (__TEXT,__text) external ___mac_get_link
000000000000d2a8 (__TEXT,__text) external ___mac_get_mount
