00007ff80ccca9c0 (__TEXT,__const) non-external _SHA256_K
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80ccbc7a4 (__TEXT,__text) non-external _alone_decode
00007ff80ccbca4c (__TEXT,__text) non-external _alone_decoder_end
00007ff80ccbca6d (__TEXT,__text) non-external _alone_decoder_memconfig
00007ff80ccbb948 (__TEXT,__text) non-external _alone_encode
00007ff80ccbba0c (__TEXT,__text) non-external _alone_encoder_end
00007ff80ccbb7e9 (__TEXT,__text) non-external _alone_encoder_init
00007ff80ccc6536 (__TEXT,__text) non-external _arm_code
00007ff80ccc65fd (__TEXT,__text) non-external _armthumb_code
00007ff80ccbcc2f (__TEXT,__text) non-external _auto_decode
00007ff80ccbcd4b (__TEXT,__text) non-external _auto_decoder_end
00007ff80ccbcd6c (__TEXT,__text) non-external _auto_decoder_get_check
00007ff80ccbcb50 (__TEXT,__text) non-external _auto_decoder_init
00007ff80ccbcd83 (__TEXT,__text) non-external _auto_decoder_memconfig
00007ff80ccbd047 (__TEXT,__text) non-external _block_decode
00007ff80ccbd26e (__TEXT,__text) non-external _block_decoder_end
00007ff80ccb6988 (__TEXT,__text) non-external _block_encode
00007ff80ccbab23 (__TEXT,__text) non-external _block_encoder_end
00007ff80ccb4cf7 (__TEXT,__text) non-external _block_encoder_init
00007ff80ccbbf19 (__TEXT,__text) non-external _block_encoder_update
00007ff80ccb98d8 (__TEXT,__text) non-external _bt_find_func
00007ff80ccb792a (__TEXT,__text) non-external _bt_skip_func
00007ff80ccc5e6c (__TEXT,__text) non-external _copy_or_code
00007ff80ccc0cac (__TEXT,__text) non-external _decode_buffer
00007ff80ccbd6c9 (__TEXT,__text) non-external _decoder_find
00007ff8408c3880 (__DATA_CONST,__const) non-external _decoders
00007ff80ccc57b4 (__TEXT,__text) non-external _delta_coder_end
00007ff80ccc598b (__TEXT,__text) non-external _delta_decode
00007ff80ccc5826 (__TEXT,__text) non-external _delta_encode
00007ff80ccc593a (__TEXT,__text) non-external _delta_encoder_update
00007ff80ccb52ee (__TEXT,__text) non-external _encoder_find
00007ff8408c3680 (__DATA_CONST,__const) non-external _encoders
00007ff80ccc6840 (__TEXT,__const) non-external _features
                 (undefined) external _free (from libSystem)
00007ff80ccbd4a1 (__TEXT,__text) non-external _free_properties
00007ff80ccb9a43 (__TEXT,__text) non-external _get_literal_price
00007ff80ccbdf7a (__TEXT,__text) non-external _hash_append
00007ff80ccc0205 (__TEXT,__text) non-external _hc_find_func
00007ff80ccc62c3 (__TEXT,__text) non-external _ia64_code
