00007ffa1e8ece3b (__TEXT,__text) non-external _DiToMD5
00007ffa1e8ed11b (__TEXT,__text) non-external _DiToSHA1
00007ffa1e8d7040 (__TEXT,__text) external _DriverExecutableMain
00007ffa4193eb78 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffa4193ee38 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffa4193ed40 (__DATA_CONST,__const) external _IOCommand_Class
00007ffa4193ef30 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffa4193f090 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffa1e8d3f23 (__TEXT,__text) external _IODelay
00007ffa4193f240 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffa4193f3f0 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffa1e8d756e (__TEXT,__text) external _IODriverKitTest
00007ffa1e8fb783 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffa1e8fb7ae (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffa1e8fb7d1 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffa1e8fb7fc (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffa1e8fb81f (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffa1e8fb842 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffa1e8fb865 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffa1e8fb888 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffa4193f5a0 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffa1e8d3ed2 (__TEXT,__text) external _IOFree
00007ffa1e8d3f09 (__TEXT,__text) external _IOFreeData
00007ffa1e8d7553 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffa4193fdf0 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffa4193f700 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffa1e8d3f36 (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffa1e8d6464 (__TEXT,__text) external _IOLockAlloc
00007ffa1e8d64b3 (__TEXT,__text) external _IOLockAssert
00007ffa1e8fb1d7 (__TEXT,__text) non-external _IOLockAssert.cold.1
00007ffa1e8d647f (__TEXT,__text) external _IOLockFree
00007ffa1e8d6495 (__TEXT,__text) external _IOLockLock
00007ffa1e8d649f (__TEXT,__text) external _IOLockTryLock
00007ffa1e8d64a9 (__TEXT,__text) external _IOLockUnlock
00007ffa1e8d3d3f (__TEXT,__text) external _IOLog
00007ffa1e8d3bc8 (__TEXT,__text) external _IOLogBuffer
00007ffa1e8d3de7 (__TEXT,__text) external _IOLogv
00007ffa1e8d3ea5 (__TEXT,__text) external _IOMalloc
00007ffa1e8d3edc (__TEXT,__text) external _IOMallocData
00007ffa1e8d3ec0 (__TEXT,__text) external _IOMallocZero
00007ffa1e8d3ef7 (__TEXT,__text) external _IOMallocZeroData
00007ffa4193f8b0 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ffa4193fa60 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ffa1e8d3fb6 (__TEXT,__text) external _IOParseBootArgNumber
00007ffa1e8d4465 (__TEXT,__text) external _IOParseBootArgString
00007ffa1e8d5779 (__TEXT,__text) external _IORPCMessageFromMach
00007ffa1e8faf76 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007ffa1e8fafab (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007ffa1e8d66a1 (__TEXT,__text) external _IORWLockAlloc
00007ffa1e8fb2ef (__TEXT,__text) non-external _IORWLockAlloc.cold.1
