00007ffb42ceea88 (__DATA,__bss) non-external _A
00007ffb42cee890 (__DATA,__data) non-external (was a private external) _CMARK_ARENA_MEM_ALLOCATOR
00007ffb42cee728 (__DATA,__data) non-external (was a private external) _CMARK_DEFAULT_MEM_ALLOCATOR
00007ffb42cee720 (__DATA,__data) external _CMARK_NODE_LAST_BLOCK
00007ffb42cee724 (__DATA,__data) external _CMARK_NODE_LAST_INLINE
00007ffb42ceea90 (__DATA,__common) external _CMARK_NODE_STRIKETHROUGH
00007ffb42ceea98 (__DATA,__common) external _CMARK_NODE_TABLE
00007ffb42ceeaa0 (__DATA,__common) external _CMARK_NODE_TABLE_CELL
00007ffb42ceea9c (__DATA,__common) external _CMARK_NODE_TABLE_ROW
00007ffb42ceea40 (__DATA,__bss) non-external _CMARK_NODE__TABLE_VISITED
00007ffb1f28b840 (__TEXT,__const) non-external _HREF_SAFE
00007ffb1f289bd0 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
00007ffb1f28b740 (__TEXT,__const) non-external _SMART_PUNCT_CHARS
00007ffb1f27ff3c (__TEXT,__text) non-external _S_advance_offset
00007ffb1f2723e5 (__TEXT,__text) non-external _S_blankline
00007ffb1f280948 (__TEXT,__text) non-external _S_can_contain
00007ffb1f2723d2 (__TEXT,__text) non-external _S_cr
00007ffb1f27ffd3 (__TEXT,__text) non-external _S_find_first_nonspace
00007ffb1f27430c (__TEXT,__text) non-external _S_get_enumlevel
00007ffb1f280892 (__TEXT,__text) non-external _S_node_unlink
00007ffb1f2723f8 (__TEXT,__text) non-external _S_out
00007ffb1f2709b6 (__TEXT,__text) non-external _S_outc
00007ffb1f27e501 (__TEXT,__text) non-external _S_parser_feed
00007ffb1f28b720 (__TEXT,__const) non-external _S_parser_feed.repl
00007ffb1f281c84 (__TEXT,__text) non-external _S_print_error
00007ffb1f27ec2d (__TEXT,__text) non-external _S_process_line
00007ffb1f2890d8 (__TEXT,__text) non-external _S_process_line.cold.1
00007ffb1f2890f9 (__TEXT,__text) non-external _S_process_line.cold.2
00007ffb1f28911a (__TEXT,__text) non-external _S_process_line.cold.3
00007ffb1f28913d (__TEXT,__text) non-external _S_process_line.cold.4
00007ffb1f289160 (__TEXT,__text) non-external _S_process_line.cold.5
00007ffb1f270368 (__TEXT,__text) non-external _S_put_footnote_backref
00007ffb1f26e3a4 (__TEXT,__text) non-external _S_render_node
00007ffb1f270aa0 (__TEXT,__text) non-external _S_render_node
00007ffb1f273c48 (__TEXT,__text) non-external _S_render_node
00007ffb1f2865f8 (__TEXT,__text) non-external _S_render_node
00007ffb1f288e7c (__TEXT,__text) non-external _S_render_node.cold.1
00007ffb1f288f10 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffb1f288fbf (__TEXT,__text) non-external _S_render_node.cold.1
00007ffb1f2898c4 (__TEXT,__text) non-external _S_render_node.cold.1
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffb1f2805b0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb1f2805d0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffb1f27279e (__TEXT,__text) non-external (was a private external) __ext_scan_at
00007ffb1f274520 (__TEXT,__text) non-external (was a private external) __scan_at
00007ffb1f27c195 (__TEXT,__text) non-external (was a private external) __scan_atx_heading_start
00007ffb1f28b220 (__TEXT,__const) non-external __scan_atx_heading_start.yybm
00007ffb1f2758da (__TEXT,__text) non-external (was a private external) __scan_autolink_email
00007ffb1f28a320 (__TEXT,__const) non-external __scan_autolink_email.yybm
