00007ff80c216841 (__TEXT,__const) non-external _KW_ANY
00007ff80c2167c6 (__TEXT,__const) non-external _KW_ATTLIST
00007ff80c2167f4 (__TEXT,__const) non-external _KW_CDATA
00007ff80c2167a9 (__TEXT,__const) non-external _KW_DOCTYPE
00007ff80c2167ce (__TEXT,__const) non-external _KW_ELEMENT
00007ff80c21683b (__TEXT,__const) non-external _KW_EMPTY
00007ff80c21680a (__TEXT,__const) non-external _KW_ENTITIES
00007ff80c2167bf (__TEXT,__const) non-external _KW_ENTITY
00007ff80c216835 (__TEXT,__const) non-external _KW_FIXED
00007ff80c2167fa (__TEXT,__const) non-external _KW_ID
00007ff80c2167fd (__TEXT,__const) non-external _KW_IDREF
00007ff80c216803 (__TEXT,__const) non-external _KW_IDREFS
00007ff80c2167e7 (__TEXT,__const) non-external _KW_IGNORE
00007ff80c216824 (__TEXT,__const) non-external _KW_IMPLIED
00007ff80c2167df (__TEXT,__const) non-external _KW_INCLUDE
00007ff80c216f50 (__TEXT,__const) non-external _KW_ISO_8859_1
00007ff80c2167ee (__TEXT,__const) non-external _KW_NDATA
00007ff80c216813 (__TEXT,__const) non-external _KW_NMTOKEN
00007ff80c21681b (__TEXT,__const) non-external _KW_NMTOKENS
00007ff80c2167d6 (__TEXT,__const) non-external _KW_NOTATION
00007ff80c216845 (__TEXT,__const) non-external _KW_PCDATA
00007ff80c2167b8 (__TEXT,__const) non-external _KW_PUBLIC
00007ff80c21682c (__TEXT,__const) non-external _KW_REQUIRED
00007ff80c2167b1 (__TEXT,__const) non-external _KW_SYSTEM
00007ff80c216f5b (__TEXT,__const) non-external _KW_US_ASCII
00007ff80c216f6a (__TEXT,__const) non-external _KW_UTF_16
00007ff80c216f71 (__TEXT,__const) non-external _KW_UTF_16BE
00007ff80c216f7a (__TEXT,__const) non-external _KW_UTF_16LE
00007ff80c216f64 (__TEXT,__const) non-external _KW_UTF_8
00007ff80c216f91 (__TEXT,__const) non-external _KW_encoding
00007ff80c216fa9 (__TEXT,__const) non-external _KW_no
00007ff80c216f9a (__TEXT,__const) non-external _KW_standalone
00007ff80c216f89 (__TEXT,__const) non-external _KW_version
00007ff80c216fa5 (__TEXT,__const) non-external _KW_yes
00007ff80c200e2e (__TEXT,__text) external _XML_DefaultCurrent
00007ff80c200f48 (__TEXT,__text) external _XML_ErrorString
00007ff80c200f66 (__TEXT,__text) external _XML_ExpatVersion
00007ff80c200f73 (__TEXT,__text) external _XML_ExpatVersionInfo
00007ff80c1ff3a4 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00007ff80c200dd4 (__TEXT,__text) external _XML_FreeContentModel
00007ff80c200289 (__TEXT,__text) external _XML_GetBase
00007ff80c200788 (__TEXT,__text) external _XML_GetBuffer
00007ff80c200cc3 (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff80c200c9a (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff80c200d7e (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff80c200d25 (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff80c200c83 (__TEXT,__text) external _XML_GetErrorCode
00007ff80c200f88 (__TEXT,__text) external _XML_GetFeatureList
00007ff840854690 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff80c2002b5 (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff80c200cec (__TEXT,__text) external _XML_GetInputContext
00007ff80c200c64 (__TEXT,__text) external _XML_GetParsingStatus
00007ff80c216615 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00007ff80c20029e (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff80c200e19 (__TEXT,__text) external _XML_MemFree
00007ff80c200de9 (__TEXT,__text) external _XML_MemMalloc
00007ff80c200e00 (__TEXT,__text) external _XML_MemRealloc
00007ff80c200550 (__TEXT,__text) external _XML_Parse
00007ff80c2009c4 (__TEXT,__text) external _XML_ParseBuffer
00007ff80c1fe9f0 (__TEXT,__text) external _XML_ParserCreate
00007ff80c1fea0c (__TEXT,__text) external _XML_ParserCreateNS
00007ff80c1fea00 (__TEXT,__text) external _XML_ParserCreate_MM
00007ff80c1ffd99 (__TEXT,__text) external _XML_ParserFree
00007ff80c1fed12 (__TEXT,__text) external _XML_ParserReset
00007ff80c200b90 (__TEXT,__text) external _XML_ResumeParser
00007ff80c2004be (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff80c2001e2 (__TEXT,__text) external _XML_SetBase
00007ff80c200fcf (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00007ff80c200f95 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff80c200330 (__TEXT,__text) external _XML_SetCdataSectionHandler
00007ff80c2002fd (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff80c20031e (__TEXT,__text) external _XML_SetCommentHandler
00007ff80c20036d (__TEXT,__text) external _XML_SetDefaultHandler
00007ff80c200386 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff80c20039f (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff80c2004ac (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff80c2002cc (__TEXT,__text) external _XML_SetElementHandler
00007ff80c1ff2f1 (__TEXT,__text) external _XML_SetEncoding
00007ff80c20035b (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff80c2003ca (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00007ff80c2002ee (__TEXT,__text) external _XML_SetEndElementHandler
00007ff80c20042b (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff80c2004d0 (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff80c20044f (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff80c200461 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff80c20051a (__TEXT,__text) external _XML_SetHashSalt
00007ff80c200400 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00007ff80c20043d (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff80c2003ee (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff80c2004f4 (__TEXT,__text) external _XML_SetParamEntityParsing
00007ff80c20030c (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00007ff80c2001a5 (__TEXT,__text) external _XML_SetReturnNSTriplet
00007ff80c200481 (__TEXT,__text) external _XML_SetSkippedEntityHandler
00007ff80c200349 (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00007ff80c2003b8 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00007ff80c2002df (__TEXT,__text) external _XML_SetStartElementHandler
00007ff80c200419 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00007ff80c200493 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00007ff80c2003dc (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00007ff80c2001c7 (__TEXT,__text) external _XML_SetUserData
00007ff80c2004e2 (__TEXT,__text) external _XML_SetXmlDeclHandler
00007ff80c200b21 (__TEXT,__text) external _XML_StopParser
00007ff80c200177 (__TEXT,__text) external _XML_UseForeignDTD
00007ff80c200168 (__TEXT,__text) external _XML_UseParserAsHandlerArg
00007ff80c20a7af (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00007ff80c20acd5 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00007ff80c20a7a2 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00007ff80c20acc8 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00007ff80c20a7bc (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00007ff80c20ace2 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00007ff80c20a236 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00007ff80c20aeb1 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00007ff80c20a8ba (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00007ff80c20ad7b (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00007ff80c208900 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00007ff80c2089e0 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00007ff80c20a22b (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00007ff80c20a1df (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00007ff80c20a12f (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00007ff80c20a0a4 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80c203098 (__TEXT,__text) non-external _accountingDiffTolerated
00007ff80c21665b (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00007ff80c204c81 (__TEXT,__text) non-external _accountingGetCurrentAmplification
00007ff80c21667e (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00007ff80c204cf9 (__TEXT,__text) non-external _accountingReportStats
00007ff80c207610 (__TEXT,__text) non-external _addBinding
00007ff80c217c80 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00007ff80c217cb0 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00007ff80c2078e4 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00007ff840855fd8 (__DATA_CONST,__const) non-external _ascii_encoding
00007ff840856928 (__DATA_CONST,__const) non-external _ascii_encoding_ns
00007ff80c212651 (__TEXT,__text) non-external _ascii_toUtf8
00007ff80c208ee5 (__TEXT,__text) non-external _attlist0
00007ff80c2095e4 (__TEXT,__text) non-external _attlist1
00007ff80c209654 (__TEXT,__text) non-external _attlist2
00007ff8408550b0 (__DATA_CONST,__const) non-external _attlist2.types
00007ff80c209878 (__TEXT,__text) non-external _attlist3
00007ff80c2099a6 (__TEXT,__text) non-external _attlist4
00007ff80c209832 (__TEXT,__text) non-external _attlist5
00007ff80c20990c (__TEXT,__text) non-external _attlist6
00007ff80c209952 (__TEXT,__text) non-external _attlist7
00007ff80c20973f (__TEXT,__text) non-external _attlist8
00007ff80c2098c6 (__TEXT,__text) non-external _attlist9
00007ff80c2148e8 (__TEXT,__text) non-external _big2_attributeValueTok
00007ff80c2144f8 (__TEXT,__text) non-external _big2_cdataSectionTok
00007ff80c21500c (__TEXT,__text) non-external _big2_charRefNumber
00007ff80c215eb4 (__TEXT,__text) non-external _big2_checkPiTarget
00007ff80c213278 (__TEXT,__text) non-external _big2_contentTok
