00007ff8400a4bd0 (__DATA,__data) external _NDR_record
00007ff800af25cb (__TEXT,__text) non-external __Xexception_raise
00007ff800af2673 (__TEXT,__text) non-external __Xexception_raise_state
00007ff800af2765 (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff800adf610 (__TEXT,__text) external _____sigwait_nocancel
00007ff800b08928 (__TEXT,__const) external ____kernelVersionNumber
00007ff800b088f0 (__TEXT,__const) external ____kernelVersionString
00007ff800adf628 (__TEXT,__text) external ___abort_with_payload
00007ff800adf640 (__TEXT,__text) external ___accept
00007ff800adf658 (__TEXT,__text) external ___accept_nocancel
00007ff800adf670 (__TEXT,__text) external ___access_extended
00007ff800adf688 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff800adf6a0 (__TEXT,__text) external ___bind
00007ff800adf6b8 (__TEXT,__text) external ___bsdthread_create
00007ff800adf6d0 (__TEXT,__text) external ___bsdthread_ctl
00007ff800adf6e8 (__TEXT,__text) external ___bsdthread_register
00007ff800adf700 (__TEXT,__text) external ___bsdthread_terminate
00007ff800af1910 (__TEXT,__text) external ___carbon_delete
00007ff800adf718 (__TEXT,__text) external ___channel_get_info
00007ff800adf730 (__TEXT,__text) external ___channel_get_opt
00007ff800adf748 (__TEXT,__text) external ___channel_open
00007ff800adf760 (__TEXT,__text) external ___channel_set_opt
00007ff800adf778 (__TEXT,__text) external ___channel_sync
00007ff800adf790 (__TEXT,__text) external ___chmod
00007ff800adf7a8 (__TEXT,__text) external ___chmod_extended
00007ff800adf7c0 (__TEXT,__text) external ___close_nocancel
00007ff800adf7d8 (__TEXT,__text) external ___coalition
00007ff800adf7f0 (__TEXT,__text) external ___coalition_info
00007ff800adf808 (__TEXT,__text) external ___coalition_ledger
00007ff800ae5382 (__TEXT,__text) external ___commpage_gettimeofday
00007ff800ae5389 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff800adf820 (__TEXT,__text) external ___connect
00007ff800adf838 (__TEXT,__text) external ___connect_nocancel
00007ff800adf850 (__TEXT,__text) external ___copyfile
00007ff800adf868 (__TEXT,__text) external ___crossarch_trap
00007ff800adf880 (__TEXT,__text) external ___csrctl
00007ff800ae9f10 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff800adf898 (__TEXT,__text) external ___debug_syscall_reject
00007ff800adf8b0 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff800adf8c8 (__TEXT,__text) external ___delete
00007ff800adf8e0 (__TEXT,__text) external ___disable_threadsignal
00007ff800ae5a93 (__TEXT,__text) external ___error
00007ff800adf8f8 (__TEXT,__text) external ___execve
00007ff800adf910 (__TEXT,__text) external ___exit
00007ff800adf928 (__TEXT,__text) external ___fchmod
00007ff800adf940 (__TEXT,__text) external ___fchmod_extended
00007ff800adf958 (__TEXT,__text) external ___fcntl
