00007ff8136a96c0 (__TEXT,__const) non-external _DOWNCASE_TBL
00007ff8136a9530 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
00007ff8136aa2a0 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS.383
00007ff8136a9da0 (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
00007ff8136a97c0 (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
00007ff8136aa1a0 (__TEXT,__const) non-external _VALID_METHOD_CHARS
00007ff8136a9bc0 (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff8136a4970 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff8136a4990 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff813694cb4 (__TEXT,__text) non-external _active_outbound_item_reset
00007ff8136997b8 (__TEXT,__text) non-external _add_hd_table_incremental
00007ff81369ccfe (__TEXT,__text) non-external _bubble_down
00007ff81369cc9e (__TEXT,__text) non-external _bubble_up
00007ff813694bc4 (__TEXT,__text) non-external _buf_chain_new
00007ff81369e291 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _clock_gettime (from libSystem)
00007ff813694ace (__TEXT,__text) non-external _default_calloc
00007ff813694e24 (__TEXT,__text) non-external _default_free
00007ff813694ada (__TEXT,__text) non-external _default_malloc
00007ff813694ca8 (__TEXT,__text) non-external _default_realloc
00007ff813699299 (__TEXT,__text) non-external _emit_indname_block
00007ff8136993de (__TEXT,__text) non-external _emit_string
00007ff81369bdee (__TEXT,__text) non-external _emit_table_size
00007ff813699afd (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
00007ff81369fab3 (__TEXT,__text) non-external _get_error_code_from_lib_error_code
00007ff81369bc96 (__TEXT,__text) non-external _hd_context_free
00007ff81369a4f5 (__TEXT,__text) non-external _hd_context_shrink_table_size
00007ff81369ca15 (__TEXT,__text) non-external _hd_get_table_entry
00007ff81369b3b7 (__TEXT,__text) non-external _hd_inflate_commit_indname
00007ff81369b482 (__TEXT,__text) non-external _hd_inflate_commit_newname
00007ff81369b2c4 (__TEXT,__text) non-external _hd_inflate_read_huff
00007ff81369b1a0 (__TEXT,__text) non-external _hd_inflate_read_len
00007ff81369bcfc (__TEXT,__text) non-external _hd_ringbuf_get
00007ff8136a5350 (__TEXT,__const) non-external _huff_decode_table
00007ff8136a4b40 (__TEXT,__const) non-external _huff_sym_table
00007ff813698712 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
00007ff81369c1d7 (__TEXT,__text) non-external _map_insert
00007ff81369c0dd (__TEXT,__text) non-external _map_resize
00007ff843789f60 (__DATA_DIRTY,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff8136957d6 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
