                 (undefined) external _APP_SANDBOX_READ (from libsystem_sandbox)
00007ff8421194c8 (__DATA,__data) external _CMFSSEAM_DEFAULT
00007ff80aed6368 (__TEXT,__const) external _CONTAINER_CURRENT_MOBILE_UID
00007ff80aed6370 (__TEXT,__const) external _CONTAINER_INSTALLATION_UID
00007ff842118a68 (__DATA,__const) external _CONTAINER_NOTIFY_USER_INVALIDATED
00007ff842118a78 (__DATA,__const) external _CONTAINER_PERSONA_CURRENT
00007ff80aed635e (__TEXT,__const) non-external _CONTAINER_PERSONA_DEFAULT
00007ff842118a70 (__DATA,__const) external _CONTAINER_PERSONA_PRIMARY
00007ff80aed636c (__TEXT,__const) external _CONTAINER_SYSTEM_UID
00007ff842119980 (__DATA,__bss) non-external _MAX_APP_GROUP_CACHE_ENTRIES_PER_PERSONA_block_invoke.cache
00007ff842119988 (__DATA,__bss) non-external _MAX_APP_GROUP_CACHE_ENTRIES_PER_PERSONA_block_invoke.lock
00007ff842119990 (__DATA,__bss) non-external _MAX_APP_GROUP_CACHE_ENTRIES_PER_PERSONA_block_invoke.once_token
00007ff80aed6374 (__TEXT,__const) non-external _MAX_APP_GROUP_CACHE_ENTRIES_PER_PERSONA_block_invoke.persona_name_default
                 (undefined) external _SANDBOX_CHECK_NO_REPORT (from libsystem_sandbox)
                 (undefined) external _SANDBOX_EXTENSION_DEFAULT (from libsystem_sandbox)
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff8421186d0 (__DATA,__const) non-external __CONTAINER_NAMES
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff80aec830c (__TEXT,__text) non-external _____initialize_container_sandbox_extensions_block_invoke
00007ff80aec83f7 (__TEXT,__text) non-external _____initialize_container_sandbox_extensions_block_invoke_2
00007ff80aec873f (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke
00007ff80aec87c2 (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke.10
00007ff80aec8767 (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke.7
00007ff80aec87e6 (__TEXT,__text) non-external _____locked_clear_per_persona_data_block_invoke
00007ff80aec82e8 (__TEXT,__text) non-external _____locked_revoke_block_invoke
00007ff80aed0f9d (__TEXT,__text) non-external ____container_async_reclaim_disk_space_block_invoke
00007ff80aed0f53 (__TEXT,__text) non-external ____container_async_reclaim_disk_space_block_invoke_2
00007ff80aecfe87 (__TEXT,__text) non-external ____container_legacy_lookup_multiple_block_invoke
00007ff80aec380e (__TEXT,__text) non-external ____container_log_replication_enable_to_uid_relative_path_block_invoke
00007ff80aec382c (__TEXT,__text) non-external ____container_log_replication_enable_to_uid_relative_path_block_invoke_2
00007ff80aebc457 (__TEXT,__text) non-external ____container_paths_chown_component_block_invoke
00007ff80aec189b (__TEXT,__text) non-external ____container_xpc_default_sender_block_invoke
00007ff80aebecab (__TEXT,__text) non-external ____container_xpc_invalidate_shared_connection_after_timeout_block_invoke
00007ff80aebea77 (__TEXT,__text) non-external ____container_xpc_invalidate_shared_connection_after_timeout_block_invoke.13
00007ff80aec1a93 (__TEXT,__text) non-external ____container_xpc_pthread_key_for_client_context_block_invoke
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff842117650 (__DATA,__const) non-external ___block_descriptor_tmp
