00007ff80c1c8309 (__TEXT,__text) external _BNNSAffineGridSample
00007ff80c1cc818 (__TEXT,__text) external _BNNSApplyMultiheadAttention
00007ff80c1ccbc4 (__TEXT,__text) external _BNNSApplyMultiheadAttentionBackward
00007ff80c1cb694 (__TEXT,__text) external _BNNSArithmeticFilterApplyBackwardBatch
00007ff80c1ca28c (__TEXT,__text) external _BNNSArithmeticFilterApplyBatch
00007ff80c1c82e1 (__TEXT,__text) external _BNNSBandPart
00007ff80c704fa6 (__TEXT,__text) external _BNNSClearNetwork
00007ff80c1c8884 (__TEXT,__text) external _BNNSClipByGlobalNorm
00007ff80c1c8732 (__TEXT,__text) external _BNNSClipByNorm
00007ff80c1c85e0 (__TEXT,__text) external _BNNSClipByValue
00007ff80c1d30ba (__TEXT,__text) external _BNNSCompareTensor
00007ff80c1d2549 (__TEXT,__text) external _BNNSComputeLSTMTrainingCacheCapacity
00007ff80c1c89e0 (__TEXT,__text) external _BNNSComputeNorm
00007ff80c1c8b31 (__TEXT,__text) external _BNNSComputeNormBackward
00007ff80c1ccf9a (__TEXT,__text) external _BNNSCopy
00007ff80c1c73ec (__TEXT,__text) external _BNNSCreateNearestNeighbors
00007ff80c1c973a (__TEXT,__text) external _BNNSCreateRandomGenerator
00007ff80c1c9744 (__TEXT,__text) external _BNNSCreateRandomGeneratorWithSeed
00007ff80c1c82eb (__TEXT,__text) external _BNNSCropResize
00007ff80c1c82f5 (__TEXT,__text) external _BNNSCropResizeBackward
00007ff80bfe45d4 (__TEXT,__text) external _BNNSDequantize
00007ff80c1c73f6 (__TEXT,__text) external _BNNSDestroyNearestNeighbors
00007ff80c1c974e (__TEXT,__text) external _BNNSDestroyRandomGenerator
00007ff80c1d261d (__TEXT,__text) external _BNNSDirectApplyActivationBatch
00007ff80c1d26fc (__TEXT,__text) external _BNNSDirectApplyBroadcastMatMul
00007ff80c1d23bb (__TEXT,__text) external _BNNSDirectApplyConvolutionBatch
00007ff80c1d2535 (__TEXT,__text) external _BNNSDirectApplyFullyConnectedBatch
00007ff80c1cd344 (__TEXT,__text) external _BNNSDirectApplyInTopK
00007ff80c1d255d (__TEXT,__text) external _BNNSDirectApplyLSTMBatchBackward
00007ff80c1d2553 (__TEXT,__text) external _BNNSDirectApplyLSTMBatchTrainingCaching
