00007ffc105493d3 (__TEXT,__text) non-external _Done_iODBC
00007ffc10567080 (__TEXT,__const) non-external _FunctionNumbers
00007ffc105660d5 (__TEXT,__text) non-external _GetPrivateProfileString
00007ffc105492b5 (__TEXT,__text) non-external _Init_iODBC
00007ffc4149671c (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffc10547984 (__TEXT,__text) external _SQLAllocConnect
00007ffc10547874 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffc1054923c (__TEXT,__text) external _SQLAllocEnv
00007ffc1054908e (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffc105538ec (__TEXT,__text) external _SQLAllocHandle
00007ffc105539e7 (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffc10553660 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffc1054c435 (__TEXT,__text) external _SQLAllocStmt
00007ffc1054beb4 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffc105514d9 (__TEXT,__text) external _SQLBindCol
00007ffc1055989c (__TEXT,__text) external _SQLBindParam
00007ffc10550809 (__TEXT,__text) external _SQLBindParameter
00007ffc105445fa (__TEXT,__text) external _SQLBrowseConnect
00007ffc1054476b (__TEXT,__text) external _SQLBrowseConnectA
00007ffc105448dc (__TEXT,__text) external _SQLBrowseConnectW
00007ffc10543fad (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffc10559378 (__TEXT,__text) external _SQLBulkOperations
00007ffc1054d31e (__TEXT,__text) external _SQLCancel
00007ffc105598c8 (__TEXT,__text) external _SQLCloseCursor
00007ffc10558db8 (__TEXT,__text) external _SQLColAttribute
00007ffc10558f64 (__TEXT,__text) external _SQLColAttributeA
00007ffc10559110 (__TEXT,__text) external _SQLColAttributeW
00007ffc10558669 (__TEXT,__text) non-external _SQLColAttribute_Internal
00007ffc10553159 (__TEXT,__text) external _SQLColAttributes
00007ffc10553305 (__TEXT,__text) external _SQLColAttributesA
00007ffc105534b1 (__TEXT,__text) external _SQLColAttributesW
00007ffc10552c61 (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffc1053cb8c (__TEXT,__text) external _SQLColumnPrivileges
00007ffc1053cd83 (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffc1053cf7a (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffc1053c8d0 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007ffc1053d42d (__TEXT,__text) external _SQLColumns
00007ffc1053d624 (__TEXT,__text) external _SQLColumnsA
00007ffc1053d81b (__TEXT,__text) external _SQLColumnsW
00007ffc1053d171 (__TEXT,__text) non-external _SQLColumns_Internal
00007ffc10541412 (__TEXT,__text) external _SQLConnect
00007ffc10541d53 (__TEXT,__text) external _SQLConnectA
