00007ff843ad7718 (__DATA,__data) non-external _C
00007ff843ad8a30 (__DATA,__bss) non-external _CF6464
00007ff801df3630 (__TEXT,__const) non-external _CIFP
00007ff843ad978c (__DATA,__bss) non-external _EMSG
00007ff843ad978d (__DATA,__bss) non-external _EMSG
00007ff801df3600 (__TEXT,__const) non-external _ExpandTr
00007ff843ad8a20 (__DATA,__bss) non-external _IE3264
00007ff801df35c0 (__TEXT,__const) non-external _IP
00007ff843ad8990 (__DATA,__bss) non-external _KS
00007ff8438d4fb0 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00007ff8438d4fa8 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
00007ff801df3670 (__TEXT,__const) non-external _P32Tr
00007ff801df3580 (__TEXT,__const) non-external _PC1
00007ff843ad8988 (__DATA,__bss) non-external _PC1ROT
00007ff801df3540 (__TEXT,__const) non-external _PC2
00007ff843ad8a10 (__DATA,__bss) non-external _PC2ROT
00007ff801df3530 (__TEXT,__const) non-external _Rotates
00007ff801df3690 (__TEXT,__const) non-external _S
00007ff843ad8a28 (__DATA,__bss) non-external _SPE
00007ff801dc8497 (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff801dc84ce (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff801dc85cc (__TEXT,__text) non-external __BIG5_mbsinit
00007ff801dc858f (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff843ad7908 (__DATA,__data) non-external __C_lconv
00007ff8400832f0 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff840083310 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff8400833b8 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff8400835c0 (__DATA_CONST,__const) non-external __C_time_locale
00007ff843ad7a60 (__DATA,__data) external __CurrentRuneLocale
00007ff843ad7c48 (__DATA,__constrw) external __DefaultRuneLocale
00007ff843ad88d0 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff801dca2fb (__TEXT,__text) non-external (was a private external) __EUC_CN_init
00007ff801dca361 (__TEXT,__text) non-external __EUC_CN_mbrtowc
00007ff801dca3a7 (__TEXT,__text) non-external __EUC_CN_mbsnrtowcs
00007ff801dca385 (__TEXT,__text) non-external __EUC_CN_wcrtomb
00007ff801dca3b1 (__TEXT,__text) non-external __EUC_CN_wcsnrtombs
00007ff801dca496 (__TEXT,__text) non-external (was a private external) __EUC_JP_init
00007ff801dca4fc (__TEXT,__text) non-external __EUC_JP_mbrtowc
00007ff801dca551 (__TEXT,__text) non-external __EUC_JP_mbsnrtowcs
00007ff801dca526 (__TEXT,__text) non-external __EUC_JP_wcrtomb
00007ff801dca55b (__TEXT,__text) non-external __EUC_JP_wcsnrtombs
00007ff801dca3d6 (__TEXT,__text) non-external (was a private external) __EUC_KR_init
00007ff801dca43c (__TEXT,__text) non-external __EUC_KR_mbrtowc
00007ff801dca482 (__TEXT,__text) non-external __EUC_KR_mbsnrtowcs
00007ff801dca460 (__TEXT,__text) non-external __EUC_KR_wcrtomb
00007ff801dca48c (__TEXT,__text) non-external __EUC_KR_wcsnrtombs
00007ff801dca5cb (__TEXT,__text) non-external (was a private external) __EUC_TW_init
00007ff801dca631 (__TEXT,__text) non-external __EUC_TW_mbrtowc
00007ff801dca683 (__TEXT,__text) non-external __EUC_TW_mbsnrtowcs
00007ff801dca65b (__TEXT,__text) non-external __EUC_TW_wcrtomb
00007ff801dca68d (__TEXT,__text) non-external __EUC_TW_wcsnrtombs
00007ff801dca565 (__TEXT,__text) non-external (was a private external) __EUC_init
00007ff801dca697 (__TEXT,__text) non-external __EUC_mbrtowc_impl
00007ff801dca3bb (__TEXT,__text) non-external __EUC_mbsinit
00007ff801dca7c9 (__TEXT,__text) non-external __EUC_wcrtomb_impl
00007ff801ddeef9 (__TEXT,__text) external __Exit
00007ff801dca8cf (__TEXT,__text) non-external (was a private external) __GB18030_init
00007ff801dca906 (__TEXT,__text) non-external __GB18030_mbrtowc
00007ff801dcab5e (__TEXT,__text) non-external __GB18030_mbsinit
00007ff801dcaa55 (__TEXT,__text) non-external __GB18030_wcrtomb
00007ff801dcab78 (__TEXT,__text) non-external (was a private external) __GB2312_init
00007ff801dcabaf (__TEXT,__text) non-external __GB2312_mbrtowc
00007ff801dcacee (__TEXT,__text) non-external __GB2312_mbsinit
00007ff801dcacb1 (__TEXT,__text) non-external __GB2312_wcrtomb
