00000001def5bde0 (__TEXT,__text) non-external _DiToMD5
00000001def5c110 (__TEXT,__text) non-external _DiToSHA1
00000001def3fd3c (__TEXT,__text) external _DriverExecutableMain
00000001f1f8b330 (__AUTH_CONST,__const) external _IOBufferMemoryDescriptor_Class
00000001def3f5d8 (__TEXT,__text) external _IOCallOnce
00000001f1f8b5f0 (__AUTH_CONST,__const) external _IOCommandPool_Class
00000001f1f8b4f8 (__AUTH_CONST,__const) external _IOCommand_Class
00000001f1f8b6e8 (__AUTH_CONST,__const) external _IODMACommand_Class
00000001f1f8b898 (__AUTH_CONST,__const) external _IODataQueueDispatchSource_Class
00000001def3bf24 (__TEXT,__text) external _IODelay
00000001f1f8ba48 (__AUTH_CONST,__const) external _IODispatchQueue_Class
00000001f1f8bbf8 (__AUTH_CONST,__const) external _IODispatchSource_Class
00000001def403bc (__TEXT,__text) external _IODriverKitTest
00000001def6e700 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00000001def6e734 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00000001def6e760 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00000001def6e794 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00000001def6e7c0 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00000001def6e7ec (__TEXT,__text) non-external _IODriverKitTest.cold.6
00000001def6e818 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00000001def6e844 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00000001f1f8bda8 (__AUTH_CONST,__const) external _IOEventLink_Class
00000001f1f8bf58 (__AUTH_CONST,__const) external _IOExtensiblePaniclog_Class
00000001def3bef8 (__TEXT,__text) external _IOFree
00000001def3bf14 (__TEXT,__text) external _IOFreeData
00000001def4038c (__TEXT,__text) external _IOGetExecutableSDKVersion
00000001f1f8c828 (__AUTH_CONST,__const) external _IOHistogramReporter_Class
00000001f1f8c138 (__AUTH_CONST,__const) external _IOInterruptDispatchSource_Class
00000001def3bf30 (__TEXT,__text) non-external (was a private external) _IOLibInit
00000001def3f208 (__TEXT,__text) external _IOLockAlloc
00000001def3f258 (__TEXT,__text) external _IOLockAssert
00000001def6e00c (__TEXT,__text) non-external _IOLockAssert.cold.1
00000001def3f23c (__TEXT,__text) external _IOLockFree
00000001def3f24c (__TEXT,__text) external _IOLockLock
00000001def3f250 (__TEXT,__text) external _IOLockTryLock
00000001def3f254 (__TEXT,__text) external _IOLockUnlock
00000001def3bd5c (__TEXT,__text) external _IOLog
00000001def3bc28 (__TEXT,__text) external _IOLogBuffer
00000001def3bd88 (__TEXT,__text) external _IOLogv
00000001def3beb4 (__TEXT,__text) external _IOMalloc
00000001def3befc (__TEXT,__text) external _IOMallocData
00000001def3bed0 (__TEXT,__text) external _IOMallocTyped
00000001def3bed4 (__TEXT,__text) external _IOMallocZero
00000001def3bf04 (__TEXT,__text) external _IOMallocZeroData
00000001def3bee8 (__TEXT,__text) external _IOMallocZeroTyped
00000001f1f8c2e8 (__AUTH_CONST,__const) external _IOMemoryDescriptor_Class
00000001f1f8c498 (__AUTH_CONST,__const) external _IOMemoryMap_Class
00000001def3bfd0 (__TEXT,__text) external _IOParseBootArgNumber
00000001def3c48c (__TEXT,__text) external _IOParseBootArgString
00000001def3e208 (__TEXT,__text) external _IORPCMessageFromMach
00000001def6dd0c (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00000001def6dd4c (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00000001def3f4e0 (__TEXT,__text) external _IORWLockAlloc
00000001def6e16c (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00000001def3f534 (__TEXT,__text) external _IORWLockFree
00000001def3f578 (__TEXT,__text) external _IORWLockRead
00000001def6e198 (__TEXT,__text) non-external _IORWLockRead.cold.1
00000001def3f5b8 (__TEXT,__text) external _IORWLockUnlock
00000001def6e1f0 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00000001def3f598 (__TEXT,__text) external _IORWLockWrite
00000001def6e1c4 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00000001def3f2f0 (__TEXT,__text) external _IORecursiveConditionLockAlloc
00000001def3f33c (__TEXT,__text) external _IORecursiveConditionLockFree
00000001def3f424 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00000001def6e0e8 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00000001def3f34c (__TEXT,__text) external _IORecursiveConditionLockLock
00000001def6e038 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00000001def6e064 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00000001def3f468 (__TEXT,__text) external _IORecursiveConditionLockTryLock
00000001def6e114 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00000001def6e140 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00000001def3f3b4 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00000001def6e090 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00000001def6e0bc (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00000001def3f298 (__TEXT,__text) external _IORecursiveLockAlloc
00000001def3f2cc (__TEXT,__text) external _IORecursiveLockFree
00000001def3f2e8 (__TEXT,__text) external _IORecursiveLockHaveLock
00000001def3f2dc (__TEXT,__text) external _IORecursiveLockLock
00000001def3f2ec (__TEXT,__text) external _IORecursiveLockTryLock
00000001def3f2e4 (__TEXT,__text) external _IORecursiveLockUnlock
00000001f1f8c8c8 (__AUTH_CONST,__const) external _IOReportLegend_Class
00000001f1f8c648 (__AUTH_CONST,__const) external _IOReporter_Class
00000001f1f8cef8 (__AUTH_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00000001f1f8d0a8 (__AUTH_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00000001f1f8cd48 (__AUTH_CONST,__const) external _IOService_Class
00000001f1f8c6e8 (__AUTH_CONST,__const) external _IOSimpleReporter_Class
00000001def3bf18 (__TEXT,__text) external _IOSleep
00000001f1f8c788 (__AUTH_CONST,__const) external _IOStateReporter_Class
00000001def3f698 (__TEXT,__text) external _IOThreadLocalStorageGet
00000001def3f5ec (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00000001def3f63c (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00000001def3f664 (__TEXT,__text) external _IOThreadLocalStorageSet
00000001f1f8eea8 (__AUTH_CONST,__const) external _IOThread_Class
00000001f1f8d258 (__AUTH_CONST,__const) external _IOTimerDispatchSource_Class
00000001f1f8d408 (__AUTH_CONST,__const) external _IOUserClient_Class
00000001def3fd90 (__TEXT,__text) external _IOUserServerMain
00000001def6e548 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00000001def6e6d4 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00000001def6e574 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00000001def6e5a0 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00000001def6e5cc (__TEXT,__text) non-external _IOUserServerMain.cold.4
00000001def6e5f8 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00000001def6e624 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00000001def6e650 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00000001def6e67c (__TEXT,__text) non-external _IOUserServerMain.cold.8
00000001def6e6a8 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00000001f1f8d788 (__AUTH_CONST,__const) external _IOUserServer_Class
00000001ea246db8 (__DATA_DIRTY,__common) external _IOVMPageSize
00000001f1f8d938 (__AUTH_CONST,__const) external _IOWorkGroup_Class
00000001def5bfa4 (__TEXT,__text) external _MD5Final
00000001def5bd30 (__TEXT,__text) external _MD5Init
00000001def5bf28 (__TEXT,__text) non-external _MD5ToDi
00000001def5be50 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00000001f1f8dae8 (__AUTH_CONST,__const) external _OSAction_Class
00000001f1f8d4a8 (__AUTH_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00000001f1f8ebe8 (__AUTH_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
