0000000180440050 (__TEXT,__text) external _NSAddImage
000000018043ffe0 (__TEXT,__text) external _NSAddLibrary
0000000180440018 (__TEXT,__text) external _NSAddLibraryWithSearching
000000018043f9a8 (__TEXT,__text) external _NSAddressOfSymbol
000000018043fb74 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
000000018043f8c0 (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
000000018043fba8 (__TEXT,__text) external _NSDestroyObjectFileImage
000000018043f930 (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
000000018043ffa0 (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
000000018043fcd8 (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
000000018043fda0 (__TEXT,__text) external _NSIsSymbolNameDefined
000000018043fe04 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
000000018043fdd0 (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
000000018043fd3c (__TEXT,__text) external _NSLibraryNameForModule
000000018043ff5c (__TEXT,__text) external _NSLinkEditError
000000018043f8f8 (__TEXT,__text) external _NSLinkModule
000000018043fe38 (__TEXT,__text) external _NSLookupAndBindSymbol
000000018043fe68 (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
000000018043fea4 (__TEXT,__text) external _NSLookupSymbolInImage
000000018043f96c (__TEXT,__text) external _NSLookupSymbolInModule
000000018043ff24 (__TEXT,__text) external _NSModuleForSymbol
000000018043fd0c (__TEXT,__text) external _NSNameOfModule
000000018043fee4 (__TEXT,__text) external _NSNameOfSymbol
000000018043fbd8 (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
000000018043fc18 (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
000000018043fc58 (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
000000018043fc98 (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
000000018043fd6c (__TEXT,__text) external _NSUnLinkModule
000000018043e850 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
000000018043eb1c (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00000001d7711838 (__DATA_DIRTY,__common) external _NXArgc
00000001d7711840 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
000000018043e634 (__TEXT,__text) external __NSGetExecutablePath
00000001804564a0 (__TEXT,__text) non-external (was a private external) __Z10bytesToHexPKhmPc
00000001804505e4 (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
000000018045c5e0 (__TEXT,__text) non-external (was a private external) __Z28macho_best_slice_fd_internaliN5dyld38PlatformERKNS_11GradedArchsES3_bU13block_pointerFvPK11mach_headerymE
000000018045c974 (__TEXT,__text) non-external __ZL27launchableOnCurrentPlatformPKN5dyld39MachOFileE
000000018043fb3c (__TEXT,__text) non-external __ZL28legacyDyldLookup4OldBinariesPKcPPv
00000001db5a8230 (__AUTH_CONST,__const) non-external __ZL8sHelpers
000000018043fa18 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
000000018043faa0 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics11appendErrorEPKcz
000000018043fa48 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcPc
000000018043f16c (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
000000018043e040 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Eb
000000018043e210 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
00000001804504c0 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer3mapEjym
0000000180450438 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer6createEjymb
000000018045042c (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferC1Ev
00000001804505b4 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferD1Ev
0000000180441834 (__TEXT,__text) non-external __ZN12_GLOBAL__N_113cacheFilePeekEiPh
000000018044f23c (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache14isSubCachePathEPKc
0000000180450c30 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base12addDyldImageEjyyPKc
00000001804517b0 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_32EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
00000001804522b4 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_64EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
0000000180450cc8 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base15copySegmentNameEPKc
0000000180450968 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base23addInfoFromLoadCommandsEPK11mach_headerym
0000000180450ab8 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base29addInfoFromRemoteLoadCommandsEjy
00000001804510e8 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base4makeI23dyld_all_image_infos_3218dyld_image_info_32EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
00000001804513c8 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base4makeI23dyld_all_image_infos_6418dyld_image_info_64EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
0000000180450860 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base8addImageEjbyyyyPKc
000000018045076c (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base8copyPathEjy
0000000180450700 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base9addStringEPKcm
000000018045067c (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_baseC2Ejjjm
000000018045ec14 (__TEXT,__text) non-external __ZN22dyld_process_info_baseC2Ejjjm.cold.1
000000018045ec40 (__TEXT,__text) non-external __ZN22dyld_process_info_baseC2Ejjjm.cold.2
000000018045bfa4 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base10disconnectEv
000000018045bcd0 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base11handleEventEv
000000018045bc74 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base17teardownMachPortsEv
000000018045c12c (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base23replyToMonitoredProcessER17mach_msg_header_t
000000018045c064 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base7releaseEv
000000018045ba78 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_baseC2EP16dispatch_queue_sU13block_pointerFvbyyPKhPKcEU13block_pointerFvvEjPi
0000000180460034 (__TEXT,__text) non-external __ZN29dyld_process_info_notify_baseC2EP16dispatch_queue_sU13block_pointerFvbyyPKhPKcEU13block_pointerFvvEjPi.cold.1
000000018045bf24 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_baseD2Ev
0000000180445c9c (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedMapIjN5dyld45Atlas7Process19ProcessUpdateRecordENSt3__14lessIjEEE6insertEONS5_4pairIKjS4_EE
0000000180445f40 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedMapIjN5dyld45Atlas7Process21ProcessNotifierRecordENSt3__14lessIjEEE6insertEONS5_4pairIKjS4_EE
0000000180453f3c (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedMapIyNS_4UUIDENSt3__14lessIyEEE6insertEONS2_4pairIKyS1_EE
0000000180447174 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedSetINS_9UniquePtrIN5dyld45Atlas5ImageEEENSt3__14lessIS5_EEE6insertEOS5_
0000000180443914 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedSetIPKcNS_20ConstCharStarCompareEE6insertERKS2_
0000000180441770 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedSetIiNSt3__14lessIiEEE6insertERKi
0000000180456220 (__TEXT,__text) non-external (was a private external) __ZN3lsl13MemoryManager17vm_allocate_bytesEm
