000000018042ebbc (__TEXT,__text) external _OSAtomicAdd32
000000018042ec78 (__TEXT,__text) external _OSAtomicAdd32Barrier
000000018042ed74 (__TEXT,__text) external _OSAtomicAdd64
000000018042eef4 (__TEXT,__text) external _OSAtomicAdd64Barrier
000000018042ee80 (__TEXT,__text) external _OSAtomicAnd32
000000018042f910 (__TEXT,__text) external _OSAtomicAnd32Barrier
000000018042f87c (__TEXT,__text) external _OSAtomicAnd32Orig
000000018042ed98 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
000000018042eba8 (__TEXT,__text) external _OSAtomicCompareAndSwap32
000000018042ec38 (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
000000018042dc34 (__TEXT,__text) external _OSAtomicCompareAndSwap64
000000018042ec24 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
000000018042ee38 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
000000018042ef24 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
000000018042ee58 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
000000018042eda4 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
000000018042ee6c (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
000000018042ec4c (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
000000018042e174 (__TEXT,__text) external _OSAtomicDecrement32
000000018042ecec (__TEXT,__text) external _OSAtomicDecrement32Barrier
000000018042eee4 (__TEXT,__text) external _OSAtomicDecrement64
000000018042ee90 (__TEXT,__text) external _OSAtomicDecrement64Barrier
000000018042c390 (__TEXT,__text) external _OSAtomicDequeue
000000018042c650 (__TEXT,__text) external _OSAtomicEnqueue
00000001804307f8 (__TEXT,__text) external _OSAtomicFifoDequeue
00000001804307e0 (__TEXT,__text) external _OSAtomicFifoEnqueue
000000018042e164 (__TEXT,__text) external _OSAtomicIncrement32
000000018042ecdc (__TEXT,__text) external _OSAtomicIncrement32Barrier
000000018042ea3c (__TEXT,__text) external _OSAtomicIncrement64
000000018042ee28 (__TEXT,__text) external _OSAtomicIncrement64Barrier
000000018042ee4c (__TEXT,__text) external _OSAtomicOr32
000000018042ec60 (__TEXT,__text) external _OSAtomicOr32Barrier
000000018042ef1c (__TEXT,__text) external _OSAtomicOr32Orig
0000000180430b20 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
000000018042eea0 (__TEXT,__text) external _OSAtomicTestAndClear
000000018042f8cc (__TEXT,__text) external _OSAtomicTestAndClearBarrier
000000018042f888 (__TEXT,__text) external _OSAtomicTestAndSet
000000018042edb8 (__TEXT,__text) external _OSAtomicTestAndSetBarrier
0000000180430b28 (__TEXT,__text) external _OSAtomicXor32
000000018042ec6c (__TEXT,__text) external _OSAtomicXor32Barrier
0000000180430b34 (__TEXT,__text) external _OSAtomicXor32Orig
0000000180430b3c (__TEXT,__text) external _OSAtomicXor32OrigBarrier
000000018042ec1c (__TEXT,__text) external _OSMemoryBarrier
000000018042ea18 (__TEXT,__text) external _OSSpinLockLock
000000018042ed80 (__TEXT,__text) external _OSSpinLockTry
000000018042ea34 (__TEXT,__text) external _OSSpinLockUnlock
0000000180431698 (__TEXT,__const) non-external _UUID_NULL
00000001804316a8 (__TEXT,__const) non-external __0x
00000001804317a5 (__TEXT,__cstring) non-external __H
0000000180430b6c (__TEXT,__text) non-external __OSAtomicDequeue_misalign
0000000180430b44 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
000000018042ecfc (__TEXT,__text) external __OSSpinLockLockSlow
00000001804308d4 (__TEXT,__text) non-external __OSSpinLockLockYield
000000018042e370 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00000001db86d868 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
000000018042e184 (__TEXT,__text) external ___libplatform_init
000000018042f948 (__TEXT,__text) external ___os_log_simple_offset
0000000180430b04 (__TEXT,__text) external ___os_once_reset
000000018042e1d4 (__TEXT,__text) non-external (was a private external) ___pfz_setup
0000000180431688 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
0000000180431650 (__TEXT,__const) non-external (was a private external) ___platformVersionString
000000018042dd0c (__TEXT,__text) external ___platform_sigaction
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
000000018042ef54 (__TEXT,__text) non-external ___simple_bprintf
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180430d6c (__TEXT,__text) external __ctx_done
0000000180431060 (__TEXT,__text) non-external (was a private external) __ctx_start
0000000180430264 (__TEXT,__text) non-external __enlarge
0000000180431140 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
00000001804301b8 (__TEXT,__text) non-external __flush
0000000180430130 (__TEXT,__text) non-external __flush_reset
00000001804317b6 (__TEXT,__cstring) non-external __h
000000018042cb14 (__TEXT,__text) external __longjmp
000000018042c0e0 (__TEXT,__text) non-external __os_alloc
000000018043134c (__TEXT,__text) non-external __os_alloc.cold.1
00000001db86d860 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
000000018042c094 (__TEXT,__text) external __os_alloc_once
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
000000018042e54c (__TEXT,__text) non-external __os_alloc_slow
0000000180431168 (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
000000018042eaa8 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
000000018042eae4 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
000000018042ee08 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
000000018042ead8 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
0000000180430aa0 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
0000000180430ac4 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
0000000180430ae4 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
00000001804312b4 (__TEXT,__text) non-external __os_lock_recursive_abort
000000018042ebf0 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
00000001804309b8 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
000000018042ec10 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
00000001804316b0 (__TEXT,__const) non-external __os_lock_type_base
00000001dd5b2328 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001dd5b2348 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001dd5b2388 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001dd5b2328 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001dd5b2328 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001dd5b2368 (__AUTH_CONST,__const) external __os_lock_type_unfair
000000018042ebc8 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
0000000180430a60 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
0000000180430a80 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
000000018042fbdc (__TEXT,__text) external __os_log_simple
000000018042fdd8 (__TEXT,__text) external __os_log_simple_parse
000000018042fda8 (__TEXT,__text) external __os_log_simple_parse_identifiers
000000018042fd38 (__TEXT,__text) external __os_log_simple_parse_message
000000018042fcfc (__TEXT,__text) external __os_log_simple_parse_subsystem
000000018042fd6c (__TEXT,__text) external __os_log_simple_parse_timestamp
000000018042fcc4 (__TEXT,__text) external __os_log_simple_parse_type
000000018042ff14 (__TEXT,__text) external __os_log_simple_reinit_4launchd
0000000180431118 (__TEXT,__text) non-external __os_log_simple_reinit_4launchd.cold.1
000000018042fa64 (__TEXT,__text) external __os_log_simple_send
000000018042fc9c (__TEXT,__text) external __os_log_simple_shim
000000018042c9dc (__TEXT,__text) external __os_nospin_lock_lock
000000018042dfb8 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
000000018042ca18 (__TEXT,__text) external __os_nospin_lock_trylock
000000018042c9fc (__TEXT,__text) external __os_nospin_lock_unlock
000000018042e0b4 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
000000018042bf20 (__TEXT,__text) external __os_once
000000018042bf80 (__TEXT,__text) non-external __os_once_callout
000000018042df0c (__TEXT,__text) non-external __os_once_gate_broadcast
000000018043128c (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
000000018043123c (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
0000000180431264 (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
000000018042dd7c (__TEXT,__text) non-external __os_once_gate_wait
000000018042dc8c (__TEXT,__text) external __os_semaphore_create
0000000180431374 (__TEXT,__text) non-external __os_semaphore_create.cold.1
000000018043139c (__TEXT,__text) non-external __os_semaphore_create.cold.2
000000018042dcdc (__TEXT,__text) external __os_semaphore_dispose
00000001804313c4 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
000000018042ec84 (__TEXT,__text) external __os_semaphore_signal
00000001804313ec (__TEXT,__text) non-external __os_semaphore_signal.cold.1
000000018042eca4 (__TEXT,__text) external __os_semaphore_wait
0000000180431414 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
