00007ff80ebff4a7 (__TEXT,__text) non-external _Annihilate
00007ff80ec4689a (__TEXT,__text) non-external _BlockSplitterAddSymbolCommand
00007ff80ec4690e (__TEXT,__text) non-external _BlockSplitterAddSymbolDistance
00007ff80ec468d4 (__TEXT,__text) non-external _BlockSplitterAddSymbolLiteral
00007ff80ec47d58 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00007ff80ec485a9 (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00007ff80ec46948 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00007ff80ebff2a0 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00007ff80ec23c57 (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00007ff80ebf078c (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00007ff80ec00ac9 (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00007ff80ebf098f (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00007ff80ec45264 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00007ff80ec45c04 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00007ff80ebf0bfb (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00007ff80ec08c9c (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00007ff80ec18d2d (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00007ff80ec19a2a (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00007ff80ec18030 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00007ff80ec18435 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00007ff80ec19132 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00007ff80ec17738 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00007ff80ebf9120 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00007ff80ebfa896 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00007ff80ebfbe98 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00007ff80ebfd49a (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
00007ff80ebf9294 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00007ff80ec3c258 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00007ff80ec3d5e2 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00007ff80ec3de73 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
00007ff80ec3e704 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
00007ff80ec3ef95 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00007ff80ec3f826 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00007ff80ec400b7 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
00007ff80ec40948 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00007ff80ec41251 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00007ff80ec3c4c0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00007ff80ec3cd51 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00007ff80ec126fc (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00007ff80ec2bcd0 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00007ff80ec1ebf1 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00007ff80ec11c9a (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00007ff80ec1eac8 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00007ff80ec0737c (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00007ff80ec0744d (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00007ff80ec0752c (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00007ff80ec07418 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00007ff80ec0b6a5 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00007ff80ec0b69c (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00007ff80ec0b57c (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00007ff80ec0de66 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00007ff80ec0b65e (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00007ff80ec0b645 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00007ff80ec07330 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00007ff80ec0de2b (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00007ff80ec0dd9b (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00007ff80ec0dc3c (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00007ff80ec0dd22 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00007ff80ec0b5b0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00007ff80ebf6c95 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00007ff80ec070bf (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00007ff80ec070cc (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00007ff80ec01cef (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00007ff80ebf1e13 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00007ff80ebf3a98 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00007ff80ebf1b98 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00007ff80ebf1ce5 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00007ff80ebf6c0c (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00007ff80ebf4a46 (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00007ff80ebf1de9 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00007ff80ebf1af0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00007ff80ebf6c1f (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00007ff80ebf6c95 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00007ff80ec09f04 (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00007ff80ec10c73 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00007ff80ec39dac (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00007ff80ebff3b3 (__TEXT,__text) non-external (was a private external) _BrotliFree
00007ff80ec00ab6 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00007ff80ec22587 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00007ff80ec18977 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00007ff80ec19674 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00007ff80ec17c7a (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00007ff80ec186bc (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00007ff80ec193b9 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00007ff80ec179bf (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00007ff80ec18b8d (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00007ff80ec1988a (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00007ff80ec17e90 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00007ff80ec18a06 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00007ff80ec19703 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00007ff80ec17d09 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00007ff80ec07191 (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00007ff80ec01cdb (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00007ff80ec45139 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
00007ff80ec22523 (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00007ff80ebff25e (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00007ff80ec1cc19 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00007ff80ec3bb58 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00007ff80ec46256 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00007ff80ec11f18 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00007ff80ec28508 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00007ff80ec28a54 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00007ff80ec27fe8 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
00007ff80ec6ceb0 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00007ff80ec071f5 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00007ff80ec11bff (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00007ff80ec00ac3 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00007ff80ec01d2a (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00007ff80ec2399c (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00007ff80eca1408 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00007ff80eca1402 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00007ff80eca13f0 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00007ff80ec243ac (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00007ff80ec26c56 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00007ff80ebfeb1d (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80ebfeb1d (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80ec262a0 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00007ff80ec27061 (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00007ff80ec22594 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00007ff80ec071a5 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00007ff80ebff3f8 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00007ff80ec122fb (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00007ff80ec1cf62 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00007ff80ec1cc3c (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00007ff80ec25018 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00007ff80ebff02c (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00007ff80ec265dd (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00007ff80ebfebd3 (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00007ff80ec26515 (__TEXT,__text) non-external _BuildHistograms
00007ff80ec4cd80 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
00007ff80ec4ce80 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00007ff80ebf6ca0 (__TEXT,__text) non-external _ChooseDistanceParams
00007ff80ebff2ef (__TEXT,__text) non-external _CollectGarbagePointers
00007ff80ec45a0a (__TEXT,__text) non-external _ComputeDistanceCost
00007ff80ec1ea49 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00007ff80ec47199 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00007ff80ec0990c (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00007ff80ec2be94 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00007ff80ec2cdae (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00007ff80ec36317 (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00007ff80ec2da89 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00007ff80ec316f4 (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00007ff80ec32b42 (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00007ff80ec3402a (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00007ff80ec2ebe6 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00007ff80ec355e8 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00007ff80ec37306 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00007ff80ec30171 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00007ff80ec383b2 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00007ff80ebf7e71 (__TEXT,__text) non-external _DecideOverLiteralContextModeling
00007ff80ec4cc70 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00007ff80ec0bcc5 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00007ff80ec09a81 (__TEXT,__text) non-external _DecodeContextMap
00007ff80ec0c815 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00007ff80ec0c276 (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00007ff80ec08731 (__TEXT,__text) non-external _DecodeMetaBlockLength
00007ff80ec08cfe (__TEXT,__text) non-external _DecodeVarLenUint8
00007ff80ebfea9c (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00007ff80ec25547 (__TEXT,__text) non-external _EncodeContextMap
00007ff80ebf4b75 (__TEXT,__text) non-external _EncodeData
00007ff80ec1e86c (__TEXT,__text) non-external _EvaluateNode
00007ff80ebf7735 (__TEXT,__text) non-external _ExtendLastCommand
00007ff80ec6cf80 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80ecaa8f0 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80ecc3400 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80ebf7577 (__TEXT,__text) non-external _GetBrotliStorage
00007ff80ebf75eb (__TEXT,__text) non-external _GetHashTable
00007ff80ec46524 (__TEXT,__text) non-external _InitBlockSplitterCommand
00007ff80ec466df (__TEXT,__text) non-external _InitBlockSplitterDistance
00007ff80ec46369 (__TEXT,__text) non-external _InitBlockSplitterLiteral
00007ff80ec4cb70 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00007ff80ecc38a0 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
00007ff80ec4caf0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
