00007ff808205190 (__TEXT,__const) non-external _A1_Table
00007ff807a617d0 (__TEXT,__text) non-external _ARGB16UtoPlanar16U
00007ff807a616c0 (__TEXT,__text) non-external _ARGB8888toPlanar16Q12
00007ff807741240 (__TEXT,__text) non-external _ARGB8888toPlanar8
00007ff807746980 (__TEXT,__text) non-external _ARGBFFFFtoPlanarF
00007ff8406b1f10 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult
00007ff8078a23d0 (__TEXT,__text) non-external (was a private external) _AccumulateResult_PlanarF
00007ff8406b1f90 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult_perm
00007ff807a62f70 (__TEXT,__text) non-external _AddAlphaPass_Print16
00007ff807a62f10 (__TEXT,__text) non-external _AddAlphaPass_Print8
00007ff807a62fd0 (__TEXT,__text) non-external _AddAlphaPass_PrintF
00007ff807a4c220 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaFirst
00007ff807a4c200 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaLast
00007ff807a4c1e0 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaFirst
00007ff807a4c1c0 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaLast
00007ff807a4c270 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaFirst
00007ff807a4c240 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaLast
00007ff80772fe40 (__TEXT,__text) non-external (was a private external) _AddPassesToList
00007ff808205230 (__TEXT,__const) non-external _Ainv
00007ff807a56400 (__TEXT,__text) non-external _Alpha8ConvertPass_Print
00007ff8082080e0 (__TEXT,__const) non-external _AlphaChannelIsFirst.AlphaChannelIsFirstTable
00007ff8082080d8 (__TEXT,__const) non-external _AlphaChannelIsLast.AlphaChannelIsLastTable
00007ff8406b5280 (__DATA_CONST,__const) non-external _AlphaName.AlphaNameTable
00007ff807732790 (__TEXT,__text) non-external _AnyToAnyBlock
00007ff807732860 (__TEXT,__text) non-external _AnyToAnyBlockInternal
00007ff8082051e0 (__TEXT,__const) non-external _B
00007ff8077a9280 (__TEXT,__text) non-external _BoxConvolve16F_GCDWork
00007ff80772fe70 (__TEXT,__text) non-external _BringOddballFormatsToMainstream
00007ff843b3a5e8 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_CopyToCVPixelBuffer
00007ff843b3a508 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_GetSize
00007ff843b3a500 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_Init
00007ff843b3a5f0 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitForCopyFromCVPixelBuffer
00007ff843b3a5f8 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitForCopyToCVPixelBuffer
00007ff843b3a520 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitWithCGImage
00007ff843b3a5e0 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitWithCVPixelBuffer
00007ff8406b52c0 (__DATA_CONST,__const) non-external _ByteOrderName.ByteOrderNameTable
00007ff80772ee40 (__TEXT,__text) non-external _CGBitmapInfoIsValid
00007ff843b3a510 (__DATA_DIRTY,__data) non-external (was a private external) _CGImageFormat_GetComponentCount
00007ff843b3a518 (__DATA_DIRTY,__data) non-external (was a private external) _CGImageFormat_IsEqual
00007ff841feba68 (__DATA,__bss) non-external _CGInterfacesLibraryCore.frameworkLibrary
00007ff8079b1990 (__TEXT,__text) non-external (was a private external) _CVConvertPass_Print
00007ff843b3a540 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Copy
00007ff843b3a5b8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CopyChannelDescription
00007ff843b3a598 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CopyConversionMatrix
00007ff843b3a538 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Create
00007ff843b3a530 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CreateWithCVPixelBuffer
00007ff843b3a5a0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetAlphaHint
00007ff843b3a560 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelCount
00007ff843b3a5b0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelDescription
00007ff843b3a568 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelNames
00007ff843b3a580 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChromaSiting
00007ff843b3a570 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetColorSpace
00007ff843b3a590 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetConversionMatrix
00007ff843b3a558 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetFormatCode
00007ff843b3a5c0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetUserData
00007ff843b3a5d0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_InitvImageCGImageFormat
00007ff843b3a5d8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Print
00007ff843b3a550 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Release
00007ff843b3a548 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Retain
00007ff843b3a5a8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetAlphaHint
00007ff843b3a588 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetChromaSiting
00007ff843b3a578 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetColorSpace
00007ff843b3a5c8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetUserData
00007ff80774e180 (__TEXT,__text) non-external (was a private external) _CacheTable_Destroy
00007ff841feaab8 (__DATA,__data) non-external _CacheTable_GetCache.gCacheTable
00007ff841feaac0 (__DATA,__data) non-external _CacheTable_GetCache.predicate
00007ff80773e860 (__TEXT,__text) non-external (was a private external) _CacheTable_Init
00007ff8082387a0 (__TEXT,__const) non-external _CacheTable_Init.elementSize
00007ff80773eb50 (__TEXT,__text) non-external _CacheTable_key_hash
00007ff807740970 (__TEXT,__text) non-external _CacheTable_key_is_equal
00007ff8081774e0 (__TEXT,__text) non-external _CacheTable_key_release
00007ff807740920 (__TEXT,__text) non-external _CacheTable_key_retain
00007ff80773eab0 (__TEXT,__text) non-external _CacheTable_setup
00007ff80776b880 (__TEXT,__text) non-external _CacheTable_value_make_nonpurgeable
00007ff8077633f0 (__TEXT,__text) non-external _CacheTable_value_make_purgeable
00007ff8081774f0 (__TEXT,__text) non-external _CacheTable_value_release
00007ff841feaaa0 (__DATA,__data) non-external _CalculateNumThreads.cpuCount
00007ff807a61860 (__TEXT,__text) non-external _ChunkyToPlanar16U
00007ff807737bc0 (__TEXT,__text) non-external _ChunkyToPlanar8
00007ff807a61b80 (__TEXT,__text) non-external _ChunkyToPlanarF
00007ff807a53270 (__TEXT,__text) non-external _ChunkyToPlanarPass_Print
00007ff80787f160 (__TEXT,__text) non-external (was a private external) _ColorFill_ARGB8888
00007ff807871ea0 (__TEXT,__text) non-external (was a private external) _ColorFill_ARGBFFFF
00007ff8077a0830 (__TEXT,__text) non-external (was a private external) _ColorFill_Planar8
00007ff80786e180 (__TEXT,__text) non-external (was a private external) _ColorFill_PlanarF
00007ff807a5b230 (__TEXT,__text) non-external _CompressPassesToLUT
00007ff8406b88a0 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_8to64U_vtbl
00007ff8406b8840 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar128_vtbl
00007ff8406b8660 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar16_vtbl
00007ff8406b86c0 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar24_vtbl
00007ff8406b8780 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar48_vtbl
00007ff8406b87e0 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar96_vtbl
00007ff8406b8720 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanarF_vtbl
00007ff8406b8600 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_TableLookup_Planar8_vtbl
00007ff8077b65b0 (__TEXT,__text) non-external _ComputeTileSize
00007ff808177520 (__TEXT,__text) non-external _ComputeTileSize.cold.1
00007ff8078e1590 (__TEXT,__text) non-external (was a private external) _ContrastStretch_ARGBFFFF_AVX
00007ff8078df9a0 (__TEXT,__text) non-external (was a private external) _ContrastStretch_PlanarF_AVX
00007ff807a57750 (__TEXT,__text) non-external _Convert10ToF
00007ff807a56c40 (__TEXT,__text) non-external _Convert10toSomethingPass_Print
00007ff807a578a0 (__TEXT,__text) non-external _Convert11ToF
00007ff807a579f0 (__TEXT,__text) non-external _Convert12ToF
00007ff807a57b40 (__TEXT,__text) non-external _Convert13ToF
00007ff807a57c90 (__TEXT,__text) non-external _Convert14ToF
00007ff807a57de0 (__TEXT,__text) non-external _Convert15ToF
00007ff80777fce0 (__TEXT,__text) non-external (was a private external) _Convert16UToF
00007ff807a57f30 (__TEXT,__text) non-external _Convert17ToF
00007ff807a58080 (__TEXT,__text) non-external _Convert18ToF
00007ff807a581d0 (__TEXT,__text) non-external _Convert19ToF
00007ff807a552a0 (__TEXT,__text) non-external _Convert1To8Bit
00007ff807a58320 (__TEXT,__text) non-external _Convert20ToF
00007ff807a58470 (__TEXT,__text) non-external _Convert21ToF
00007ff807a585c0 (__TEXT,__text) non-external _Convert22ToF
00007ff807a58710 (__TEXT,__text) non-external _Convert23ToF
00007ff807a58860 (__TEXT,__text) non-external _Convert24ToF
00007ff807a589b0 (__TEXT,__text) non-external _Convert25ToF
00007ff807a58b00 (__TEXT,__text) non-external _Convert26ToF
00007ff807a58c50 (__TEXT,__text) non-external _Convert27ToF
00007ff807a58da0 (__TEXT,__text) non-external _Convert28ToF
00007ff807a58ef0 (__TEXT,__text) non-external _Convert29ToF
00007ff807a553d0 (__TEXT,__text) non-external _Convert2To8Bit
00007ff807a59040 (__TEXT,__text) non-external _Convert30ToF
00007ff807a59190 (__TEXT,__text) non-external _Convert31ToF
00007ff807a592e0 (__TEXT,__text) non-external _Convert32ToF
00007ff807a55960 (__TEXT,__text) non-external _Convert3To8Bit
00007ff807a55500 (__TEXT,__text) non-external _Convert4To8Bit
00007ff807a55a90 (__TEXT,__text) non-external _Convert5To8Bit
00007ff807a55bc0 (__TEXT,__text) non-external _Convert6To8Bit
00007ff807a55cf0 (__TEXT,__text) non-external _Convert7To8Bit
00007ff807a55630 (__TEXT,__text) non-external _Convert8To1Bit
00007ff807a55740 (__TEXT,__text) non-external _Convert8To2Bit
00007ff807a55e20 (__TEXT,__text) non-external _Convert8To3Bit
00007ff807a55850 (__TEXT,__text) non-external _Convert8To4Bit
00007ff807a55f20 (__TEXT,__text) non-external _Convert8To5Bit
00007ff807a56020 (__TEXT,__text) non-external _Convert8To6Bit
00007ff807a56120 (__TEXT,__text) non-external _Convert8To7Bit
00007ff807a57600 (__TEXT,__text) non-external _Convert9ToF
00007ff80772f930 (__TEXT,__text) non-external _ConvertByteOrderingToDefault
00007ff8406b5c00 (__DATA_CONST,__const) non-external _ConvertDirectToIndexed.Convert_Planar8toIndexed1_vtbl
00007ff8406b5c60 (__DATA_CONST,__const) non-external _ConvertDirectToIndexed.Convert_Planar8toIndexed2_vtbl
00007ff8406b5cc0 (__DATA_CONST,__const) non-external _ConvertDirectToIndexed.Convert_Planar8toIndexed4_vtbl
00007ff8406b5d20 (__DATA_CONST,__const) non-external _ConvertDirectToIndexed.Convert_TableLookUp_Planar8toIndexed_vtbl
00007ff807a59540 (__TEXT,__text) non-external _ConvertFTo10
00007ff807a59650 (__TEXT,__text) non-external _ConvertFTo11
00007ff807a59760 (__TEXT,__text) non-external _ConvertFTo12
00007ff807a59870 (__TEXT,__text) non-external _ConvertFTo13
00007ff807a59980 (__TEXT,__text) non-external _ConvertFTo14
00007ff807a59a90 (__TEXT,__text) non-external _ConvertFTo15
00007ff807a59ba0 (__TEXT,__text) non-external _ConvertFTo17
00007ff807a59cb0 (__TEXT,__text) non-external _ConvertFTo18
00007ff807a59dc0 (__TEXT,__text) non-external _ConvertFTo19
00007ff807a59ed0 (__TEXT,__text) non-external _ConvertFTo20
00007ff807a59fe0 (__TEXT,__text) non-external _ConvertFTo21
00007ff807a5a0f0 (__TEXT,__text) non-external _ConvertFTo22
00007ff807a5a200 (__TEXT,__text) non-external _ConvertFTo23
00007ff807a5a310 (__TEXT,__text) non-external _ConvertFTo24
00007ff807a5a420 (__TEXT,__text) non-external _ConvertFTo25
00007ff807a5a530 (__TEXT,__text) non-external _ConvertFTo26
00007ff807a5a640 (__TEXT,__text) non-external _ConvertFTo27
00007ff807a5a750 (__TEXT,__text) non-external _ConvertFTo28
