                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
000000019463efdc (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
000000019463b68c (__TEXT,__text) external _FSp_profile_init
000000019463b694 (__TEXT,__text) external _FSp_profile_init_path
000000019463efe4 (__TEXT,__text) external _FSp_put_svc_key
000000019463efec (__TEXT,__text) external _FSp_read_service_key
00000001ea1202e8 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00000001ea120300 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00000001ea1202c0 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00000001ea1202a8 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00000001ea120278 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00000001ea120290 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00000001ea120260 (__DATA,__data) external _GSS_C_NT_USER_NAME
00000001ea120388 (__DATA,__data) external _GSS_KRB5_MECHANISM
00000001ea120358 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00000001ea120320 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00000001ea120368 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00000001ea120348 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
000000019463f120 (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
000000019463f118 (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
000000019463f07c (__TEXT,__text) external _KClientAddCredentialsDeprecated
000000019463f014 (__TEXT,__text) external _KClientAddRealmMapDeprecated
