
/System/Library/PrivateFrameworks/CoreCDPUI.framework/PlugIns/CDPFollowUpExtension.appex/Contents/MacOS/CDPFollowUpExtension (for architecture x86_64):
0000000100003538 (__TEXT,__const) external _CDPFollowUpExtensionVersionNumber
0000000100003500 (__TEXT,__const) external _CDPFollowUpExtensionVersionString
                 (undefined) external _NSExtensionMain (from Foundation)
                 (undefined) external _OBJC_CLASS_$_ACAccountStore (from Accounts)
                 (undefined) external _OBJC_CLASS_$_CDPContext (from CoreCDP)
                 (undefined) external _OBJC_CLASS_$_CDPFollowUpContext (from CoreCDP)
                 (undefined) external _OBJC_CLASS_$_CDPFollowUpController (from CoreCDP)
0000000100008570 (__DATA,__objc_data) external _OBJC_CLASS_$_CDPFollowUpViewController
                 (undefined) external _OBJC_CLASS_$_CDPStateController (from CoreCDP)
                 (undefined) external _OBJC_CLASS_$_CDPStateUIController (from CoreCDPUI)
                 (undefined) external _OBJC_CLASS_$_CDPUtilities (from CoreCDP)
                 (undefined) external _OBJC_CLASS_$_FLExtensionViewController (from CoreFollowUpUI)
                 (undefined) external _OBJC_CLASS_$_NSImage (from AppKit)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
0000000100008598 (__DATA,__objc_data) external _OBJC_METACLASS_$_CDPFollowUpViewController
                 (undefined) external _OBJC_METACLASS_$_FLExtensionViewController (from CoreFollowUpUI)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __CDPLogSystem (from CoreCDPUI)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __Unwind_Resume (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __dispatch_main_q (from libSystem)
0000000100000000 (__TEXT,__text) [referenced dynamically] external __mh_execute_header
