00000001900ec92c (__TEXT,__text) non-external _Annihilate
00000001901281f4 (__TEXT,__text) non-external _BlockSplitterAddSymbolCommand
0000000190128284 (__TEXT,__text) non-external _BlockSplitterAddSymbolDistance
000000019012823c (__TEXT,__text) non-external _BlockSplitterAddSymbolLiteral
00000001901290a8 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
0000000190129690 (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00000001901282cc (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00000001900ec6b4 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
0000000190109248 (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00000001900e060c (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00000001900eca04 (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00000001900e08a4 (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
0000000190126cec (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00000001901275ec (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00000001900e0ae8 (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00000001900f3808 (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00000001901018b8 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00000001901024b4 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
0000000190100cbc (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
0000000190101024 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
0000000190101c20 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
0000000190100428 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00000001900e74ac (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00000001900e88a4 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00000001900e9b00 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00000001900ead5c (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
00000001900e7648 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
000000019011e034 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
000000019011f3a0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
000000019011fbe0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
0000000190120420 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
0000000190120c60 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00000001901214a0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
0000000190121ce0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
0000000190122520 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
0000000190122e68 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
000000019011e320 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
000000019011eb60 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00000001900fba48 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00000001901104a0 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00000001901049d0 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00000001900fb000 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
0000000190104870 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00000001900f1ff0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00000001900f2110 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00000001900f2230 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00000001900f20b0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00000001900f6018 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00000001900f6010 (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00000001900f5ec0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00000001900f7bf0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00000001900f5fc4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00000001900f5fa4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00000001900f1f9c (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00000001900f7bac (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00000001900f7b2c (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00000001900f79fc (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00000001900f7ae0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00000001900f5ef8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00000001900e540c (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00000001900f1d28 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00000001900f1d30 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00000001900eda88 (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00000001900e122c (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00000001900e2a44 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00000001900e1014 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00000001900e1128 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00000001900e5398 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00000001900e37c4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00000001900e1208 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00000001900e0f20 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00000001900e53a8 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00000001900e540c (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00000001900f4930 (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00000001900fa1c8 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
000000019011be48 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
0000000190130684 (__TEXT,__text) non-external _BrotliFindAllStaticDictionaryMatches.cold.1
0000000190130684 (__TEXT,__text) non-external _BrotliFindAllStaticDictionaryMatches.cold.2
00000001900ec7ec (__TEXT,__text) non-external (was a private external) _BrotliFree
00000001900ec9f4 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
0000000190107d00 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
0000000190101528 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
0000000190102124 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
000000019010092c (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
000000019010124c (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
0000000190101e48 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
0000000190100650 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
0000000190101738 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
0000000190102334 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
0000000190100b3c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00000001901015c0 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00000001901021bc (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00000001901009c4 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00000001900f1e00 (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00000001900eda78 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
0000000190126bd8 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
0000000190107c8c (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00000001900ec674 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
0000000190102fc0 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
000000019011da10 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
0000000190127bf0 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00000001900fb2bc (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
000000019010d368 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
000000019010d758 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
000000019010cf90 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
0000000190151068 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00000001900f1e60 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00000001900faf40 (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00000001900eca00 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00000001900edac8 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
0000000190108f98 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
0000000190185478 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
