                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018fc7a944 (__TEXT,__text) non-external _alone_decode
000000018fc7abe8 (__TEXT,__text) non-external _alone_decoder_end
000000018fc7ac28 (__TEXT,__text) non-external _alone_decoder_memconfig
000000018fc79370 (__TEXT,__text) non-external _alone_encode
000000018fc79488 (__TEXT,__text) non-external _alone_encoder_end
000000018fc791f4 (__TEXT,__text) non-external _alone_encoder_init
000000018fc847f0 (__TEXT,__text) non-external _arm64_code
000000018fc87474 (__TEXT,__text) non-external _arm_code
000000018fc87560 (__TEXT,__text) non-external _armthumb_code
000000018fc7ae54 (__TEXT,__text) non-external _auto_decode
000000018fc7afd0 (__TEXT,__text) non-external _auto_decoder_end
000000018fc7b010 (__TEXT,__text) non-external _auto_decoder_get_check
000000018fc7ad4c (__TEXT,__text) non-external _auto_decoder_init
000000018fc7b028 (__TEXT,__text) non-external _auto_decoder_memconfig
000000018fc8cf08 (__TEXT,__const) non-external _bcj_optmap
000000018fc79570 (__TEXT,__text) non-external _block_buffer_encode
000000018fc7b378 (__TEXT,__text) non-external _block_decode
000000018fc7b5ec (__TEXT,__text) non-external _block_decoder_end
000000018fc73ca8 (__TEXT,__text) non-external _block_encode
000000018fc79814 (__TEXT,__text) non-external _block_encode_normal
000000018fc7997c (__TEXT,__text) non-external _block_encode_uncompressed
000000018fc7818c (__TEXT,__text) non-external _block_encoder_end
000000018fc71de0 (__TEXT,__text) non-external _block_encoder_init
000000018fc79b24 (__TEXT,__text) non-external _block_encoder_update
000000018fc7706c (__TEXT,__text) non-external _bt_find_func
000000018fc74e64 (__TEXT,__text) non-external _bt_skip_func
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _clock_gettime (from libSystem)
000000018fc86ddc (__TEXT,__text) non-external _copy_or_code
