                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80fd0b13a (__TEXT,__text) non-external _au_assemble
00007ff80fd0c5bc (__TEXT,__text) external _au_bsm_to_domain
00007ff80fd17781 (__TEXT,__text) external _au_bsm_to_errno
00007ff80fd1782f (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00007ff80fd138d6 (__TEXT,__text) external _au_bsm_to_socket_type
00007ff80fd0b387 (__TEXT,__text) external _au_close
00007ff80fd0b438 (__TEXT,__text) external _au_close_buffer
00007ff80fd0b4f8 (__TEXT,__text) external _au_close_token
00007ff80fd0b06f (__TEXT,__text) external _au_close_with_errors
00007ff843e974c4 (__DATA,__bss) non-external _au_cond
00007ff80fd0c591 (__TEXT,__text) external _au_domain_to_bsm
00007ff80fd17753 (__TEXT,__text) external _au_errno_to_bsm
00007ff80fd17804 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00007ff80fd0aafb (__TEXT,__text) external _au_fetch_tok
00007ff80fd0ae85 (__TEXT,__text) external _au_free_token
00007ff80fd137d5 (__TEXT,__text) external _au_get_state
00007ff80fd13735 (__TEXT,__text) external _au_notify_initialize
00007ff80fd137bc (__TEXT,__text) external _au_notify_terminate
00007ff80fd0aeaf (__TEXT,__text) external _au_open
00007ff841339990 (__DATA_CONST,__const) non-external _au_polstr
00007ff80fd0b974 (__TEXT,__text) external _au_poltostr
00007ff80fd13525 (__TEXT,__text) external _au_preselect
00007ff80fd0e398 (__TEXT,__text) external _au_print_flags_tok
00007ff80fd127ac (__TEXT,__text) external _au_print_tok
00007ff80fd127c6 (__TEXT,__text) external _au_print_tok_xml
00007ff80fd0ce91 (__TEXT,__text) external _au_print_xml_footer
00007ff80fd0ce50 (__TEXT,__text) external _au_print_xml_header
00007ff80fd127e6 (__TEXT,__text) external _au_read_rec
00007ff80fd17713 (__TEXT,__text) external _au_sdev_close
00007ff80fd17746 (__TEXT,__text) external _au_sdev_fd
00007ff80fd0a6c3 (__TEXT,__text) external _au_sdev_open
00007ff80fd0a796 (__TEXT,__text) external _au_sdev_read_aia
00007ff841339a80 (__DATA_CONST,__const) non-external _au_sflagsstr
00007ff80fd0badd (__TEXT,__text) external _au_sflagstostr
00007ff80fd138ab (__TEXT,__text) external _au_socket_type_to_bsm
00007ff80fd0c056 (__TEXT,__text) non-external _au_spacetobytes
00007ff80fd177c0 (__TEXT,__text) external _au_strerror
00007ff80fd0ba17 (__TEXT,__text) external _au_strtopol
00007ff80fd0bb7d (__TEXT,__text) external _au_strtosflags
00007ff80fd0b2e0 (__TEXT,__text) non-external _au_teardown
00007ff80fd13b02 (__TEXT,__text) external _au_to_arg
00007ff80fd1390f (__TEXT,__text) external _au_to_arg32
00007ff80fd139f3 (__TEXT,__text) external _au_to_arg64
00007ff80fd1591c (__TEXT,__text) external _au_to_certificate_hash
00007ff80fd13b0c (__TEXT,__text) external _au_to_data
00007ff80fd157dc (__TEXT,__text) external _au_to_exec_args
00007ff80fd1590d (__TEXT,__text) external _au_to_exec_env
00007ff80fd13bf1 (__TEXT,__text) external _au_to_exit
00007ff80fd14120 (__TEXT,__text) external _au_to_file
00007ff80fd13c94 (__TEXT,__text) external _au_to_groups
00007ff80fd16015 (__TEXT,__text) external _au_to_header
00007ff80fd15f6f (__TEXT,__text) external _au_to_header32
00007ff80fd15edd (__TEXT,__text) external _au_to_header32_ex
00007ff80fd15c3d (__TEXT,__text) external _au_to_header32_ex_tm
00007ff80fd15b42 (__TEXT,__text) external _au_to_header32_tm
00007ff80fd15fc2 (__TEXT,__text) external _au_to_header64
00007ff80fd15dae (__TEXT,__text) external _au_to_header64_tm
00007ff80fd1601f (__TEXT,__text) external _au_to_header_ex
00007ff80fd159e8 (__TEXT,__text) external _au_to_identity
00007ff80fd13d54 (__TEXT,__text) external _au_to_in_addr
00007ff80fd13dc2 (__TEXT,__text) external _au_to_in_addr_ex
00007ff80fd13e39 (__TEXT,__text) external _au_to_ip
00007ff80fd13eb7 (__TEXT,__text) external _au_to_ipc
00007ff80fd13f43 (__TEXT,__text) external _au_to_ipc_perm
00007ff80fd14012 (__TEXT,__text) external _au_to_iport
00007ff80fd160ab (__TEXT,__text) external _au_to_kevent
00007ff80fd1592b (__TEXT,__text) external _au_to_krb5_principal
00007ff80fd15754 (__TEXT,__text) external _au_to_me
00007ff80fd13ca6 (__TEXT,__text) external _au_to_newgroups
00007ff80fd1407c (__TEXT,__text) external _au_to_opaque
00007ff80fd142d6 (__TEXT,__text) external _au_to_path
00007ff80fd14677 (__TEXT,__text) external _au_to_process
00007ff80fd14384 (__TEXT,__text) external _au_to_process32
00007ff80fd14681 (__TEXT,__text) external _au_to_process32_ex
00007ff80fd144da (__TEXT,__text) external _au_to_process64
00007ff80fd1489d (__TEXT,__text) external _au_to_process64_ex
00007ff80fd14ada (__TEXT,__text) external _au_to_process_ex
00007ff80fd14c21 (__TEXT,__text) external _au_to_return
00007ff80fd14ae4 (__TEXT,__text) external _au_to_return32
00007ff80fd14b70 (__TEXT,__text) external _au_to_return64
00007ff80fd14c2b (__TEXT,__text) external _au_to_seq
00007ff80fd14ffa (__TEXT,__text) external _au_to_sock_inet
00007ff80fd14f6c (__TEXT,__text) external _au_to_sock_inet128
00007ff80fd14eec (__TEXT,__text) external _au_to_sock_inet32
00007ff80fd14e2d (__TEXT,__text) external _au_to_sock_unix
00007ff80fd14ca5 (__TEXT,__text) external _au_to_socket_ex
00007ff80fd157eb (__TEXT,__text) non-external _au_to_strings
00007ff80fd152f7 (__TEXT,__text) external _au_to_subject
00007ff80fd15004 (__TEXT,__text) external _au_to_subject32
00007ff80fd15301 (__TEXT,__text) external _au_to_subject32_ex
00007ff80fd1515a (__TEXT,__text) external _au_to_subject64
00007ff80fd15515 (__TEXT,__text) external _au_to_subject64_ex
00007ff80fd1574a (__TEXT,__text) external _au_to_subject_ex
00007ff80fd14228 (__TEXT,__text) external _au_to_text
00007ff80fd16029 (__TEXT,__text) external _au_to_trailer
00007ff80fd1593a (__TEXT,__text) external _au_to_zonename
00007ff80fd163ba (__TEXT,__text) external _au_user_mask
00007ff80fd0afed (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00007ff843e96d78 (__DATA,__bss) non-external _audit_free_q
00007ff80fd1769c (__TEXT,__text) external _audit_get_car
00007ff80fd1746c (__TEXT,__text) external _audit_get_class
00007ff80fd169a3 (__TEXT,__text) external _audit_get_cond
00007ff80fd176b1 (__TEXT,__text) external _audit_get_ctlmode
00007ff80fd17687 (__TEXT,__text) external _audit_get_cwd
00007ff80fd176e2 (__TEXT,__text) external _audit_get_expire_after
00007ff80fd17530 (__TEXT,__text) external _audit_get_fsize
00007ff80fd1740a (__TEXT,__text) external _audit_get_kaudit
00007ff80fd174ce (__TEXT,__text) external _audit_get_kmask
00007ff80fd175c3 (__TEXT,__text) external _audit_get_pinfo
00007ff80fd175f4 (__TEXT,__text) external _audit_get_pinfo_addr
00007ff80fd1716c (__TEXT,__text) external _audit_get_policy
00007ff80fd172a1 (__TEXT,__text) external _audit_get_qctrl
00007ff80fd1723a (__TEXT,__text) external _audit_get_sflags
00007ff80fd17275 (__TEXT,__text) external _audit_get_sflags_mask
00007ff80fd0ae54 (__TEXT,__text) external _audit_get_sinfo_addr
00007ff80fd17625 (__TEXT,__text) external _audit_get_stat
00007ff843e96d70 (__DATA,__bss) non-external _audit_rec_count
00007ff80fd173f3 (__TEXT,__text) external _audit_send_trigger
