                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018f09a6b0 (__TEXT,__text) non-external _au_assemble
000000018f09be9c (__TEXT,__text) external _au_bsm_to_domain
000000018f0a7f10 (__TEXT,__text) external _au_bsm_to_errno
000000018f0a7fd8 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
000000018f0a3614 (__TEXT,__text) external _au_bsm_to_socket_type
000000018f09a93c (__TEXT,__text) external _au_close
000000018f09aa0c (__TEXT,__text) external _au_close_buffer
000000018f09aaf0 (__TEXT,__text) external _au_close_token
000000018f09a5c8 (__TEXT,__text) external _au_close_with_errors
00000001ecf573f0 (__DATA_DIRTY,__bss) non-external _au_cond
000000018f09be68 (__TEXT,__text) external _au_domain_to_bsm
000000018f0a7ed8 (__TEXT,__text) external _au_errno_to_bsm
000000018f0a7fa4 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
000000018f099c38 (__TEXT,__text) external _au_fetch_tok
000000018f09a39c (__TEXT,__text) external _au_free_token
000000018f0a34d0 (__TEXT,__text) external _au_get_state
000000018f0a33f0 (__TEXT,__text) external _au_notify_initialize
000000018f0a34a8 (__TEXT,__text) external _au_notify_terminate
000000018f09a3e4 (__TEXT,__text) external _au_open
00000001e73f20b8 (__DATA_CONST,__const) non-external _au_polstr
000000018f09afa8 (__TEXT,__text) external _au_poltostr
000000018f0a31b4 (__TEXT,__text) external _au_preselect
000000018f09dfa0 (__TEXT,__text) external _au_print_flags_tok
000000018f0a24c4 (__TEXT,__text) external _au_print_tok
000000018f0a24e0 (__TEXT,__text) external _au_print_tok_xml
000000018f09c78c (__TEXT,__text) external _au_print_xml_footer
000000018f09c730 (__TEXT,__text) external _au_print_xml_header
000000018f0a24fc (__TEXT,__text) external _au_read_rec
000000018f0a7e8c (__TEXT,__text) external _au_sdev_close
000000018f0a7ed0 (__TEXT,__text) external _au_sdev_fd
000000018f0997e4 (__TEXT,__text) external _au_sdev_open
000000018f0998b8 (__TEXT,__text) external _au_sdev_read_aia
00000001e73f21a8 (__DATA_CONST,__const) non-external _au_sflagsstr
000000018f09b16c (__TEXT,__text) external _au_sflagstostr
000000018f0a35e0 (__TEXT,__text) external _au_socket_type_to_bsm
000000018f09b83c (__TEXT,__text) non-external _au_spacetobytes
000000018f0a7f58 (__TEXT,__text) external _au_strerror
000000018f09b07c (__TEXT,__text) external _au_strtopol
000000018f09b240 (__TEXT,__text) external _au_strtosflags
000000018f09a880 (__TEXT,__text) non-external _au_teardown
000000018f0a3878 (__TEXT,__text) external _au_to_arg
000000018f0a3658 (__TEXT,__text) external _au_to_arg32
000000018f0a3758 (__TEXT,__text) external _au_to_arg64
000000018f0a5b6c (__TEXT,__text) external _au_to_certificate_hash
000000018f0a387c (__TEXT,__text) external _au_to_data
000000018f0a5a24 (__TEXT,__text) external _au_to_exec_args
000000018f0a5b64 (__TEXT,__text) external _au_to_exec_env
000000018f0a397c (__TEXT,__text) external _au_to_exit
000000018f0a4000 (__TEXT,__text) external _au_to_file
000000018f0a3a44 (__TEXT,__text) external _au_to_groups
000000018f0a63c0 (__TEXT,__text) external _au_to_header
000000018f0a62b0 (__TEXT,__text) external _au_to_header32
000000018f0a61fc (__TEXT,__text) external _au_to_header32_ex
000000018f0a5f08 (__TEXT,__text) external _au_to_header32_ex_tm
000000018f0a5dd8 (__TEXT,__text) external _au_to_header32_tm
000000018f0a6338 (__TEXT,__text) external _au_to_header64
000000018f0a60a8 (__TEXT,__text) external _au_to_header64_tm
000000018f0a63c4 (__TEXT,__text) external _au_to_header_ex
000000018f0a5c48 (__TEXT,__text) external _au_to_identity
000000018f0a3b24 (__TEXT,__text) external _au_to_in_addr
000000018f0a3bb4 (__TEXT,__text) external _au_to_in_addr_ex
000000018f0a3c50 (__TEXT,__text) external _au_to_ip
000000018f0a3cf0 (__TEXT,__text) external _au_to_ipc
000000018f0a3da0 (__TEXT,__text) external _au_to_ipc_perm
000000018f0a3eac (__TEXT,__text) external _au_to_iport
000000018f0a6470 (__TEXT,__text) external _au_to_kevent
000000018f0a5b74 (__TEXT,__text) external _au_to_krb5_principal
000000018f0a597c (__TEXT,__text) external _au_to_me
000000018f0a3a50 (__TEXT,__text) external _au_to_newgroups
000000018f0a3f3c (__TEXT,__text) external _au_to_opaque
000000018f0a41f8 (__TEXT,__text) external _au_to_path
000000018f0a463c (__TEXT,__text) external _au_to_process
000000018f0a42c4 (__TEXT,__text) external _au_to_process32
000000018f0a4640 (__TEXT,__text) external _au_to_process32_ex
000000018f0a4460 (__TEXT,__text) external _au_to_process64
000000018f0a4894 (__TEXT,__text) external _au_to_process64_ex
000000018f0a4b24 (__TEXT,__text) external _au_to_process_ex
000000018f0a4ca8 (__TEXT,__text) external _au_to_return
000000018f0a4b28 (__TEXT,__text) external _au_to_return32
000000018f0a4bd8 (__TEXT,__text) external _au_to_return64
000000018f0a4cac (__TEXT,__text) external _au_to_seq
000000018f0a512c (__TEXT,__text) external _au_to_sock_inet
000000018f0a507c (__TEXT,__text) external _au_to_sock_inet128
