00007ffa4291b0f0 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffa4291b030 (__DATA,__data) non-external _TIMEOUT
00007ffa4291b040 (__DATA,__data) non-external _TIMEOUT
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffa14b74120 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffa14b74140 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___memmove_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007ffa14b706f6 (__TEXT,__text) non-external __buf
00007ffa14b7ef3f (__TEXT,__text) non-external __buf.cold.1
00007ffa14b7efe6 (__TEXT,__text) non-external __buf.cold.2
00007ffa14b705d4 (__TEXT,__text) external __newrpclib___rpc_createerr
00007ffa14b7ed4a (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.1
00007ffa14b7edf1 (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.2
00007ffa14b74c59 (__TEXT,__text) external __newrpclib__authenticate
00007ffa14b7fa48 (__TEXT,__text) non-external __newrpclib__authenticate.cold.1
00007ffa14b7fae5 (__TEXT,__text) non-external __newrpclib__authenticate.cold.2
00007ffa14b7fb93 (__TEXT,__text) non-external __newrpclib__authenticate.cold.3
00007ffa4291b220 (__DATA,__common) external __newrpclib__null_auth
00007ffa14b748f5 (__TEXT,__text) external __newrpclib__seterr_reply
00007ffa14b6edac (__TEXT,__text) external __newrpclib_authnone_create
00007ffa14b7e819 (__TEXT,__text) non-external __newrpclib_authnone_create.cold.1
00007ffa14b6ef0e (__TEXT,__text) external __newrpclib_authunix_create
00007ffa14b7e8c0 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.1
00007ffa14b7e96e (__TEXT,__text) non-external __newrpclib_authunix_create.cold.2
00007ffa14b7ea1c (__TEXT,__text) non-external __newrpclib_authunix_create.cold.3
00007ffa14b7eab7 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.4
00007ffa14b6f26d (__TEXT,__text) external __newrpclib_authunix_create_default
00007ffa14b7ebed (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.1
00007ffa14b7ec9b (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.2
00007ffa14b6eb90 (__TEXT,__text) external __newrpclib_callrpc
00007ffa14b73e6d (__TEXT,__text) external __newrpclib_clnt_broadcast
00007ffa14b6f8a3 (__TEXT,__text) external __newrpclib_clnt_create
00007ffa14b6f68e (__TEXT,__text) external __newrpclib_clnt_create_timeout
00007ffa14b6f9f4 (__TEXT,__text) external __newrpclib_clnt_multicasts_buf_timeout
00007ffa14b70d1a (__TEXT,__text) external __newrpclib_clnt_pcreateerror
00007ffa14b70a89 (__TEXT,__text) external __newrpclib_clnt_perrno
00007ffa14b7099c (__TEXT,__text) external __newrpclib_clnt_perror
00007ffa14b70acb (__TEXT,__text) external __newrpclib_clnt_spcreateerror
00007ffa14b70a57 (__TEXT,__text) external __newrpclib_clnt_sperrno
00007ffa14b706bd (__TEXT,__text) external __newrpclib_clnt_sperror
00007ffa14b70da6 (__TEXT,__text) external __newrpclib_clntraw_create
00007ffa14b7f134 (__TEXT,__text) non-external __newrpclib_clntraw_create.cold.1
00007ffa14b71e1c (__TEXT,__text) external __newrpclib_clnttcp_create
00007ffa14b7f881 (__TEXT,__text) non-external __newrpclib_clnttcp_create.cold.1
00007ffa14b71cf8 (__TEXT,__text) external __newrpclib_clnttcp_create_sa
00007ffa14b7f74b (__TEXT,__text) non-external __newrpclib_clnttcp_create_sa.cold.1
00007ffa14b71d89 (__TEXT,__text) external __newrpclib_clnttcp_create_timeout
00007ffa14b7f7e6 (__TEXT,__text) non-external __newrpclib_clnttcp_create_timeout.cold.1
00007ffa14b727a3 (__TEXT,__text) external __newrpclib_clntudp_bufcreate
00007ffa14b727fb (__TEXT,__text) external __newrpclib_clntudp_bufcreate_sa
00007ffa14b72378 (__TEXT,__text) external __newrpclib_clntudp_bufcreate_timeout
00007ffa14b727e5 (__TEXT,__text) external __newrpclib_clntudp_create
00007ffa14b7282d (__TEXT,__text) external __newrpclib_clntudp_create_sa
00007ffa14b72ea8 (__TEXT,__text) external __newrpclib_getrpcport
00007ffa14b7ba63 (__TEXT,__text) external __newrpclib_netid2socparms
00007ffa14b73bfd (__TEXT,__text) external __newrpclib_pmap_callit
00007ffa14b72f44 (__TEXT,__text) external __newrpclib_pmap_getmaps
00007ffa14b7318b (__TEXT,__text) external __newrpclib_pmap_getport
00007ffa14b7319b (__TEXT,__text) external __newrpclib_pmap_getport_sa
00007ffa14b74006 (__TEXT,__text) external __newrpclib_pmap_indirect
00007ffa14b731ab (__TEXT,__text) external __newrpclib_pmap_rmtcall
00007ffa14b7c598 (__TEXT,__text) external __newrpclib_pmap_set
00007ffa14b7c6a0 (__TEXT,__text) external __newrpclib_pmap_unset
00007ffa14b733da (__TEXT,__text) external __newrpclib_pmap_wakeup
00007ffa14b7c8d9 (__TEXT,__text) external __newrpclib_pmapproc_callit_2
00007ffa14b7c898 (__TEXT,__text) external __newrpclib_pmapproc_dump_2
00007ffa14b7c853 (__TEXT,__text) external __newrpclib_pmapproc_getport_2
00007ffa14b7c799 (__TEXT,__text) external __newrpclib_pmapproc_null_2
00007ffa14b7c7c9 (__TEXT,__text) external __newrpclib_pmapproc_set_2
00007ffa14b7c80e (__TEXT,__text) external __newrpclib_pmapproc_unset_2
00007ffa14b75760 (__TEXT,__text) external __newrpclib_registerrpc
00007ffa14b7fe15 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.1
00007ffa14b7feb0 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.2
00007ffa14b7ff4b (__TEXT,__text) non-external __newrpclib_registerrpc.cold.3
00007ffa14b7fff0 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.4
00007ffa4291b0d8 (__DATA,__bss) non-external __newrpclib_registerrpc.transp
00007ffa14b74504 (__TEXT,__text) external __newrpclib_rpc_control
00007ffa14b7f9b4 (__TEXT,__text) non-external __newrpclib_rpc_control.cold.1
00007ffa4291b218 (__DATA,__common) external __newrpclib_rpc_ipmode
00007ffa4291afd8 (__DATA,__data) external __newrpclib_rpc_v4mapped_ok
00007ffa14b734c0 (__TEXT,__text) external __newrpclib_rpcb_callit
00007ffa14b7e1a8 (__TEXT,__text) external __newrpclib_rpcb_getaddr
00007ffa14b7e1c8 (__TEXT,__text) external __newrpclib_rpcb_getaddr_for_host
00007ffa14b7da06 (__TEXT,__text) external __newrpclib_rpcb_getaddr_timeout
00007ffa14b832f1 (__TEXT,__text) non-external __newrpclib_rpcb_getaddr_timeout.cold.1
00007ffa14b7e1b8 (__TEXT,__text) external __newrpclib_rpcb_getversaddr
00007ffa14b7e0f4 (__TEXT,__text) external __newrpclib_rpcb_getversaddr_timeout
00007ffa14b73e77 (__TEXT,__text) external __newrpclib_rpcb_indirect
00007ffa14b7e2e4 (__TEXT,__text) external __newrpclib_rpcb_set
00007ffa14b7e59e (__TEXT,__text) external __newrpclib_rpcb_unset
00007ffa14b7cc6c (__TEXT,__text) external __newrpclib_rpcbproc_bcast_4
00007ffa14b7ca37 (__TEXT,__text) external __newrpclib_rpcbproc_callit_3
00007ffa14b7c9f6 (__TEXT,__text) external __newrpclib_rpcbproc_dump_3
00007ffa14b7cc2b (__TEXT,__text) external __newrpclib_rpcbproc_dump_4
00007ffa14b7c9b0 (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_3
00007ffa14b7cbe5 (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_4
00007ffa14b7ce23 (__TEXT,__text) external __newrpclib_rpcbproc_getaddrlist_4
00007ffa14b7ce69 (__TEXT,__text) external __newrpclib_rpcbproc_getstat_4
00007ffa14b7ca84 (__TEXT,__text) external __newrpclib_rpcbproc_gettime_3
00007ffa14b7ccb9 (__TEXT,__text) external __newrpclib_rpcbproc_gettime_4
00007ffa14b7cd90 (__TEXT,__text) external __newrpclib_rpcbproc_getversaddr_4
00007ffa14b7cdd6 (__TEXT,__text) external __newrpclib_rpcbproc_indirect_4
00007ffa14b7c926 (__TEXT,__text) external __newrpclib_rpcbproc_set_3
00007ffa14b7cb5b (__TEXT,__text) external __newrpclib_rpcbproc_set_4
00007ffa14b7cb15 (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_3
00007ffa14b7cd4a (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_4
00007ffa14b7cac4 (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_3
00007ffa14b7ccf9 (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_4
00007ffa14b7c96b (__TEXT,__text) external __newrpclib_rpcbproc_unset_3
00007ffa14b7cba0 (__TEXT,__text) external __newrpclib_rpcbproc_unset_4
00007ffa14b7be0f (__TEXT,__text) external __newrpclib_sa2uaddr
00007ffa14b6f259 (__TEXT,__text) external __newrpclib_set_rpc_maxgrouplist
00007ffa14b7b9a1 (__TEXT,__text) external __newrpclib_socparms2netid
00007ffa14b7907d (__TEXT,__text) external __newrpclib_svc_enable_localaddr
00007ffa14b82a6e (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.1
00007ffa14b82b02 (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.2
00007ffa14b82bb0 (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.3
00007ffa14b756cc (__TEXT,__text) external __newrpclib_svc_exit
00007ffa14b79193 (__TEXT,__text) external __newrpclib_svc_getcallee_sa
00007ffa14b79185 (__TEXT,__text) external __newrpclib_svc_getcaller_sa
00007ffa14b79178 (__TEXT,__text) external __newrpclib_svc_getnetid
00007ffa14b78c6e (__TEXT,__text) external __newrpclib_svc_getsomerequests
00007ffa14b75348 (__TEXT,__text) external __newrpclib_svc_pollnext
00007ffa14b7fd5e (__TEXT,__text) non-external __newrpclib_svc_pollnext.cold.1
00007ffa14b7806a (__TEXT,__text) external __newrpclib_svc_register
00007ffa14b78469 (__TEXT,__text) external __newrpclib_svc_reqsendreply
00007ffa14b74e79 (__TEXT,__text) external __newrpclib_svc_run
00007ffa14b783d8 (__TEXT,__text) external __newrpclib_svc_sendreply
00007ffa14b78188 (__TEXT,__text) external __newrpclib_svc_unregister
00007ffa14b788ae (__TEXT,__text) external __newrpclib_svcerr_auth
00007ffa14b78656 (__TEXT,__text) external __newrpclib_svcerr_decode
00007ffa14b7852a (__TEXT,__text) external __newrpclib_svcerr_noproc
00007ffa14b789ed (__TEXT,__text) external __newrpclib_svcerr_noprog
00007ffa14b78b16 (__TEXT,__text) external __newrpclib_svcerr_progvers
00007ffa14b78926 (__TEXT,__text) external __newrpclib_svcerr_reqauth
00007ffa14b786d6 (__TEXT,__text) external __newrpclib_svcerr_reqdecode
00007ffa14b785aa (__TEXT,__text) external __newrpclib_svcerr_reqnoproc
00007ffa14b78a6a (__TEXT,__text) external __newrpclib_svcerr_reqnoprog
00007ffa14b78ba8 (__TEXT,__text) external __newrpclib_svcerr_reqprogvers
00007ffa14b78802 (__TEXT,__text) external __newrpclib_svcerr_reqsystemerr
00007ffa14b789de (__TEXT,__text) external __newrpclib_svcerr_reqweakauth
00007ffa14b78782 (__TEXT,__text) external __newrpclib_svcerr_systemerr
