                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80d23473a (__TEXT,__text) external __cg_jcopy_block_row
00007ff80d2346e2 (__TEXT,__text) external __cg_jcopy_sample_rows
00007ff80d253073 (__TEXT,__text) external __cg_jinit_1pass_quantizer
00007ff80d22b5e2 (__TEXT,__text) external __cg_jinit_2pass_quantizer
00007ff80d233957 (__TEXT,__text) external __cg_jinit_c_coef_controller
00007ff80d234754 (__TEXT,__text) external __cg_jinit_c_main_controller
00007ff80d23fd00 (__TEXT,__text) external __cg_jinit_c_master_control
00007ff80d234928 (__TEXT,__text) external __cg_jinit_c_prep_controller
00007ff80d22a778 (__TEXT,__text) external __cg_jinit_color_converter
00007ff80d232ea4 (__TEXT,__text) external __cg_jinit_color_deconverter
00007ff80d22a65f (__TEXT,__text) external __cg_jinit_compress_master
00007ff80d23eb24 (__TEXT,__text) external __cg_jinit_d_coef_controller
00007ff80d241576 (__TEXT,__text) external __cg_jinit_d_main_controller
00007ff80d2421a2 (__TEXT,__text) external __cg_jinit_d_post_controller
00007ff80d24b01b (__TEXT,__text) external __cg_jinit_downsampler
00007ff80d23256d (__TEXT,__text) external __cg_jinit_forward_dct
00007ff80d24c3e3 (__TEXT,__text) external __cg_jinit_huff_decoder
00007ff80d2501b0 (__TEXT,__text) external __cg_jinit_huff_encoder
00007ff80d2358d1 (__TEXT,__text) external __cg_jinit_input_controller
00007ff80d22af7e (__TEXT,__text) external __cg_jinit_inverse_dct
00007ff80d22cd08 (__TEXT,__text) external __cg_jinit_marker_reader
00007ff80d24ef2a (__TEXT,__text) external __cg_jinit_marker_writer
00007ff80d241081 (__TEXT,__text) external __cg_jinit_master_decompress
00007ff80d254379 (__TEXT,__text) external __cg_jinit_memory_mgr
00007ff80d24bd48 (__TEXT,__text) external __cg_jinit_merged_upsampler
00007ff80d241c8e (__TEXT,__text) external __cg_jinit_upsampler
00007ff80d24ac44 (__TEXT,__text) external __cg_jpeg_CreateCompress
00007ff80d235014 (__TEXT,__text) external __cg_jpeg_CreateDecompress
00007ff80d22f33c (__TEXT,__text) external __cg_jpeg_abort
00007ff80d24ad7a (__TEXT,__text) external __cg_jpeg_abort_compress
00007ff80d23510d (__TEXT,__text) external __cg_jpeg_abort_decompress
00007ff80d23df74 (__TEXT,__text) external __cg_jpeg_add_quant_table
00007ff80d22f3c9 (__TEXT,__text) external __cg_jpeg_alloc_huff_table
00007ff80d22f3ac (__TEXT,__text) external __cg_jpeg_alloc_quant_table
00007ff80d240d4b (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
00007ff80d235186 (__TEXT,__text) external __cg_jpeg_consume_input
00007ff80d24e8d0 (__TEXT,__text) external __cg_jpeg_copy_critical_parameters
00007ff80d23e30f (__TEXT,__text) external __cg_jpeg_default_colorspace
00007ff80d22f37e (__TEXT,__text) external __cg_jpeg_destroy
00007ff80d24ad70 (__TEXT,__text) external __cg_jpeg_destroy_compress
00007ff80d235103 (__TEXT,__text) external __cg_jpeg_destroy_decompress
00007ff80d253da5 (__TEXT,__text) external __cg_jpeg_fdct_float
00007ff80d24e423 (__TEXT,__text) external __cg_jpeg_fdct_ifast
00007ff80d242b80 (__TEXT,__text) external __cg_jpeg_fdct_islow
00007ff80d24add7 (__TEXT,__text) external __cg_jpeg_finish_compress
00007ff80d235476 (__TEXT,__text) external __cg_jpeg_finish_decompress
00007ff80d250126 (__TEXT,__text) external __cg_jpeg_finish_output
00007ff80d2309d1 (__TEXT,__text) external __cg_jpeg_free_large
00007ff80d2309b7 (__TEXT,__text) external __cg_jpeg_free_small
00007ff80d2309c4 (__TEXT,__text) external __cg_jpeg_get_large
00007ff80d2309aa (__TEXT,__text) external __cg_jpeg_get_small
00007ff80d235439 (__TEXT,__text) external __cg_jpeg_has_multiple_scans
00007ff80d23751a (__TEXT,__text) external __cg_jpeg_idct_1x1
00007ff80d237469 (__TEXT,__text) external __cg_jpeg_idct_2x2
00007ff80d23717b (__TEXT,__text) external __cg_jpeg_idct_4x4
00007ff80d2426d8 (__TEXT,__text) external __cg_jpeg_idct_float
00007ff80d2320fc (__TEXT,__text) external __cg_jpeg_idct_ifast
00007ff80d2363b6 (__TEXT,__text) external __cg_jpeg_idct_islow
00007ff80d2353fc (__TEXT,__text) external __cg_jpeg_input_complete
00007ff80d2309de (__TEXT,__text) external __cg_jpeg_mem_available
00007ff80d230b4c (__TEXT,__text) external __cg_jpeg_mem_init
00007ff80d230b57 (__TEXT,__text) external __cg_jpeg_mem_term
00007ff80d255af0 (__TEXT,__const) external __cg_jpeg_natural_order
00007ff80d241007 (__TEXT,__text) external __cg_jpeg_new_colormap
00007ff80d2309ef (__TEXT,__text) external __cg_jpeg_open_backing_store
00007ff80d23e102 (__TEXT,__text) external __cg_jpeg_quality_scaling
00007ff80d242544 (__TEXT,__text) external __cg_jpeg_read_coefficients
00007ff80d235117 (__TEXT,__text) external __cg_jpeg_read_header
00007ff80d250000 (__TEXT,__text) external __cg_jpeg_read_raw_data
00007ff80d24ff51 (__TEXT,__text) external __cg_jpeg_read_scanlines
00007ff80d22ca8c (__TEXT,__text) external __cg_jpeg_resync_to_restart
00007ff80d22e84b (__TEXT,__text) external __cg_jpeg_save_markers
00007ff80d23e38c (__TEXT,__text) external __cg_jpeg_set_colorspace
00007ff80d23e1b3 (__TEXT,__text) external __cg_jpeg_set_defaults
00007ff80d23e0b7 (__TEXT,__text) external __cg_jpeg_set_linear_quality
00007ff80d22ec09 (__TEXT,__text) external __cg_jpeg_set_marker_processor
00007ff80d23e139 (__TEXT,__text) external __cg_jpeg_set_quality
