00007ffb444d6fb0 (__DATA,__common) external _AfterColour
00007ffb444d8f70 (__DATA,__common) external _ApplyExtTspWithoutProfile
00007ffb444da590 (__DATA,__common) external _AsmMacroMaxNestingDepth
00007ffb444d1e40 (__DATA,__common) external _BBSectionsDetectSourceDrift
00007ffb444d6eb0 (__DATA,__common) external _BeforeColour
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCStringNoCopy (from CoreFoundation)
00007ffb444d2b90 (__DATA,__common) external _CheapRematWeight
00007ffb444d70b0 (__DATA,__common) external _CommonColour
00007ffb444d28f0 (__DATA,__common) external _CopyWeight
00007ffb444d6820 (__DATA,__common) external _DisableBitcodeVersionUpgrade
00007ffb444d8ea0 (__DATA,__common) external _EnableExtTspBlockPlacement
00007ffb444d5bd0 (__DATA,__common) external _EnableLTOInternalization
00007ffb444da3e0 (__DATA,__common) external _EnableVPlanNativePath
00007ffb444da310 (__DATA,__common) external _EnableVPlanPredication
00007ffb444d2810 (__DATA,__common) external _EvictInterferenceCutoff
00007ffb444d2c70 (__DATA,__common) external _ExpensiveRematWeight
00007ffb43051bd0 (__DATA_DIRTY,__common) external _FSEC
00007ffb444d80f0 (__DATA,__common) external _ForceFusion
00007ffb444d17e0 (__DATA,__common) external _ForceSummaryEdgesCold
00007ffb444d7f50 (__DATA,__common) external _FuseMatrix
00007ffb444d7870 (__DATA,__common) external _GenerateMergedBaseProfiles
00007ffb444d0ee0 (__DATA,__common) external _InlinerFunctionImportStats
00007ffb1d16b791 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffb1d16b725 (__TEXT,__text) external _LLVMABISizeOfType
00007ffb1c5e1de2 (__TEXT,__text) external _LLVMAGXRuntimeMajorVersion
00007ffb1c5e1ded (__TEXT,__text) external _LLVMAGXRuntimeMinorVersion
00007ffb1d30a188 (__TEXT,__text) external _LLVMAddAddDiscriminatorsPass
00007ffb1ce62669 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffb1bccef76 (__TEXT,__text) external _LLVMAddAggressiveInstCombinerPass
00007ffb1c3d7656 (__TEXT,__text) external _LLVMAddAlias
00007ffb1c3d7696 (__TEXT,__text) external _LLVMAddAlias2
00007ffb1ce626d2 (__TEXT,__text) external _LLVMAddAlignmentFromAssumptionsPass
00007ffb1c7fd011 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffb1d16e364 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffb1c7fcf3a (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffb1c3d7d4a (__TEXT,__text) external _LLVMAddAttributeAtIndex
00007ffb1ce62ce5 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffb1ce626af (__TEXT,__text) external _LLVMAddBitTrackingDCEPass
00007ffb1ce626f5 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffb1c3d8b6c (__TEXT,__text) external _LLVMAddCallSiteAttribute
00007ffb1c7fcf62 (__TEXT,__text) external _LLVMAddCalledValuePropagationPass
00007ffb1c3da4da (__TEXT,__text) external _LLVMAddCase
00007ffb1c3da521 (__TEXT,__text) external _LLVMAddClause
00007ffb1c7fcf85 (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffb1d39338b (__TEXT,__text) external _LLVMAddCoroCleanupPass
00007ffb1d3932d5 (__TEXT,__text) external _LLVMAddCoroEarlyPass
00007ffb1d39334f (__TEXT,__text) external _LLVMAddCoroElidePass
00007ffb1d393311 (__TEXT,__text) external _LLVMAddCoroSplitPass
