00007ffb43be0fe8 (__DATA,__data) non-external _.compoundliteral
00007ffb43be1c18 (__DATA,__data) non-external _.compoundliteral.19
00007ffb43be22a8 (__DATA,__data) non-external _.compoundliteral.44
00007ffb43be3928 (__DATA,__data) non-external _.compoundliteral.76
00007ffb41746640 (__DATA_CONST,__const) non-external _ABIs
00007ffb0b231df0 (__TEXT,__const) non-external _ARCHIVE_SECTIONS.rel
00007ffb0b19dfe1 (__TEXT,__text) non-external (was a private external) _AddArray
00007ffb0b1b6ad4 (__TEXT,__text) non-external _AddAtomFixed
00007ffb0b19e07a (__TEXT,__text) non-external (was a private external) _AddBinding
00007ffb0b19e401 (__TEXT,__text) non-external (was a private external) _AddConstant
00007ffb0b20d84e (__TEXT,__text) non-external _AddConstantParam
00007ffb0b19f268 (__TEXT,__text) non-external (was a private external) _AddOp
00007ffb0b21173f (__TEXT,__text) non-external _AddOpToJumpTable
00007ffb0b19e557 (__TEXT,__text) non-external (was a private external) _AddOpv
00007ffb0b1bb44d (__TEXT,__text) non-external (was a private external) _AddSymbol
00007ffb0b19e3ec (__TEXT,__text) non-external (was a private external) _AddTemp
00007ffb0b209278 (__TEXT,__text) non-external _AddTempRegister
00007ffb0b205960 (__TEXT,__text) non-external (was a private external) _BackCopyPropagationSimple
00007ffb0b1fcc91 (__TEXT,__text) non-external (was a private external) _BitSetAndEquals
00007ffb0b1fccf1 (__TEXT,__text) non-external (was a private external) _BitSetAndNotEquals
00007ffb0b1fca76 (__TEXT,__text) non-external (was a private external) _BitSetClearEquals
00007ffb0b1fc924 (__TEXT,__text) non-external (was a private external) _BitSetClone
00007ffb0b1fc955 (__TEXT,__text) non-external (was a private external) _BitSetCloneWithAllocator
00007ffb0b1fc977 (__TEXT,__text) non-external (was a private external) _BitSetCopyEquals
00007ffb0b1fcdb3 (__TEXT,__text) non-external (was a private external) _BitSetEqualsTest
00007ffb0b1fcb59 (__TEXT,__text) non-external (was a private external) _BitSetFirstSetBit
00007ffb0b1fc9d7 (__TEXT,__text) non-external (was a private external) _BitSetFree
00007ffb0b1fca05 (__TEXT,__text) non-external (was a private external) _BitSetGetEquals
00007ffb0b1fc9fc (__TEXT,__text) non-external (was a private external) _BitSetGetSizeInBits
00007ffb0b1fcbc2 (__TEXT,__text) non-external (was a private external) _BitSetLastSetBit
00007ffb0b1fc6ee (__TEXT,__text) non-external (was a private external) _BitSetNew
00007ffb0b1fc774 (__TEXT,__text) non-external (was a private external) _BitSetNewWithAllocator
00007ffb0b1fcb68 (__TEXT,__text) non-external (was a private external) _BitSetNextSetBit
00007ffb0b1fcc17 (__TEXT,__text) non-external (was a private external) _BitSetOr
00007ffb0b1fcd53 (__TEXT,__text) non-external (was a private external) _BitSetOrEquals
00007ffb0b1fcbcf (__TEXT,__text) non-external (was a private external) _BitSetPreviousSetBit
00007ffb0b1fca3a (__TEXT,__text) non-external (was a private external) _BitSetSetEquals
00007ffb0b1fcab2 (__TEXT,__text) non-external (was a private external) _BitSetSetRangeEquals
00007ffb0b1fc853 (__TEXT,__text) non-external (was a private external) _BitSetSetRangeEqualsInternal
00007ffb0b1fcaf0 (__TEXT,__text) non-external (was a private external) _BitSetSetSizeEquals
00007ffb0b2075d2 (__TEXT,__text) non-external (was a private external) _BlockAdd
00007ffb0b207f53 (__TEXT,__text) non-external (was a private external) _BlockAddSuccessor
00007ffb0b207699 (__TEXT,__text) non-external (was a private external) _BlockFree
00007ffb0b207990 (__TEXT,__text) non-external (was a private external) _Blockify
00007ffb0b207fd8 (__TEXT,__text) non-external (was a private external) _BlocksFree
00007ffb0b204e00 (__TEXT,__text) non-external (was a private external) _BuildGenKill
00007ffb0b205024 (__TEXT,__text) non-external (was a private external) _BuildInterferenceSets
00007ffb0b204f3a (__TEXT,__text) non-external (was a private external) _BuildLiveOut
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
00007ffb0b1b79c5 (__TEXT,__text) non-external _CPPelse
00007ffb0b1b84c7 (__TEXT,__text) non-external _CPPerror
00007ffb0b1b868f (__TEXT,__text) non-external _CPPextension
00007ffb0b1b7c25 (__TEXT,__text) non-external _CPPif
00007ffb0b1b7ce5 (__TEXT,__text) non-external _CPPifdef
00007ffb0b1b7e1a (__TEXT,__text) non-external _CPPinclude
00007ffb0b1b8085 (__TEXT,__text) non-external _CPPline
00007ffb0b1b8236 (__TEXT,__text) non-external _CPPpragma
00007ffb0b1b8437 (__TEXT,__text) non-external _CPPundef
00007ffb0b1b8591 (__TEXT,__text) non-external _CPPversion
00007ffb0b211879 (__TEXT,__text) non-external _CheckRemoveAvailableCopyTable
00007ffb0b210002 (__TEXT,__text) non-external _ClearDestedOpRegisters
00007ffb0b211838 (__TEXT,__text) non-external _ClearJumpTable
00007ffb0b20ffa1 (__TEXT,__text) non-external _ClearRegisterState
00007ffb0b20d9a4 (__TEXT,__text) non-external (was a private external) _ConstantPropagateFold
00007ffb0b2057f3 (__TEXT,__text) non-external (was a private external) _DeadCodeEliminationSimple
00007ffb0b20dc86 (__TEXT,__text) non-external (was a private external) _DecomposeMatrixOps
00007ffb0b209410 (__TEXT,__text) non-external (was a private external) _DetectConstantLoopsSimple
00007ffb0b19f680 (__TEXT,__text) non-external (was a private external) _DstSwizzleMask
00007ffb0b20b143 (__TEXT,__text) non-external _EmulateOp
00007ffb0b20ff61 (__TEXT,__text) non-external _EmulationContext_PopRegisters
00007ffb0b20ff20 (__TEXT,__text) non-external _EmulationContext_PushRegisters
00007ffb0b1b6c14 (__TEXT,__text) non-external _FindHashLoc
00007ffb0b211b4f (__TEXT,__text) non-external _FindMatchingAvailableCopy
00007ffb0b19df70 (__TEXT,__text) non-external (was a private external) _FinishType
00007ffb0b20828a (__TEXT,__text) non-external (was a private external) _FlattenIf
00007ffb0b208101 (__TEXT,__text) non-external (was a private external) _FlattenIfs
00007ffb0b1b6bab (__TEXT,__text) non-external (was a private external) _FreeAtomTable
