00000001ef461980 (__TEXT,__const) non-external _SHA256_K
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001ef453360 (__TEXT,__text) non-external _alone_decode
00000001ef453610 (__TEXT,__text) non-external _alone_decoder_end
00000001ef453650 (__TEXT,__text) non-external _alone_decoder_memconfig
00000001ef450fec (__TEXT,__text) non-external _alone_encode
00000001ef451120 (__TEXT,__text) non-external _alone_encoder_end
00000001ef450e78 (__TEXT,__text) non-external _alone_encoder_init
00000001ef45d4ac (__TEXT,__text) non-external _arm_code
00000001ef45d584 (__TEXT,__text) non-external _armthumb_code
00000001ef453700 (__TEXT,__text) non-external _auto_decode
00000001ef45385c (__TEXT,__text) non-external _auto_decoder_end
00000001ef45389c (__TEXT,__text) non-external _auto_decoder_get_check
00000001ef44e95c (__TEXT,__text) non-external _auto_decoder_init
00000001ef4538b4 (__TEXT,__text) non-external _auto_decoder_memconfig
00000001ef44e60c (__TEXT,__text) non-external _block_decode
00000001ef453bbc (__TEXT,__text) non-external _block_decoder_end
00000001ef451768 (__TEXT,__text) non-external _block_encode
00000001ef451960 (__TEXT,__text) non-external _block_encoder_end
00000001ef453008 (__TEXT,__text) non-external _block_encoder_init
00000001ef4519a0 (__TEXT,__text) non-external _block_encoder_update
00000001ef4578bc (__TEXT,__text) non-external _bt_find_func
00000001ef457a8c (__TEXT,__text) non-external _bt_skip_func
                 (undefined) external _bzero (from libSystem)
00000001ef45cdc0 (__TEXT,__text) non-external _copy_or_code
00000001ef44e834 (__TEXT,__text) non-external _decode_buffer
00000001ef4540b0 (__TEXT,__text) non-external _decoder_find
0000000207385088 (__AUTH_CONST,__const) non-external _decoders
00000001ef45c670 (__TEXT,__text) non-external _delta_coder_end
00000001ef45c894 (__TEXT,__text) non-external _delta_decode
00000001ef45c700 (__TEXT,__text) non-external _delta_encode
00000001ef45c830 (__TEXT,__text) non-external _delta_encoder_update
00000001ef451f3c (__TEXT,__text) non-external _encoder_find
0000000207384e90 (__AUTH_CONST,__const) non-external _encoders
00000001ef45d820 (__TEXT,__const) non-external _features
                 (undefined) external _free (from libSystem)
00000001ef453e3c (__TEXT,__text) non-external _free_properties
00000001ef45b674 (__TEXT,__text) non-external _get_literal_price
00000001ef454a34 (__TEXT,__text) non-external _hash_append
00000001ef457380 (__TEXT,__text) non-external _hc_find_func
