00007fff780101e4 (__TEXT,__text) non-external _Done_iODBC
00007fff7802e220 (__TEXT,__const) non-external _FunctionNumbers
00007fff7802cf6a (__TEXT,__text) non-external _GetPrivateProfileString
00007fff780100c6 (__TEXT,__text) non-external _Init_iODBC
00007fff86945cac (__DATA,__common) non-external _ODBCSharedTraceFlag
00007fff7800e75d (__TEXT,__text) external _SQLAllocConnect
00007fff7800e62c (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007fff78010051 (__TEXT,__text) external _SQLAllocEnv
00007fff7800fea2 (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007fff7801a75c (__TEXT,__text) external _SQLAllocHandle
00007fff7801a851 (__TEXT,__text) non-external _SQLAllocHandleStd
00007fff7801a4c0 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007fff7801318d (__TEXT,__text) external _SQLAllocStmt
00007fff78012bad (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007fff78018381 (__TEXT,__text) external _SQLBindCol
00007fff78020857 (__TEXT,__text) external _SQLBindParam
00007fff78017654 (__TEXT,__text) external _SQLBindParameter
00007fff7800b514 (__TEXT,__text) external _SQLBrowseConnect
00007fff7800b67f (__TEXT,__text) external _SQLBrowseConnectA
00007fff7800b7ea (__TEXT,__text) external _SQLBrowseConnectW
00007fff7800aecc (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007fff7802032d (__TEXT,__text) external _SQLBulkOperations
00007fff78014128 (__TEXT,__text) external _SQLCancel
00007fff78020883 (__TEXT,__text) external _SQLCloseCursor
00007fff7801fd34 (__TEXT,__text) external _SQLColAttribute
00007fff7801fef5 (__TEXT,__text) external _SQLColAttributeA
00007fff780200b6 (__TEXT,__text) external _SQLColAttributeW
00007fff7801f566 (__TEXT,__text) non-external _SQLColAttribute_Internal
00007fff78019f7b (__TEXT,__text) external _SQLColAttributes
00007fff7801a13c (__TEXT,__text) external _SQLColAttributesA
00007fff7801a2fd (__TEXT,__text) external _SQLColAttributesW
00007fff78019abb (__TEXT,__text) non-external _SQLColAttributes_Internal
00007fff7800386f (__TEXT,__text) external _SQLColumnPrivileges
00007fff78003a49 (__TEXT,__text) external _SQLColumnPrivilegesA
00007fff78003c23 (__TEXT,__text) external _SQLColumnPrivilegesW
00007fff780035bf (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007fff780040ad (__TEXT,__text) external _SQLColumns
00007fff78004287 (__TEXT,__text) external _SQLColumnsA
00007fff78004461 (__TEXT,__text) external _SQLColumnsW
00007fff78003dfd (__TEXT,__text) non-external _SQLColumns_Internal
00007fff78008129 (__TEXT,__text) external _SQLConnect
00007fff78008ac0 (__TEXT,__text) external _SQLConnectA
00007fff78008c4c (__TEXT,__text) external _SQLConnectW
00007fff780082b5 (__TEXT,__text) non-external _SQLConnect_Internal
00007fff7802dcda (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007fff7801f3e4 (__TEXT,__text) external _SQLCopyDesc
00007fff78014c3c (__TEXT,__text) external _SQLDataSources
00007fff78014d62 (__TEXT,__text) external _SQLDataSourcesA
00007fff78014e88 (__TEXT,__text) external _SQLDataSourcesW
00007fff780147e0 (__TEXT,__text) non-external _SQLDataSources_Internal
00007fff86945c30 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007fff86945c50 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007fff86945c58 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007fff780194eb (__TEXT,__text) external _SQLDescribeCol
00007fff780196db (__TEXT,__text) external _SQLDescribeColA
00007fff780198cb (__TEXT,__text) external _SQLDescribeColW
00007fff78019240 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007fff7800d49d (__TEXT,__text) external _SQLDescribeParam
00007fff7800b955 (__TEXT,__text) external _SQLDisconnect
00007fff7800aa31 (__TEXT,__text) external _SQLDriverConnect
00007fff7800abba (__TEXT,__text) external _SQLDriverConnectA
00007fff7800ad43 (__TEXT,__text) external _SQLDriverConnectW
00007fff78008dd8 (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007fff7802dcfd (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007fff7802dd20 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007fff780154ec (__TEXT,__text) external _SQLDrivers
00007fff78015612 (__TEXT,__text) external _SQLDriversA
00007fff78015738 (__TEXT,__text) external _SQLDriversW
00007fff780150d3 (__TEXT,__text) non-external _SQLDrivers_Internal
00007fff86945c34 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007fff86945c60 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007fff86945c68 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007fff78020277 (__TEXT,__text) external _SQLEndTran
00007fff78010b34 (__TEXT,__text) external _SQLError
00007fff78010c19 (__TEXT,__text) external _SQLErrorA
00007fff78010cfe (__TEXT,__text) external _SQLErrorW
00007fff7800c9b8 (__TEXT,__text) external _SQLExecDirect
00007fff7800cafd (__TEXT,__text) external _SQLExecDirectA
00007fff7800cc42 (__TEXT,__text) external _SQLExecDirectW
00007fff7800c76c (__TEXT,__text) non-external _SQLExecDirect_Internal
00007fff7800c4a4 (__TEXT,__text) external _SQLExecute
00007fff7800db9e (__TEXT,__text) external _SQLExtendedFetch
00007fff7800d900 (__TEXT,__text) external _SQLFetch
00007fff78020547 (__TEXT,__text) external _SQLFetchScroll
00007fff7800d744 (__TEXT,__text) non-external _SQLFetch_Internal
00007fff780049bd (__TEXT,__text) external _SQLForeignKeys
00007fff78004be2 (__TEXT,__text) external _SQLForeignKeysA
00007fff78004e07 (__TEXT,__text) external _SQLForeignKeysW
00007fff7800463b (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007fff7800e8a2 (__TEXT,__text) external _SQLFreeConnect
00007fff7800e801 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007fff78010164 (__TEXT,__text) external _SQLFreeEnv
00007fff780100f3 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007fff7801a949 (__TEXT,__text) external _SQLFreeHandle
00007fff7801360a (__TEXT,__text) external _SQLFreeStmt
00007fff780133bb (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007fff7802a907 (__TEXT,__text) non-external _SQLGetConfigMode
00007fff7801d63d (__TEXT,__text) external _SQLGetConnectAttr
00007fff7801db1b (__TEXT,__text) external _SQLGetConnectAttrA
00007fff7801dc73 (__TEXT,__text) external _SQLGetConnectAttrW
00007fff7801d795 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007fff7800f773 (__TEXT,__text) external _SQLGetConnectOption
00007fff7800f89c (__TEXT,__text) external _SQLGetConnectOptionA
00007fff7800f9c5 (__TEXT,__text) external _SQLGetConnectOptionW
00007fff7801896d (__TEXT,__text) external _SQLGetCursorName
00007fff78018ac8 (__TEXT,__text) external _SQLGetCursorNameA
00007fff78018c23 (__TEXT,__text) external _SQLGetCursorNameW
00007fff78018755 (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007fff7800dd21 (__TEXT,__text) external _SQLGetData
00007fff7801e049 (__TEXT,__text) external _SQLGetDescField
00007fff7801e1c3 (__TEXT,__text) external _SQLGetDescFieldA
00007fff7801e33d (__TEXT,__text) external _SQLGetDescFieldW
00007fff7801ddcb (__TEXT,__text) non-external _SQLGetDescField_Internal
00007fff7801ec86 (__TEXT,__text) external _SQLGetDescRec
00007fff7801ee28 (__TEXT,__text) external _SQLGetDescRecA
00007fff7801efca (__TEXT,__text) external _SQLGetDescRecW
00007fff7801ea7d (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007fff780128ec (__TEXT,__text) external _SQLGetDiagField
00007fff780129d7 (__TEXT,__text) external _SQLGetDiagFieldA
00007fff78012ac2 (__TEXT,__text) external _SQLGetDiagFieldW
00007fff7801180e (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007fff78011538 (__TEXT,__text) external _SQLGetDiagRec
00007fff7801162a (__TEXT,__text) external _SQLGetDiagRecA
00007fff7801171c (__TEXT,__text) external _SQLGetDiagRecW
00007fff78010de3 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007fff7801b050 (__TEXT,__text) external _SQLGetEnvAttr
00007fff78016476 (__TEXT,__text) external _SQLGetFunctions
00007fff78016050 (__TEXT,__text) external _SQLGetInfo
00007fff780161b2 (__TEXT,__text) external _SQLGetInfoA
00007fff78016314 (__TEXT,__text) external _SQLGetInfoW
00007fff78015983 (__TEXT,__text) non-external _SQLGetInfo_Internal
00007fff7802d6cd (__TEXT,__text) non-external _SQLGetKeywordValue
00007fff7802d706 (__TEXT,__text) non-external _SQLGetKeywordValueW
00007fff7802d106 (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007fff7802d375 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007fff7801ba58 (__TEXT,__text) external _SQLGetStmtAttr
00007fff7801bbc3 (__TEXT,__text) external _SQLGetStmtAttrA
00007fff7801bd2e (__TEXT,__text) external _SQLGetStmtAttrW
00007fff7801b21f (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007fff78013ea2 (__TEXT,__text) external _SQLGetStmtOption
00007fff78013fe5 (__TEXT,__text) external _SQLGetStmtOptionA
00007fff78013caa (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007fff780018b9 (__TEXT,__text) external _SQLGetTypeInfo
00007fff780019e4 (__TEXT,__text) external _SQLGetTypeInfoA
