00007fff70a19d00 (__TEXT,__const) external _BinaryFrame_fields
00007fff70a19cf8 (__TEXT,__const) external _EmbeddedSensingProtocolsVersionNumber
00007fff70a19cb0 (__TEXT,__const) external _EmbeddedSensingProtocolsVersionString
00007fff8d2ebcb0 (__DATA_CONST,__const) non-external _PB_DECODERS
00007fff8d2ebd00 (__DATA_CONST,__const) non-external _PB_ENCODERS
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007fff85fc0d48 (__DATA,__data) non-external __dyld_private
00007fff70a17d7e (__TEXT,__text) non-external _buf_read
00007fff70a190f9 (__TEXT,__text) non-external _buf_write
00007fff70a18453 (__TEXT,__text) non-external _decode_field
00007fff70a1922e (__TEXT,__text) non-external _encode_field
00007fff70a18a97 (__TEXT,__text) non-external _iter_from_extension
                 (undefined) external _memcpy (from libSystem)
00007fff70a1985e (__TEXT,__text) non-external _pb_check_proto3_default_value
00007fff70a18140 (__TEXT,__text) external _pb_close_string_substream
00007fff70a18d62 (__TEXT,__text) non-external _pb_dec_bytes
00007fff70a18d48 (__TEXT,__text) non-external _pb_dec_fixed32
00007fff70a18d55 (__TEXT,__text) non-external _pb_dec_fixed64
00007fff70a18f55 (__TEXT,__text) non-external _pb_dec_fixed_length_bytes
00007fff70a18df9 (__TEXT,__text) non-external _pb_dec_string
00007fff70a18ea5 (__TEXT,__text) non-external _pb_dec_submessage
00007fff70a18c6c (__TEXT,__text) non-external _pb_dec_svarint
00007fff70a18ba8 (__TEXT,__text) non-external _pb_dec_uvarint
00007fff70a18ae7 (__TEXT,__text) non-external _pb_dec_varint
00007fff70a18834 (__TEXT,__text) external _pb_decode
00007fff70a18920 (__TEXT,__text) external _pb_decode_delimited
00007fff70a188a5 (__TEXT,__text) external _pb_decode_delimited_noinit
00007fff70a18a15 (__TEXT,__text) external _pb_decode_fixed32
00007fff70a18a42 (__TEXT,__text) external _pb_decode_fixed64
00007fff70a1818b (__TEXT,__text) external _pb_decode_noinit
00007fff70a189a6 (__TEXT,__text) external _pb_decode_nullterminated
00007fff70a189dc (__TEXT,__text) external _pb_decode_svarint
00007fff70a17f97 (__TEXT,__text) external _pb_decode_tag
00007fff70a17ec8 (__TEXT,__text) external _pb_decode_varint
00007fff70a17dd0 (__TEXT,__text) external _pb_decode_varint32
00007fff70a17ddc (__TEXT,__text) non-external _pb_decode_varint32_eof
00007fff70a19ae9 (__TEXT,__text) non-external _pb_enc_bytes
00007fff70a19abc (__TEXT,__text) non-external _pb_enc_fixed32
00007fff70a19adc (__TEXT,__text) non-external _pb_enc_fixed64
00007fff70a19c28 (__TEXT,__text) non-external _pb_enc_fixed_length_bytes
00007fff70a19b81 (__TEXT,__text) non-external _pb_enc_string
00007fff70a19bfb (__TEXT,__text) non-external _pb_enc_submessage
00007fff70a19a3c (__TEXT,__text) non-external _pb_enc_svarint
00007fff70a199c8 (__TEXT,__text) non-external _pb_enc_uvarint
00007fff70a19954 (__TEXT,__text) non-external _pb_enc_varint
00007fff70a19186 (__TEXT,__text) external _pb_encode
00007fff70a19554 (__TEXT,__text) external _pb_encode_delimited
00007fff70a19755 (__TEXT,__text) external _pb_encode_fixed32
00007fff70a19775 (__TEXT,__text) external _pb_encode_fixed64
00007fff70a1965b (__TEXT,__text) external _pb_encode_nullterminated
00007fff70a1981a (__TEXT,__text) external _pb_encode_string
00007fff70a1955e (__TEXT,__text) external _pb_encode_submessage
00007fff70a19740 (__TEXT,__text) external _pb_encode_svarint
00007fff70a197ba (__TEXT,__text) external _pb_encode_tag
00007fff70a197cf (__TEXT,__text) external _pb_encode_tag_for_field
00007fff70a196cc (__TEXT,__text) external _pb_encode_varint
00007fff70a17b78 (__TEXT,__text) external _pb_field_iter_begin
00007fff70a17c64 (__TEXT,__text) external _pb_field_iter_find
00007fff70a17bad (__TEXT,__text) external _pb_field_iter_next
00007fff70a18feb (__TEXT,__text) non-external _pb_field_set_to_default
00007fff70a1968d (__TEXT,__text) external _pb_get_encoded_size
00007fff70a17dad (__TEXT,__text) external _pb_istream_from_buffer
00007fff70a180c4 (__TEXT,__text) external _pb_make_string_substream
00007fff70a1886a (__TEXT,__text) non-external _pb_message_set_to_defaults
00007fff70a190d4 (__TEXT,__text) external _pb_ostream_from_buffer
00007fff70a17cb0 (__TEXT,__text) external _pb_read
00007fff70a17f42 (__TEXT,__text) non-external _pb_readbyte
00007fff70a17ff7 (__TEXT,__text) external _pb_skip_field
00007fff70a19123 (__TEXT,__text) external _pb_write
                 (undefined) external dyld_stub_binder (from libSystem)
