00000001827d78e8 (__TEXT,__text) external _CreateLSTMBreakEngine
00000001827d78ac (__TEXT,__text) external _CreateLSTMData
00000001827d7758 (__TEXT,__text) external _CreateLSTMDataForScript
00000001827d7a9c (__TEXT,__text) external _DeleteLSTMData
00000001827d7ae8 (__TEXT,__text) external _LSTMDataName
00000001827b6850 (__TEXT,__text) external _T_CString_int64ToString
00000001827b6780 (__TEXT,__text) external _T_CString_integerToString
00000001827b6924 (__TEXT,__text) external _T_CString_stringToInteger
00000001827b6728 (__TEXT,__text) external _T_CString_toLowerCase
00000001827b6754 (__TEXT,__text) external _T_CString_toUpperCase
00000001828230b4 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
0000000182822e10 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
0000000182822ce0 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
0000000182822f58 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
000000018282362c (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00000001828235d4 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
0000000182822e0c (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00000001828235f8 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
                 (undefined) external __DefaultRuneLocale (from libSystem)
0000000182870ba4 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00000001829e3858 (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
00000001827adc04 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
00000001827adb20 (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
00000001827adcbc (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
00000001827adcb4 (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
00000001827adb1c (__TEXT,__text) external __ZN3icu10AppendableD0Ev
00000001827adb18 (__TEXT,__text) external __ZN3icu10AppendableD1Ev
00000001827adb14 (__TEXT,__text) external __ZN3icu10AppendableD2Ev
000000018289c3a8 (__TEXT,__text) external __ZN3icu10CECalendar6ceToJDEiiii
000000018289c4e8 (__TEXT,__text) external __ZN3icu10CECalendar6jdToCEEiiRiS1_S1_
000000018289c254 (__TEXT,__text) external __ZN3icu10CECalendarC2ERKNS_6LocaleER10UErrorCode
000000018289c2d0 (__TEXT,__text) external __ZN3icu10CECalendarC2ERKS0_
000000018289c30c (__TEXT,__text) external __ZN3icu10CECalendarD0Ev
000000018289c308 (__TEXT,__text) external __ZN3icu10CECalendarD1Ev
000000018289c304 (__TEXT,__text) external __ZN3icu10CECalendarD2Ev
000000018289c310 (__TEXT,__text) external __ZN3icu10CECalendaraSERKS0_
00000001827b5f8c (__TEXT,__text) external __ZN3icu10CharString12appendNumberEiR10UErrorCode
00000001827b6220 (__TEXT,__text) external __ZN3icu10CharString14appendPathPartENS_11StringPieceER10UErrorCode
00000001827b5b3c (__TEXT,__text) external __ZN3icu10CharString14ensureCapacityEiiR10UErrorCode
00000001827b608c (__TEXT,__text) external __ZN3icu10CharString15getAppendBufferEiiRiR10UErrorCode
00000001827b6170 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsEPKDsiR10UErrorCode
00000001827b6124 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsERKNS_13UnicodeStringER10UErrorCode
00000001827b62b0 (__TEXT,__text) external __ZN3icu10CharString27ensureEndsWithFileSeparatorER10UErrorCode
00000001827b5de0 (__TEXT,__text) external __ZN3icu10CharString6appendEPKciR10UErrorCode
00000001827b5d80 (__TEXT,__text) external __ZN3icu10CharString6appendEcR10UErrorCode
00000001827b5ad0 (__TEXT,__text) external __ZN3icu10CharString8copyFromERKS0_R10UErrorCode
00000001827b5d60 (__TEXT,__text) external __ZN3icu10CharString8truncateEi
00000001827b5920 (__TEXT,__text) external __ZN3icu10CharStringC1EOS0_
00000001827b58a0 (__TEXT,__text) external __ZN3icu10CharStringC2EOS0_
00000001827b5924 (__TEXT,__text) external __ZN3icu10CharStringaSEOS0_
00000001828c45e8 (__TEXT,__text) external __ZN3icu10DateFormat10setContextE15UDisplayContextR10UErrorCode
00000001828c4470 (__TEXT,__text) external __ZN3icu10DateFormat10setLenientEa
00000001828c4220 (__TEXT,__text) external __ZN3icu10DateFormat11setCalendarERKNS_8CalendarE
00000001828c4450 (__TEXT,__text) external __ZN3icu10DateFormat11setTimeZoneERKNS_8TimeZoneE
00000001828c41cc (__TEXT,__text) external __ZN3icu10DateFormat13adoptCalendarEPNS_8CalendarE
00000001828c4440 (__TEXT,__text) external __ZN3icu10DateFormat13adoptTimeZoneEPNS_8TimeZoneE
00000001828c3cc4 (__TEXT,__text) external __ZN3icu10DateFormat14createInstanceEv
00000001828c3cf8 (__TEXT,__text) external __ZN3icu10DateFormat14getBestPatternERKNS_6LocaleERKNS_13UnicodeStringER10UErrorCode
00000001828c43a8 (__TEXT,__text) external __ZN3icu10DateFormat15setNumberFormatERKNS_12NumberFormatE
00000001828c42f0 (__TEXT,__text) external __ZN3icu10DateFormat17adoptNumberFormatEPNS_12NumberFormatE
00000001828c3b4c (__TEXT,__text) external __ZN3icu10DateFormat18createDateInstanceENS0_6EStyleERKNS_6LocaleE
00000001828c3b28 (__TEXT,__text) external __ZN3icu10DateFormat18createTimeInstanceENS0_6EStyleERKNS_6LocaleE
00000001828c45c8 (__TEXT,__text) external __ZN3icu10DateFormat18setCalendarLenientEa
00000001828c41c8 (__TEXT,__text) external __ZN3icu10DateFormat19getAvailableLocalesERi
00000001828c464c (__TEXT,__text) external __ZN3icu10DateFormat19setBooleanAttributeE27UDateFormatBooleanAttributeaR10UErrorCode
00000001828c3b34 (__TEXT,__text) external __ZN3icu10DateFormat22createDateTimeInstanceENS0_6EStyleES1_RKNS_6LocaleE
00000001828c3ee4 (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonEPNS_8CalendarERKNS_13UnicodeStringERKNS_6LocaleER10UErrorCode
00000001828c4184 (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonERKNS_13UnicodeStringER10UErrorCode
00000001828c4078 (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonERKNS_13UnicodeStringERKNS_6LocaleER10UErrorCode
00000001828c3b64 (__TEXT,__text) external __ZN3icu10DateFormat6createENS0_6EStyleES1_RKNS_6LocaleE
00000001828c32dc (__TEXT,__text) external __ZN3icu10DateFormatC2ERKS0_
00000001828c329c (__TEXT,__text) external __ZN3icu10DateFormatC2Ev
00000001828c34d8 (__TEXT,__text) external __ZN3icu10DateFormatD0Ev
00000001828c34d4 (__TEXT,__text) external __ZN3icu10DateFormatD1Ev
00000001828c342c (__TEXT,__text) external __ZN3icu10DateFormatD2Ev
00000001828c333c (__TEXT,__text) external __ZN3icu10DateFormataSERKS0_
00000001828fe9b4 (__TEXT,__text) external __ZN3icu10GenderInfo11getInstanceERKNS_6LocaleER10UErrorCode
00000001828feb24 (__TEXT,__text) external __ZN3icu10GenderInfo12loadInstanceERKNS_6LocaleER10UErrorCode
00000001828fee74 (__TEXT,__text) external __ZN3icu10GenderInfo18getNeutralInstanceEv
00000001828fee90 (__TEXT,__text) external __ZN3icu10GenderInfo21getMaleTaintsInstanceEv
00000001828fee80 (__TEXT,__text) external __ZN3icu10GenderInfo23getMixedNeutralInstanceEv
00000001828fe944 (__TEXT,__text) external __ZN3icu10GenderInfoC1Ev
00000001828fe968 (__TEXT,__text) external __ZN3icu10GenderInfoC2Ev
00000001828fe98c (__TEXT,__text) external __ZN3icu10GenderInfoD0Ev
00000001828fe964 (__TEXT,__text) external __ZN3icu10GenderInfoD1Ev
00000001828fe988 (__TEXT,__text) external __ZN3icu10GenderInfoD2Ev
00000001827e5118 (__TEXT,__text) external __ZN3icu10Normalizer10quickCheckERKNS_13UnicodeStringE18UNormalizationModeiR10UErrorCode
00000001827e5b24 (__TEXT,__text) external __ZN3icu10Normalizer11clearBufferEv
00000001827e5310 (__TEXT,__text) external __ZN3icu10Normalizer11concatenateERKNS_13UnicodeStringES3_RS1_18UNormalizationModeiR10UErrorCode
00000001827e5214 (__TEXT,__text) external __ZN3icu10Normalizer12isNormalizedERKNS_13UnicodeStringE18UNormalizationModeiR10UErrorCode
00000001827e5b44 (__TEXT,__text) external __ZN3icu10Normalizer12setIndexOnlyEi
00000001827e5558 (__TEXT,__text) external __ZN3icu10Normalizer13nextNormalizeEv
00000001827e4918 (__TEXT,__text) external __ZN3icu10Normalizer16getStaticClassIDEv
00000001827e5890 (__TEXT,__text) external __ZN3icu10Normalizer17previousNormalizeEv
00000001827e49c8 (__TEXT,__text) external __ZN3icu10Normalizer4initEv
00000001827e5c38 (__TEXT,__text) external __ZN3icu10Normalizer4lastEv
00000001827e57ac (__TEXT,__text) external __ZN3icu10Normalizer4nextEv
00000001827e5bb4 (__TEXT,__text) external __ZN3icu10Normalizer5firstEv
00000001827e5ab4 (__TEXT,__text) external __ZN3icu10Normalizer5resetEv
00000001827e50f8 (__TEXT,__text) external __ZN3icu10Normalizer7composeERKNS_13UnicodeStringEaiRS1_R10UErrorCode
00000001827e54e0 (__TEXT,__text) external __ZN3icu10Normalizer7currentEv
00000001827e6028 (__TEXT,__text) external __ZN3icu10Normalizer7getTextERNS_13UnicodeStringE
00000001827e5d08 (__TEXT,__text) external __ZN3icu10Normalizer7setModeE18UNormalizationMode
00000001827e5f1c (__TEXT,__text) external __ZN3icu10Normalizer7setTextENS_14ConstChar16PtrEiR10UErrorCode
00000001827e5d48 (__TEXT,__text) external __ZN3icu10Normalizer7setTextERKNS_13UnicodeStringER10UErrorCode
00000001827e5e28 (__TEXT,__text) external __ZN3icu10Normalizer7setTextERKNS_17CharacterIteratorER10UErrorCode
00000001827e5828 (__TEXT,__text) external __ZN3icu10Normalizer8previousEv
00000001827e5108 (__TEXT,__text) external __ZN3icu10Normalizer9decomposeERKNS_13UnicodeStringEaiRS1_R10UErrorCode
00000001827e4f44 (__TEXT,__text) external __ZN3icu10Normalizer9normalizeERKNS_13UnicodeStringE18UNormalizationModeiRS1_R10UErrorCode
00000001827e5d18 (__TEXT,__text) external __ZN3icu10Normalizer9setOptionEia
00000001827e4b64 (__TEXT,__text) external __ZN3icu10NormalizerC1ENS_14ConstChar16PtrEi18UNormalizationMode
00000001827e4a9c (__TEXT,__text) external __ZN3icu10NormalizerC1ERKNS_13UnicodeStringE18UNormalizationMode
00000001827e4c10 (__TEXT,__text) external __ZN3icu10NormalizerC1ERKNS_17CharacterIteratorE18UNormalizationMode
00000001827e4cb4 (__TEXT,__text) external __ZN3icu10NormalizerC1ERKS0_
00000001827e4aa0 (__TEXT,__text) external __ZN3icu10NormalizerC2ENS_14ConstChar16PtrEi18UNormalizationMode
00000001827e4930 (__TEXT,__text) external __ZN3icu10NormalizerC2ERKNS_13UnicodeStringE18UNormalizationMode
00000001827e4b68 (__TEXT,__text) external __ZN3icu10NormalizerC2ERKNS_17CharacterIteratorE18UNormalizationMode
00000001827e4c14 (__TEXT,__text) external __ZN3icu10NormalizerC2ERKS0_
00000001827e4d6c (__TEXT,__text) external __ZN3icu10NormalizerD0Ev
00000001827e4d68 (__TEXT,__text) external __ZN3icu10NormalizerD1Ev
00000001827e4cb8 (__TEXT,__text) external __ZN3icu10NormalizerD2Ev
0000000182815bd4 (__TEXT,__text) external __ZN3icu10UCharsTrie10branchNextEPKDsii
00000001828161c0 (__TEXT,__text) external __ZN3icu10UCharsTrie15findUniqueValueEPKDsaRi
0000000182815b5c (__TEXT,__text) external __ZN3icu10UCharsTrie16nextForCodePointEi
0000000182815a3c (__TEXT,__text) external __ZN3icu10UCharsTrie17firstForCodePointEi
0000000182816410 (__TEXT,__text) external __ZN3icu10UCharsTrie19getNextBranchUCharsEPKDsiRNS_10AppendableE
0000000182816028 (__TEXT,__text) external __ZN3icu10UCharsTrie25findUniqueValueFromBranchEPKDsiaRi
0000000182815e2c (__TEXT,__text) external __ZN3icu10UCharsTrie4nextENS_14ConstChar16PtrEi
0000000182815ae8 (__TEXT,__text) external __ZN3icu10UCharsTrie4nextEi
0000000182817e74 (__TEXT,__text) external __ZN3icu10UCharsTrie8Iterator10branchNextEPKDsiR10UErrorCode
0000000182817b2c (__TEXT,__text) external __ZN3icu10UCharsTrie8Iterator4nextER10UErrorCode
0000000182817a4c (__TEXT,__text) external __ZN3icu10UCharsTrie8Iterator5resetEv
00000001828178c8 (__TEXT,__text) external __ZN3icu10UCharsTrie8IteratorC1ENS_14ConstChar16PtrEiR10UErrorCode
00000001828179ec (__TEXT,__text) external __ZN3icu10UCharsTrie8IteratorC1ERKS0_iR10UErrorCode
0000000182817824 (__TEXT,__text) external __ZN3icu10UCharsTrie8IteratorC2ENS_14ConstChar16PtrEiR10UErrorCode
00000001828178cc (__TEXT,__text) external __ZN3icu10UCharsTrie8IteratorC2ERKS0_iR10UErrorCode
0000000182817a48 (__TEXT,__text) external __ZN3icu10UCharsTrie8IteratorD1Ev
00000001828179f0 (__TEXT,__text) external __ZN3icu10UCharsTrie8IteratorD2Ev
0000000182815d88 (__TEXT,__text) external __ZN3icu10UCharsTrie8nextImplEPKDsi
00000001828159d8 (__TEXT,__text) external __ZN3icu10UCharsTrieD1Ev
00000001828159ac (__TEXT,__text) external __ZN3icu10UCharsTrieD2Ev
00000001827bce18 (__TEXT,__text) external __ZN3icu10UStringSetD0Ev
00000001827bce14 (__TEXT,__text) external __ZN3icu10UStringSetD1Ev
00000001827bce10 (__TEXT,__text) external __ZN3icu10UStringSetD2Ev
0000000182858ff0 (__TEXT,__text) external __ZN3icu10UnicodeSet10complementERKNS_13UnicodeStringE
0000000182858f30 (__TEXT,__text) external __ZN3icu10UnicodeSet10complementEi
0000000182857b00 (__TEXT,__text) external __ZN3icu10UnicodeSet10complementEii
0000000182858f38 (__TEXT,__text) external __ZN3icu10UnicodeSet10complementEv
0000000182858780 (__TEXT,__text) external __ZN3icu10UnicodeSet10createFromERKNS_13UnicodeStringE
0000000182856754 (__TEXT,__text) external __ZN3icu10UnicodeSet10setPatternEPKDsi
0000000182856734 (__TEXT,__text) external __ZN3icu10UnicodeSet10setToBogusEv
000000018285c17c (__TEXT,__text) external __ZN3icu10UnicodeSet11applyFilterEPFaiPvES1_PKS0_R10UErrorCode
0000000182858dd8 (__TEXT,__text) external __ZN3icu10UnicodeSet11exclusiveOrEPKiia
0000000182856ec0 (__TEXT,__text) external __ZN3icu10UnicodeSet11getSingleCPERKNS_13UnicodeStringE
00000001828595ac (__TEXT,__text) external __ZN3icu10UnicodeSet11swapBuffersEv
00000001828595d0 (__TEXT,__text) external __ZN3icu10UnicodeSet12_appendToPatERNS_13UnicodeStringERKS1_a
