00007ff80ed074a7 (__TEXT,__text) non-external _Annihilate
00007ff80ed4e89a (__TEXT,__text) non-external _BlockSplitterAddSymbolCommand
00007ff80ed4e90e (__TEXT,__text) non-external _BlockSplitterAddSymbolDistance
00007ff80ed4e8d4 (__TEXT,__text) non-external _BlockSplitterAddSymbolLiteral
00007ff80ed4fd58 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00007ff80ed505a9 (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00007ff80ed4e948 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00007ff80ed072a0 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00007ff80ed2bc57 (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00007ff80ecf878c (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00007ff80ed08ac9 (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00007ff80ecf898f (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00007ff80ed4d264 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00007ff80ed4dc04 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00007ff80ecf8bfb (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00007ff80ed10c9c (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00007ff80ed20d2d (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00007ff80ed21a2a (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00007ff80ed20030 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00007ff80ed20435 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00007ff80ed21132 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00007ff80ed1f738 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00007ff80ed01120 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00007ff80ed02896 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00007ff80ed03e98 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00007ff80ed0549a (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
00007ff80ed01294 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00007ff80ed44258 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00007ff80ed455e2 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00007ff80ed45e73 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
00007ff80ed46704 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
