000000021fdf4ae8 (__TEXT,__text) external _LLVMExtraCreateBinary
000000021fdf4d84 (__TEXT,__text) external _LLVMExtraDisposeBinary
000000021fdf4aa0 (__TEXT,__text) external _LLVMExtraDisposeSharedModule
000000021fdf4f00 (__TEXT,__text) external _LLVMExtraGetSymbolImplAddress
000000021fdf50d0 (__TEXT,__text) external _LLVMExtraGetSymbolImplName
000000021fdf4fe8 (__TEXT,__text) external _LLVMExtraGetSymbolImplSize
000000021fdf4db0 (__TEXT,__text) external _LLVMExtraMachOUniversalBinaryCopyIRForArch
000000021fdf4a40 (__TEXT,__text) external _LLVMExtraMakeSharedModule
000000021fdf4998 (__TEXT,__text) external _MTLArchiveAddMember
000000021fdf4924 (__TEXT,__text) external _MTLArchiveCreate
000000021fdf4968 (__TEXT,__text) external _MTLArchiveDestroy
000000021fdf80a4 (__TEXT,__text) external _MTLArchiveGetAsObject
000000021fdf4a2c (__TEXT,__text) external _MTLArchiveGetMemberNo
000000021fdf4a10 (__TEXT,__text) external _MTLArchiveGetMembersCount
000000021fdf8130 (__TEXT,__text) external _MTLCreateScript
000000021fdf829c (__TEXT,__text) external _MTLDestroyScript
000000021fded784 (__TEXT,__text) external _MTLDowngradeAIRModule
000000021fdf0f2c (__TEXT,__text) external _MTLFunctionGroupCreate
000000021fdf0fe8 (__TEXT,__text) external _MTLFunctionGroupDestroy
000000021fdf1058 (__TEXT,__text) external _MTLFunctionGroupGetFunctionAtIndex
000000021fdf1050 (__TEXT,__text) external _MTLFunctionGroupGetFunctionsCount
000000021fdf103c (__TEXT,__text) external _MTLFunctionGroupGetName
000000021fdec848 (__TEXT,__text) external _MTLGPUArchiverAddDescriptor
000000021fdec730 (__TEXT,__text) external _MTLGPUArchiverAddPipeline
000000021fdece54 (__TEXT,__text) external _MTLGPUArchiverAddTool
000000021fdec618 (__TEXT,__text) external _MTLGPUArchiverAddUnit
000000021fded058 (__TEXT,__text) external _MTLGPUArchiverBuildToBuffer
000000021fded140 (__TEXT,__text) external _MTLGPUArchiverBuildToFD
000000021fdec05c (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriter
000000021fdec3b0 (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriterWithId
000000021fdec178 (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriter
000000021fdec4cc (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriterWithId
000000021fdebf40 (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriter
000000021fdec294 (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriterWithId
000000021fdec5e8 (__TEXT,__text) external _MTLGPUArchiverDestroy
000000021fded330 (__TEXT,__text) external _MTLGPUArchiverDumpStateToBuffer
000000021fded418 (__TEXT,__text) external _MTLGPUArchiverDumpStateToFD
000000021fded250 (__TEXT,__text) external _MTLGPUArchiverFlush
000000021fded55c (__TEXT,__text) external _MTLGPUArchiverFromId
000000021fdecf78 (__TEXT,__text) external _MTLGPUArchiverPackUnits
000000021fdecd6c (__TEXT,__text) external _MTLGPUArchiverSetActivePlatform
000000021fdecb5c (__TEXT,__text) external _MTLGPUArchiverSetInstallName
000000021fdecc68 (__TEXT,__text) external _MTLGPUArchiverSetTarget
000000021fdeca48 (__TEXT,__text) external _MTLGPUArchiverSetUnitHash
000000021fdec948 (__TEXT,__text) external _MTLGPUArchiverSetUnitReflection
000000021fded528 (__TEXT,__text) external _MTLGPUArchiverToId
000000021fdefb60 (__TEXT,__text) external _MTLGPUCompilerBuildFromSource
000000021fdefda0 (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToBuffer
000000021fdeffc4 (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToFD
000000021fdeee04 (__TEXT,__text) external _MTLGPUCompilerCompileFromSource
000000021fdef03c (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToBuffer
000000021fdef274 (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToFD
000000021fdedde0 (__TEXT,__text) external _MTLGPUCompilerCreate
000000021fdede20 (__TEXT,__text) external _MTLGPUCompilerDestroy
000000021fdf1504 (__TEXT,__text) external _MTLGPUCompilerDisableMeshEmulation
000000021fdf143c (__TEXT,__text) external _MTLGPUCompilerEnable16BitTextureCoordinateEmulation
000000021fdf1450 (__TEXT,__text) external _MTLGPUCompilerEnableBFloatEmulation
000000021fdf1464 (__TEXT,__text) external _MTLGPUCompilerEnableDegenerateVertexAmplificationEmulation
000000021fdf1478 (__TEXT,__text) external _MTLGPUCompilerEnableExternallyInitializedVariableSupport
000000021fdf148c (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBindingInDylibSupport
000000021fdf14a0 (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBuiltinInDylibSupport
000000021fdf14e4 (__TEXT,__text) external _MTLGPUCompilerEnableMeshFragmentEmulation
000000021fdf14b4 (__TEXT,__text) external _MTLGPUCompilerEnableMeshKernelEmulation
000000021fdf14cc (__TEXT,__text) external _MTLGPUCompilerEnableMeshVertexEmulation
000000021fdf14f4 (__TEXT,__text) external _MTLGPUCompilerEnableMeshVisibleOrDylibEmulation
000000021fdf1664 (__TEXT,__text) external _MTLGPUCompilerEnableRaytracingEmulation
000000021fdf1698 (__TEXT,__text) external _MTLGPUCompilerEnableResourcePatchingInstrumentation
000000021fdf16ac (__TEXT,__text) external _MTLGPUCompilerEnableResourceUsageInstrumentation
000000021fdf16c0 (__TEXT,__text) external _MTLGPUCompilerEnableTLSEmulation
000000021fdf16d4 (__TEXT,__text) external _MTLGPUCompilerHandleSPIs
000000021fdef4c4 (__TEXT,__text) external _MTLGPUCompilerLink
000000021fdef6f4 (__TEXT,__text) external _MTLGPUCompilerLinkToBuffer
000000021fdef918 (__TEXT,__text) external _MTLGPUCompilerLinkToFD
000000021fdf0b18 (__TEXT,__text) external _MTLGPUCompilerLoadModules
000000021fdf0c70 (__TEXT,__text) external _MTLGPUCompilerLoadModulesToBuffer
000000021fdf0dc8 (__TEXT,__text) external _MTLGPUCompilerLoadModulesToFD
000000021fdf1aec (__TEXT,__text) external _MTLGPUCompilerLowerModule
000000021fdf1c18 (__TEXT,__text) external _MTLGPUCompilerLowerModuleToBuffer
000000021fdf1078 (__TEXT,__text) external _MTLGPUCompilerSetFunctionGroups
000000021fdf0b00 (__TEXT,__text) external _MTLGPUCompilerSetLoaderScript
000000021fdf0b08 (__TEXT,__text) external _MTLGPUCompilerSetLoadingMode
000000021fdf17d4 (__TEXT,__text) external _MTLGPUCompilerSetLoweringRuntimes
000000021fdf1540 (__TEXT,__text) external _MTLGPUCompilerSetMeshEmulationUsedFragmentInputs
