00007ff80d92aa0c (__TEXT,__text) external _CCAESCmac
00007ff80d92aa59 (__TEXT,__text) external _CCAESCmacCreate
00007ff80d92ab0f (__TEXT,__text) external _CCAESCmacDestroy
00007ff80d92aafa (__TEXT,__text) external _CCAESCmacFinal
00007ff80d92ab34 (__TEXT,__text) external _CCAESCmacOutputSizeFromContext
00007ff80d92aae4 (__TEXT,__text) external _CCAESCmacUpdate
00007ff80d92a7f7 (__TEXT,__text) external _CCBigNumAdd
00007ff80d92a804 (__TEXT,__text) external _CCBigNumAddI
00007ff80d92a49f (__TEXT,__text) external _CCBigNumBitCount
00007ff80d92a4b3 (__TEXT,__text) external _CCBigNumByteCount
00007ff80d92a44c (__TEXT,__text) external _CCBigNumClear
00007ff80d92a701 (__TEXT,__text) external _CCBigNumCompare
00007ff80d92a70b (__TEXT,__text) external _CCBigNumCompareI
00007ff80d92a475 (__TEXT,__text) external _CCBigNumCopy
00007ff80d92a782 (__TEXT,__text) external _CCBigNumCreateRandom
00007ff80d92a845 (__TEXT,__text) external _CCBigNumDiv
00007ff80d92a459 (__TEXT,__text) external _CCBigNumFree
00007ff80d92a4bd (__TEXT,__text) external _CCBigNumFromData
00007ff80d92a617 (__TEXT,__text) external _CCBigNumFromDecimalString
00007ff80d92a52d (__TEXT,__text) external _CCBigNumFromHexString
00007ff80d92a72f (__TEXT,__text) external _CCBigNumGetI
00007ff80d92a97b (__TEXT,__text) external _CCBigNumIsNegative
00007ff80d92a946 (__TEXT,__text) external _CCBigNumIsPrime
00007ff80d92a963 (__TEXT,__text) external _CCBigNumIsZero
00007ff80d92a928 (__TEXT,__text) external _CCBigNumLeftShift
00007ff80d92a852 (__TEXT,__text) external _CCBigNumMod
00007ff80d92a913 (__TEXT,__text) external _CCBigNumModExp
00007ff80d92a85f (__TEXT,__text) external _CCBigNumModI
00007ff80d92a82b (__TEXT,__text) external _CCBigNumMul
00007ff80d92a838 (__TEXT,__text) external _CCBigNumMulI
00007ff80d92a906 (__TEXT,__text) external _CCBigNumMulMod
00007ff80d92a937 (__TEXT,__text) external _CCBigNumRightShift
00007ff80d92a722 (__TEXT,__text) external _CCBigNumSetI
00007ff80d92a715 (__TEXT,__text) external _CCBigNumSetNegative
00007ff80d92a811 (__TEXT,__text) external _CCBigNumSub
00007ff80d92a81e (__TEXT,__text) external _CCBigNumSubI
00007ff80d92a4f6 (__TEXT,__text) external _CCBigNumToData
00007ff80d92a67f (__TEXT,__text) external _CCBigNumToDecimalString
00007ff80d92a595 (__TEXT,__text) external _CCBigNumToHexString
00007ff80d92a4a9 (__TEXT,__text) external _CCBigNumZeroLSBCount
00007ff80d92acaf (__TEXT,__text) non-external _CCCKGContextCreate
00007ff80d92addf (__TEXT,__text) external _CCCKGContributorCommit
00007ff80d92ac43 (__TEXT,__text) external _CCCKGContributorCreate
00007ff80d92ada1 (__TEXT,__text) external _CCCKGContributorDestroy
00007ff80d92aea9 (__TEXT,__text) external _CCCKGContributorFinish
00007ff80d92aff2 (__TEXT,__text) non-external _CCCKGConvertNativeToECCryptor
00007ff80d92ab50 (__TEXT,__text) external _CCCKGGetCommitmentSize
00007ff80d92abf2 (__TEXT,__text) external _CCCKGGetOpeningSize
00007ff80d92aba1 (__TEXT,__text) external _CCCKGGetShareSize
00007ff80d92ad35 (__TEXT,__text) external _CCCKGOwnerCreate
00007ff80d92adc0 (__TEXT,__text) external _CCCKGOwnerDestroy
00007ff80d92b095 (__TEXT,__text) external _CCCKGOwnerFinish
00007ff80d92ae3d (__TEXT,__text) external _CCCKGOwnerGenerateShare
00007ff80d92d097 (__TEXT,__text) external _CCCalibratePBKDF
00007ff80d92a3fa (__TEXT,__text) external _CCCreateBigNum
00007ff80d927f66 (__TEXT,__text) external _CCCrypt
00007ff80d92b608 (__TEXT,__text) external _CCCryptorAddParameter
00007ff80d9298b8 (__TEXT,__text) external _CCCryptorChaCha20
00007ff80d9299a4 (__TEXT,__text) external _CCCryptorChaCha20Poly1305OneshotDecrypt
00007ff80d929912 (__TEXT,__text) external _CCCryptorChaCha20Poly1305OneshotEncrypt
00007ff80d927899 (__TEXT,__text) external _CCCryptorCreate
00007ff80d92b1ec (__TEXT,__text) external _CCCryptorCreateFromData
00007ff80d92b280 (__TEXT,__text) external _CCCryptorCreateFromDataWithMode
00007ff80d926889 (__TEXT,__text) external _CCCryptorCreateWithMode
00007ff80d92b542 (__TEXT,__text) external _CCCryptorDecryptDataBlock
00007ff80d92b47c (__TEXT,__text) external _CCCryptorEncryptDataBlock
00007ff80d92811f (__TEXT,__text) external _CCCryptorFinal
00007ff80d9267c7 (__TEXT,__text) external _CCCryptorGCM
00007ff80d9274e7 (__TEXT,__text) external _CCCryptorGCMAddAAD
00007ff80d92cc40 (__TEXT,__text) external _CCCryptorGCMAddADD
00007ff80d927497 (__TEXT,__text) external _CCCryptorGCMAddIV
00007ff80d9296b0 (__TEXT,__text) external _CCCryptorGCMDecrypt
00007ff80d929738 (__TEXT,__text) external _CCCryptorGCMEncrypt
00007ff80d927597 (__TEXT,__text) external _CCCryptorGCMFinal
00007ff80d92cc54 (__TEXT,__text) external _CCCryptorGCMFinalize
00007ff80d92ce36 (__TEXT,__text) external _CCCryptorGCMOneshotDecrypt
00007ff80d92cd62 (__TEXT,__text) external _CCCryptorGCMOneshotEncrypt
00007ff80d92cd1f (__TEXT,__text) external _CCCryptorGCMReset
00007ff80d92cbf0 (__TEXT,__text) external _CCCryptorGCMSetIV
00007ff80d92cc4a (__TEXT,__text) external _CCCryptorGCMaddAAD
00007ff80d92b3de (__TEXT,__text) external _CCCryptorGetIV
00007ff80d92806f (__TEXT,__text) external _CCCryptorGetOutputLength
00007ff80d92b7ac (__TEXT,__text) external _CCCryptorGetParameter
00007ff80d9275e1 (__TEXT,__text) external _CCCryptorRelease
00007ff80d927deb (__TEXT,__text) external _CCCryptorReset
00007ff80d92b2ed (__TEXT,__text) external _CCCryptorReset_binary_compatibility
00007ff80d92794e (__TEXT,__text) external _CCCryptorUpdate
00007ff80d92b8ed (__TEXT,__text) external _CCDHComputeKey
00007ff80d92b810 (__TEXT,__text) external _CCDHCreate
00007ff80d92b86a (__TEXT,__text) external _CCDHGenerateKey
00007ff80d92b860 (__TEXT,__text) external _CCDHRelease
00007ff80d929de8 (__TEXT,__text) external _CCDeriveKey
00007ff80d92f160 (__TEXT,__text) external _CCDesCBCCksum
00007ff80d929703 (__TEXT,__text) external _CCDesIsWeakKey
00007ff80d9296f9 (__TEXT,__text) external _CCDesSetOddParity
00007ff80d926120 (__TEXT,__text) external _CCDigest
00007ff80d92ba6a (__TEXT,__text) external _CCDigestBlockSize
00007ff80d927749 (__TEXT,__text) external _CCDigestCreate
00007ff80d92bad0 (__TEXT,__text) external _CCDigestCreateByOID
00007ff80d92786f (__TEXT,__text) external _CCDigestDestroy
00007ff80d92782d (__TEXT,__text) external _CCDigestFinal
00007ff80d92ba16 (__TEXT,__text) external _CCDigestGetBlockSize
00007ff80d92ba4f (__TEXT,__text) external _CCDigestGetBlockSizeFromRef
00007ff80d925aa0 (__TEXT,__text) non-external (was a private external) _CCDigestGetDigestInfo
00007ff80d92f983 (__TEXT,__text) non-external _CCDigestGetDigestInfo.cold.1
00007ff80d92fa0d (__TEXT,__text) non-external _CCDigestGetDigestInfo.cold.2
00007ff80d92fa97 (__TEXT,__text) non-external _CCDigestGetDigestInfo.cold.3
00007ff80d92ba33 (__TEXT,__text) external _CCDigestGetOutputSize
00007ff80d92ba8f (__TEXT,__text) external _CCDigestGetOutputSizeFromRef
00007ff80d92778c (__TEXT,__text) external _CCDigestInit
00007ff80d92bab6 (__TEXT,__text) external _CCDigestOID
00007ff80d92bac3 (__TEXT,__text) external _CCDigestOIDLen
00007ff80d9277d5 (__TEXT,__text) external _CCDigestOutputSize
00007ff80d92bb34 (__TEXT,__text) external _CCDigestReset
00007ff80d9277f3 (__TEXT,__text) external _CCDigestUpdate
00007ff80d92cb3a (__TEXT,__text) external _CCECCryptorBlind
00007ff80d92cb0c (__TEXT,__text) external _CCECCryptorBlindingKeysRelease
00007ff80d92c85a (__TEXT,__text) external _CCECCryptorComputeSharedSecret
00007ff80d92c3c2 (__TEXT,__text) external _CCECCryptorCreateFromData
00007ff80d92c689 (__TEXT,__text) external _CCECCryptorExportKey
00007ff80d92c667 (__TEXT,__text) external _CCECCryptorExportPublicKey
00007ff80d92ca6d (__TEXT,__text) external _CCECCryptorGenerateBlindingKeys
00007ff80d92c060 (__TEXT,__text) external _CCECCryptorGeneratePair
00007ff80d92c37f (__TEXT,__text) external _CCECCryptorGetKeyComponents
00007ff80d92c1d3 (__TEXT,__text) external _CCECCryptorGetPublicKeyFromPrivateKey
00007ff80d92c9c2 (__TEXT,__text) external _CCECCryptorH2C
00007ff80d92c4a0 (__TEXT,__text) external _CCECCryptorImportKey
00007ff80d92c489 (__TEXT,__text) external _CCECCryptorImportPublicKey
00007ff80d92c47f (__TEXT,__text) external _CCECCryptorRelease
00007ff80d92c774 (__TEXT,__text) external _CCECCryptorSignHash
00007ff80d92c8b5 (__TEXT,__text) external _CCECCryptorTwinDiversifyEntropySize
00007ff80d92c8c9 (__TEXT,__text) external _CCECCryptorTwinDiversifyKey
00007ff80d92cb92 (__TEXT,__text) external _CCECCryptorUnblind
00007ff80d92c84f (__TEXT,__text) external _CCECCryptorUnwrapKey
00007ff80d92c7e2 (__TEXT,__text) external _CCECCryptorVerifyHash
00007ff80d92c844 (__TEXT,__text) external _CCECCryptorWrapKey
00007ff80d92c46b (__TEXT,__text) external _CCECGetKeySize
00007ff80d92c44c (__TEXT,__text) external _CCECGetKeyType
00007ff80d929ffb (__TEXT,__text) external _CCHKDFExpand
00007ff80d929f7c (__TEXT,__text) external _CCHKDFExtract
00007ff80d9261ad (__TEXT,__text) external _CCHmac
00007ff80d92d063 (__TEXT,__text) external _CCHmacClone
00007ff80d92cfac (__TEXT,__text) external _CCHmacCreate
00007ff80d92cf72 (__TEXT,__text) external _CCHmacDestroy
00007ff80d929699 (__TEXT,__text) external _CCHmacFinal
00007ff80d929623 (__TEXT,__text) external _CCHmacInit
00007ff80d92d01c (__TEXT,__text) external _CCHmacOneShot
00007ff80d92cfa2 (__TEXT,__text) external _CCHmacOutputSize
00007ff80d92cf96 (__TEXT,__text) external _CCHmacOutputSizeFromRef
00007ff80d929682 (__TEXT,__text) external _CCHmacUpdate
00007ff80d929bd6 (__TEXT,__text) external _CCKDFParametersCreateAnsiX963
00007ff80d929a94 (__TEXT,__text) external _CCKDFParametersCreateCtrHmac
00007ff80d929b0a (__TEXT,__text) external _CCKDFParametersCreateCtrHmacFixed
00007ff80d929b60 (__TEXT,__text) external _CCKDFParametersCreateHkdf
00007ff80d929a34 (__TEXT,__text) external _CCKDFParametersCreatePbkdf2
00007ff80d929c2c (__TEXT,__text) external _CCKDFParametersDestroy
00007ff80d929c50 (__TEXT,__text) external _CCKeyDerivationHMac
00007ff80d929742 (__TEXT,__text) external _CCKeyDerivationPBKDF
00007ff80d92dda7 (__TEXT,__text) external _CCRSACryptorCreateFromData
00007ff80d92d7e3 (__TEXT,__text) external _CCRSACryptorCreatePublicKeyFromPrivateKey
00007ff80d92dc70 (__TEXT,__text) external _CCRSACryptorCrypt
00007ff80d92dbc2 (__TEXT,__text) external _CCRSACryptorDecrypt
00007ff80d92dae2 (__TEXT,__text) external _CCRSACryptorEncrypt
00007ff80d92da2d (__TEXT,__text) external _CCRSACryptorExport
00007ff80d92d64b (__TEXT,__text) external _CCRSACryptorGeneratePair
00007ff80d92d8a0 (__TEXT,__text) external _CCRSACryptorGetPublicKeyFromPrivateKey
00007ff80d92d8dc (__TEXT,__text) external _CCRSACryptorImport
00007ff80d92dfa5 (__TEXT,__text) external _CCRSACryptorRecoverPrivateKey
00007ff80d92d896 (__TEXT,__text) external _CCRSACryptorRelease
00007ff80d92e52f (__TEXT,__text) external _CCRSACryptorSign
00007ff80d92e65a (__TEXT,__text) external _CCRSACryptorVerify
00007ff80d92e2b5 (__TEXT,__text) external _CCRSAGetCRTComponents
00007ff80d92e131 (__TEXT,__text) external _CCRSAGetCRTComponentsSizes
00007ff80d92e0af (__TEXT,__text) external _CCRSAGetKeyComponents
00007ff80d92d8c9 (__TEXT,__text) external _CCRSAGetKeySize
00007ff80d92d8aa (__TEXT,__text) external _CCRSAGetKeyType
                 (undefined) external _CCRSA_PKCS1_FAULT_CANARY (from libcorecrypto)
                 (undefined) external _CCRSA_PSS_FAULT_CANARY (from libcorecrypto)
00007ff80d9276c9 (__TEXT,__text) external _CCRandomCopyBytes
