00007ff841ea7718 (__DATA,__data) non-external _C
00007ff841ea9670 (__DATA,__bss) non-external _CF6464
00007ff800317c60 (__TEXT,__const) non-external _CIFP
00007ff841eaa3ac (__DATA,__bss) non-external _EMSG
00007ff841eaa3ad (__DATA,__bss) non-external _EMSG
00007ff800317c30 (__TEXT,__const) non-external _ExpandTr
00007ff841ea9660 (__DATA,__bss) non-external _IE3264
00007ff800317bf0 (__TEXT,__const) non-external _IP
00007ff841ea95d0 (__DATA,__bss) non-external _KS
00007ff843a468c0 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00007ff843a468b8 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
00007ff800317ca0 (__TEXT,__const) non-external _P32Tr
00007ff800317bb0 (__TEXT,__const) non-external _PC1
00007ff841ea95c8 (__DATA,__bss) non-external _PC1ROT
00007ff800317b70 (__TEXT,__const) non-external _PC2
00007ff841ea9650 (__DATA,__bss) non-external _PC2ROT
00007ff800317b60 (__TEXT,__const) non-external _Rotates
00007ff800317cc0 (__TEXT,__const) non-external _S
00007ff841ea9668 (__DATA,__bss) non-external _SPE
00007ff8002eb7ea (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff8002eb821 (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff8002eb928 (__TEXT,__text) non-external __BIG5_mbsinit
00007ff8002eb8e9 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff841ea7850 (__DATA,__data) non-external __C_lconv
00007ff840026db0 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff840026dd0 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff840026e78 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff840027090 (__DATA_CONST,__const) non-external __C_time_locale
00007ff841ea79a0 (__DATA,__data) external __CurrentRuneLocale
00007ff841ea7c18 (__DATA,__constrw) external __DefaultRuneLocale
00007ff841ea88a0 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff8002ed6ed (__TEXT,__text) non-external __EUC_free_extra
00007ff8002eca83 (__TEXT,__text) non-external (was a private external) __EUC_init
00007ff8002ecc09 (__TEXT,__text) non-external __EUC_mbrtowc
00007ff8002ed6d3 (__TEXT,__text) non-external __EUC_mbsinit
00007ff8002ecdb6 (__TEXT,__text) non-external __EUC_wcrtomb
00007ff800302dda (__TEXT,__text) external __Exit
00007ff8002ed71f (__TEXT,__text) non-external (was a private external) __GB18030_init
00007ff8002ed756 (__TEXT,__text) non-external __GB18030_mbrtowc
00007ff8002ed984 (__TEXT,__text) non-external __GB18030_mbsinit
00007ff8002ed8a1 (__TEXT,__text) non-external __GB18030_wcrtomb
00007ff8002ed99d (__TEXT,__text) non-external (was a private external) __GB2312_init
00007ff8002ed9d4 (__TEXT,__text) non-external __GB2312_mbrtowc
00007ff8002edb02 (__TEXT,__text) non-external __GB2312_mbsinit
00007ff8002edac3 (__TEXT,__text) non-external __GB2312_wcrtomb
00007ff8002edb1b (__TEXT,__text) non-external (was a private external) __GBK_init
00007ff8002edb52 (__TEXT,__text) non-external __GBK_mbrtowc
00007ff8002edc59 (__TEXT,__text) non-external __GBK_mbsinit
00007ff8002edc1a (__TEXT,__text) non-external __GBK_wcrtomb
00007ff8002ee108 (__TEXT,__text) non-external (was a private external) __MSKanji_init
00007ff8002ee13f (__TEXT,__text) non-external __MSKanji_mbrtowc
00007ff8002ee396 (__TEXT,__text) non-external __MSKanji_mbsinit
00007ff8002ee218 (__TEXT,__text) non-external __MSKanji_wcrtomb
00007ff80029ccbe (__TEXT,__text) external __NSGetArgc
00007ff80029ccb1 (__TEXT,__text) external __NSGetArgv
00007ff80029657d (__TEXT,__text) external __NSGetEnviron
00007ff800296606 (__TEXT,__text) external __NSGetMachExecuteHeader
00007ff80029c09f (__TEXT,__text) external __NSGetProgname
00007ff841eaa4c8 (__DATA,__common) external __PathLocale
00007ff8002bde18 (__TEXT,__text) external __Read_RuneMagi
00007ff800302762 (__TEXT,__text) non-external (was a private external) __UTF2_init
00007ff8003027af (__TEXT,__text) non-external __UTF2_mbrtowc
00007ff800302991 (__TEXT,__text) non-external __UTF2_mbsinit
00007ff8003029ab (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00007ff80030290b (__TEXT,__text) non-external __UTF2_wcrtomb
00007ff800302b32 (__TEXT,__text) non-external __UTF2_wcsnrtombs
00007ff8002be3a9 (__TEXT,__text) non-external (was a private external) __UTF8_init
00007ff8002bfded (__TEXT,__text) non-external __UTF8_mbrtowc
00007ff8002eeaa9 (__TEXT,__text) non-external __UTF8_mbsinit
00007ff8002c0091 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007ff8002c07d9 (__TEXT,__text) non-external __UTF8_wcrtomb
00007ff8002eeac3 (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007ff8002a7a17 (__TEXT,__text) external ___Balloc_D2A
00007ff8002a7bdb (__TEXT,__text) external ___Bfree_D2A
00007ff8002e56e4 (__TEXT,__text) external ___ULtod_D2A
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007ff8002d6a5e (__TEXT,__text) external ____mb_cur_max
00007ff8002d6a8c (__TEXT,__text) external ____mb_cur_max_l
00007ff8002aecb9 (__TEXT,__text) external ____runetype
00007ff8002aece1 (__TEXT,__text) external ____runetype_l
00007ff8002ee9b2 (__TEXT,__text) external ____tolower
00007ff8002ee90b (__TEXT,__text) external ____tolower_l
00007ff8002eea81 (__TEXT,__text) external ____toupper
00007ff8002ee9da (__TEXT,__text) external ____toupper_l
00007ff800316cb4 (__TEXT,__text) non-external (was a private external) ___abort
00007ff8002e12ea (__TEXT,__text) external ___add_ovflpage
00007ff8002e1074 (__TEXT,__text) external ___addel
00007ff8002add80 (__TEXT,__text) external ___any_on_D2A
00007ff800315e84 (__TEXT,__text) external ___assert_rtn
00007ff843a48158 (__DATA_DIRTY,__bss) non-external ___atexit
00007ff8002bac31 (__TEXT,__text) non-external (was a private external) ___atexit_init
00007ff843a48160 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
00007ff8002c1a42 (__TEXT,__text) external ___b2d_D2A
00007ff8002df9db (__TEXT,__text) external ___big_delete
00007ff8002df704 (__TEXT,__text) external ___big_insert
00007ff8002e0027 (__TEXT,__text) external ___big_keydata
00007ff8002dfcb2 (__TEXT,__text) external ___big_return
00007ff8002e0194 (__TEXT,__text) external ___big_split
00007ff800318300 (__TEXT,__const) external ___bigtens_D2A
00007ff8002da826 (__TEXT,__text) external ___bt_close
00007ff8002de3e6 (__TEXT,__text) external ___bt_cmp
00007ff8002de486 (__TEXT,__text) external ___bt_defcmp
00007ff8002de4cb (__TEXT,__text) external ___bt_defpfx
00007ff8002dac87 (__TEXT,__text) external ___bt_delete
00007ff8002db2a8 (__TEXT,__text) external ___bt_dleaf
00007ff8002dc17d (__TEXT,__text) external ___bt_fd
00007ff8002dd066 (__TEXT,__text) non-external ___bt_first
00007ff8002dc450 (__TEXT,__text) external ___bt_free
00007ff8002db8fb (__TEXT,__text) external ___bt_get
00007ff8002dc481 (__TEXT,__text) external ___bt_new
00007ff8002db9d1 (__TEXT,__text) external ___bt_open
00007ff8002db645 (__TEXT,__text) non-external ___bt_pdelete
00007ff8002da9be (__TEXT,__text) external ___bt_pgin
00007ff8002dab44 (__TEXT,__text) external ___bt_pgout
00007ff8002dc4d4 (__TEXT,__text) external ___bt_put
00007ff8002db875 (__TEXT,__text) non-external ___bt_relink
00007ff8002de249 (__TEXT,__text) external ___bt_ret
00007ff8002dca1f (__TEXT,__text) external ___bt_search
00007ff8002dcc5c (__TEXT,__text) external ___bt_seq
00007ff8002dd01c (__TEXT,__text) external ___bt_setcur
00007ff8002dd242 (__TEXT,__text) external ___bt_split
00007ff8002da8ef (__TEXT,__text) external ___bt_sync
00007ff8002e074d (__TEXT,__text) external ___buf_free
00007ff8002e0715 (__TEXT,__text) non-external (was a private external) ___buf_init
                 (undefined) external ___bzero (from libsystem_platform)
00007ff843a45bf0 (__DATA_DIRTY,__data) non-external ___c_locale
00007ff80030d4c4 (__TEXT,__text) non-external ___calc_left_pad
00007ff8002df28c (__TEXT,__text) external ___call_hash
00007ff841ea7c10 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007ff80031517b (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007ff80031518d (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007ff8002c8f15 (__TEXT,__text) non-external (was a private external) ___chk_init
00007ff80029c10d (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007ff8002d07c0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff8002d07e0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00007ff843a481e0 (__DATA_DIRTY,__common) external ___cleanup
00007ff8002a8b2e (__TEXT,__text) external ___cmp_D2A
00007ff8002ec30d (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007ff8002ec4a9 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007ff8002ec62d (__TEXT,__text) external ___collate_equiv_match
00007ff8002b55e1 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007ff8002ebb46 (__TEXT,__text) non-external (was a private external) ___collate_err
00007ff841ea7848 (__DATA,__data) external ___collate_load_error
00007ff8002bcfa7 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007ff841ea9ef0 (__DATA,__bss) non-external ___collate_load_tables.cache
00007ff8002ebe56 (__TEXT,__text) external ___collate_lookup
00007ff8002ebc03 (__TEXT,__text) external ___collate_lookup_l
00007ff8002ec01b (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00007ff8002ebf16 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
