00007ff80e0629b0 (__TEXT,__const) non-external _SHA256_K
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80e054830 (__TEXT,__text) non-external _alone_decode
00007ff80e054ad8 (__TEXT,__text) non-external _alone_decoder_end
00007ff80e054af9 (__TEXT,__text) non-external _alone_decoder_memconfig
00007ff80e053949 (__TEXT,__text) non-external _alone_encode
00007ff80e053a0d (__TEXT,__text) non-external _alone_encoder_end
00007ff80e0537ea (__TEXT,__text) non-external _alone_encoder_init
00007ff80e05e524 (__TEXT,__text) non-external _arm_code
00007ff80e05e5eb (__TEXT,__text) non-external _armthumb_code
00007ff80e054cbb (__TEXT,__text) non-external _auto_decode
00007ff80e054dd7 (__TEXT,__text) non-external _auto_decoder_end
00007ff80e054df8 (__TEXT,__text) non-external _auto_decoder_get_check
00007ff80e054bdc (__TEXT,__text) non-external _auto_decoder_init
00007ff80e054e0f (__TEXT,__text) non-external _auto_decoder_memconfig
00007ff80e0550d3 (__TEXT,__text) non-external _block_decode
00007ff80e0552f7 (__TEXT,__text) non-external _block_decoder_end
00007ff80e04e9fc (__TEXT,__text) non-external _block_encode
00007ff80e053c57 (__TEXT,__text) non-external _block_encode_normal
00007ff80e053e12 (__TEXT,__text) non-external _block_encode_uncompressed
00007ff80e052b13 (__TEXT,__text) non-external _block_encoder_end
00007ff80e04cd4b (__TEXT,__text) non-external _block_encoder_init
00007ff80e053fa5 (__TEXT,__text) non-external _block_encoder_update
00007ff80e051924 (__TEXT,__text) non-external _bt_find_func
00007ff80e04f9ac (__TEXT,__text) non-external _bt_skip_func
00007ff80e05de63 (__TEXT,__text) non-external _copy_or_code
00007ff80e058d65 (__TEXT,__text) non-external _decode_buffer
00007ff80e055752 (__TEXT,__text) non-external _decoder_find
00007ff8408d83d0 (__DATA_CONST,__const) non-external _decoders
00007ff80e05d7b7 (__TEXT,__text) non-external _delta_coder_end
00007ff80e05d992 (__TEXT,__text) non-external _delta_decode
00007ff80e05d82c (__TEXT,__text) non-external _delta_encode
00007ff80e05d941 (__TEXT,__text) non-external _delta_encoder_update
00007ff80e04d340 (__TEXT,__text) non-external _encoder_find
00007ff8408d81d0 (__DATA_CONST,__const) non-external _encoders
00007ff80e05e830 (__TEXT,__const) non-external _features
                 (undefined) external _free (from libSystem)
00007ff80e05552a (__TEXT,__text) non-external _free_properties
00007ff80e051a8d (__TEXT,__text) non-external _get_literal_price
00007ff80e056008 (__TEXT,__text) non-external _hash_append
00007ff80e058285 (__TEXT,__text) non-external _hc_find_func
