                 (undefined) external _AnalyticsSendEventLazy (from CoreAnalytics)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IOServiceGetMatchingService (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHTTPURLResponse (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSRegularExpression (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTextCheckingResult (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSession (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSessionConfiguration (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_OS_dispatch_queue (from libSystem)
                 (undefined) external _OBJC_CLASS_$_OS_dispatch_source (from libSystem)
                 (undefined) external _OBJC_CLASS_$_OS_os_log (from libSystem)
000000020f141390 (__AUTH,__objc_data) external _OBJC_CLASS_$__TtC10PegasusKit10ClientName
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
000000020f1412c0 (__AUTH,__data) external _OBJC_METACLASS_$__TtC10PegasusKit10ClientName
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
00000001f0c2bf74 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f0c2ec14 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f0c2ef34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f0c310d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f0c3169c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f0c33830 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f0c35f04 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f0c38390 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f0c3c108 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f0c3d5c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f0c3f9a4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f0c42974 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f0c435b0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001f0c4431c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
