00007ff800e049b0 (__TEXT,__text) external _APL_dgemm
00007ff800def5f0 (__TEXT,__text) external _APL_dgemm_LU
00007ff800e12779 (__TEXT,__text) external _APL_dgemm_QR
00007ff800d48cd7 (__TEXT,__text) external _APL_dsyrk
00007ff800d8dbd1 (__TEXT,__text) external _APL_dtrsm
00007ff800dab910 (__TEXT,__text) external _APL_sgemm
00007ff800d8d2a0 (__TEXT,__text) external _APL_sgemm_LU
00007ff800d8d860 (__TEXT,__text) external _APL_sgemm_QR
00007ff800d4ad00 (__TEXT,__text) external _APL_ssyrk
00007ff800d66e90 (__TEXT,__text) external _APL_strsm
00007ff800d6754f (__TEXT,__text) external _APPLE_NTHREADS
00007ff800eae91b (__TEXT,__text) external _ATLU_DestroyThreadMemory
00007ff800e146dc (__TEXT,__text) external _BLASStateRelease
00007ff800e146d1 (__TEXT,__text) external _BLASStateRetain
00007ff800d44ca1 (__TEXT,__text) external _CAXPY
00007ff800d44ca1 (__TEXT,__text) external _CAXPY_
00007ff800d44cb5 (__TEXT,__text) external _CCOPY
00007ff800d44cb5 (__TEXT,__text) external _CCOPY_
00007ff800d44cc9 (__TEXT,__text) external _CDOTC
00007ff800d44cc9 (__TEXT,__text) external _CDOTC_
00007ff800d44ceb (__TEXT,__text) external _CDOTU
00007ff800d44ceb (__TEXT,__text) external _CDOTU_
00007ff800d434c3 (__TEXT,__text) external _CGBMV
00007ff800d434c3 (__TEXT,__text) external _CGBMV_
00007ff800d40ab0 (__TEXT,__text) external _CGEMM
00007ff800d40ab0 (__TEXT,__text) external _CGEMM_
00007ff800d43401 (__TEXT,__text) external _CGEMV
00007ff800d43401 (__TEXT,__text) external _CGEMV_
00007ff800d43de0 (__TEXT,__text) external _CGERC
00007ff800d43de0 (__TEXT,__text) external _CGERC_
00007ff800d43e27 (__TEXT,__text) external _CGERU
00007ff800d43e27 (__TEXT,__text) external _CGERU_
00007ff800d43631 (__TEXT,__text) external _CHBMV
00007ff800d43631 (__TEXT,__text) external _CHBMV_
00007ff800d40bd5 (__TEXT,__text) external _CHEMM
00007ff800d40bd5 (__TEXT,__text) external _CHEMM_
00007ff800d4359e (__TEXT,__text) external _CHEMV
00007ff800d4359e (__TEXT,__text) external _CHEMV_
00007ff800d43e6e (__TEXT,__text) external _CHER
00007ff800d43ede (__TEXT,__text) external _CHER2
00007ff800d4121a (__TEXT,__text) external _CHER2K
00007ff800d4121a (__TEXT,__text) external _CHER2K_
00007ff800d43ede (__TEXT,__text) external _CHER2_
00007ff800d41033 (__TEXT,__text) external _CHERK
00007ff800d41033 (__TEXT,__text) external _CHERK_
00007ff800d43e6e (__TEXT,__text) external _CHER_
00007ff800d436c8 (__TEXT,__text) external _CHPMV
00007ff800d436c8 (__TEXT,__text) external _CHPMV_
00007ff800d43f6a (__TEXT,__text) external _CHPR
00007ff800d43fd1 (__TEXT,__text) external _CHPR2
00007ff800d43fd1 (__TEXT,__text) external _CHPR2_
00007ff800d43f6a (__TEXT,__text) external _CHPR_
00007ff800d44d0d (__TEXT,__text) external _CROTG
00007ff800d44d0d (__TEXT,__text) external _CROTG_
00007ff800d44d1a (__TEXT,__text) external _CSCAL
00007ff800d44d1a (__TEXT,__text) external _CSCAL_
00007ff800d44d2b (__TEXT,__text) external _CSROT
00007ff800d44d2b (__TEXT,__text) external _CSROT_
00007ff800d44d4c (__TEXT,__text) external _CSSCAL
00007ff800d44d4c (__TEXT,__text) external _CSSCAL_
00007ff800d44d66 (__TEXT,__text) external _CSWAP
00007ff800d44d66 (__TEXT,__text) external _CSWAP_
00007ff800d40ca9 (__TEXT,__text) external _CSYMM
00007ff800d40ca9 (__TEXT,__text) external _CSYMM_
00007ff800d4131d (__TEXT,__text) external _CSYR2K
00007ff800d4131d (__TEXT,__text) external _CSYR2K_
00007ff800d41129 (__TEXT,__text) external _CSYRK
00007ff800d41129 (__TEXT,__text) external _CSYRK_
00007ff800d43867 (__TEXT,__text) external _CTBMV
00007ff800d43867 (__TEXT,__text) external _CTBMV_
00007ff800d43bb3 (__TEXT,__text) external _CTBSV
00007ff800d43bb3 (__TEXT,__text) external _CTBSV_
00007ff800d43988 (__TEXT,__text) external _CTPMV
00007ff800d43988 (__TEXT,__text) external _CTPMV_
00007ff800d43cd4 (__TEXT,__text) external _CTPSV
00007ff800d43cd4 (__TEXT,__text) external _CTPSV_
00007ff800d40d7d (__TEXT,__text) external _CTRMM
00007ff800d40d7d (__TEXT,__text) external _CTRMM_
00007ff800d43748 (__TEXT,__text) external _CTRMV
00007ff800d43748 (__TEXT,__text) external _CTRMV_
00007ff800d40ed8 (__TEXT,__text) external _CTRSM
00007ff800d40ed8 (__TEXT,__text) external _CTRSM_
00007ff800d43a94 (__TEXT,__text) external _CTRSV
00007ff800d43a94 (__TEXT,__text) external _CTRSV_
00007ff800d44dbb (__TEXT,__text) external _DASUM
00007ff800d44dbb (__TEXT,__text) external _DASUM_
00007ff800d44dc9 (__TEXT,__text) external _DAXPY
00007ff800d44dc9 (__TEXT,__text) external _DAXPY_
00007ff800d3fdab (__TEXT,__text) external _DCABS1
00007ff800d3fdab (__TEXT,__text) external _DCABS1_
00007ff800d44dec (__TEXT,__text) external _DCOPY
00007ff800d44dec (__TEXT,__text) external _DCOPY_
00007ff800d44e00 (__TEXT,__text) external _DDOT
00007ff800d44e00 (__TEXT,__text) external _DDOT_
00007ff800d4296b (__TEXT,__text) external _DGBMV
00007ff800d4296b (__TEXT,__text) external _DGBMV_
00007ff800d40467 (__TEXT,__text) external _DGEMM
00007ff800d40467 (__TEXT,__text) external _DGEMM_
00007ff800d428ca (__TEXT,__text) external _DGEMV
00007ff800d428ca (__TEXT,__text) external _DGEMV_
00007ff800d431ed (__TEXT,__text) external _DGER
00007ff800d431ed (__TEXT,__text) external _DGER_
00007ff800d44e11 (__TEXT,__text) external _DNRM2
00007ff800d44e11 (__TEXT,__text) external _DNRM2_
00007ff800d44e1f (__TEXT,__text) external _DROT
00007ff800d44e40 (__TEXT,__text) external _DROTG
00007ff800d44e40 (__TEXT,__text) external _DROTG_
00007ff800d44e4d (__TEXT,__text) external _DROTM
00007ff800d44e61 (__TEXT,__text) external _DROTMG
00007ff800d44e61 (__TEXT,__text) external _DROTMG_
00007ff800d44e4d (__TEXT,__text) external _DROTM_
00007ff800d44e1f (__TEXT,__text) external _DROT_
00007ff800d42ac2 (__TEXT,__text) external _DSBMV
00007ff800d42ac2 (__TEXT,__text) external _DSBMV_
00007ff800d44e75 (__TEXT,__text) external _DSCAL
00007ff800d44e75 (__TEXT,__text) external _DSCAL_
00007ff800d44ebe (__TEXT,__text) external _DSDOT
00007ff800d44ebe (__TEXT,__text) external _DSDOT_
00007ff800d42b57 (__TEXT,__text) external _DSPMV
00007ff800d42b57 (__TEXT,__text) external _DSPMV_
00007ff800d43323 (__TEXT,__text) external _DSPR
00007ff800d4338a (__TEXT,__text) external _DSPR2
00007ff800d4338a (__TEXT,__text) external _DSPR2_
00007ff800d43323 (__TEXT,__text) external _DSPR_
00007ff800d44e8f (__TEXT,__text) external _DSWAP
00007ff800d44e8f (__TEXT,__text) external _DSWAP_
00007ff800d40577 (__TEXT,__text) external _DSYMM
00007ff800d40577 (__TEXT,__text) external _DSYMM_
00007ff800d42a38 (__TEXT,__text) external _DSYMV
00007ff800d42a38 (__TEXT,__text) external _DSYMV_
00007ff800d43232 (__TEXT,__text) external _DSYR
00007ff800d432a2 (__TEXT,__text) external _DSYR2
00007ff800d409c6 (__TEXT,__text) external _DSYR2K
00007ff800d409c6 (__TEXT,__text) external _DSYR2K_
00007ff800d432a2 (__TEXT,__text) external _DSYR2_
00007ff800d408e9 (__TEXT,__text) external _DSYRK
00007ff800d408e9 (__TEXT,__text) external _DSYRK_
00007ff800d43232 (__TEXT,__text) external _DSYR_
00007ff800d42ce0 (__TEXT,__text) external _DTBMV
00007ff800d42ce0 (__TEXT,__text) external _DTBMV_
00007ff800d42feb (__TEXT,__text) external _DTBSV
00007ff800d42feb (__TEXT,__text) external _DTBSV_
00007ff800d42dec (__TEXT,__text) external _DTPMV
00007ff800d42dec (__TEXT,__text) external _DTPMV_
00007ff800d430f7 (__TEXT,__text) external _DTPSV
00007ff800d430f7 (__TEXT,__text) external _DTPSV_
00007ff800d4064d (__TEXT,__text) external _DTRMM
00007ff800d4064d (__TEXT,__text) external _DTRMM_
00007ff800d42bd7 (__TEXT,__text) external _DTRMV
00007ff800d42bd7 (__TEXT,__text) external _DTRMV_
00007ff800d4079b (__TEXT,__text) external _DTRSM
00007ff800d4079b (__TEXT,__text) external _DTRSM_
00007ff800d42ee2 (__TEXT,__text) external _DTRSV
00007ff800d42ee2 (__TEXT,__text) external _DTRSV_
00007ff800d45006 (__TEXT,__text) external _DZASUM
00007ff800d45006 (__TEXT,__text) external _DZASUM_
00007ff800d45014 (__TEXT,__text) external _DZNRM2
00007ff800d45014 (__TEXT,__text) external _DZNRM2_
00007ff800d76049 (__TEXT,__text) external _GetBLASComputeDevice
00007ff800d44d7a (__TEXT,__text) external _ICAMAX
