                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00000001981f9558 (__TEXT,__text) external _pcre_assign_jit_stack
00000001eb1f4b28 (__DATA,__common) external _pcre_callout
00000001981db900 (__TEXT,__text) external _pcre_compile
00000001981db914 (__TEXT,__text) external _pcre_compile2
00000001981e5018 (__TEXT,__text) external _pcre_config
00000001981f91c0 (__TEXT,__text) external _pcre_copy_named_substring
00000001981f9150 (__TEXT,__text) external _pcre_copy_substring
00000001981e50e8 (__TEXT,__text) external _pcre_dfa_exec
00000001981eb33c (__TEXT,__text) external _pcre_exec
00000001edca3400 (__AUTH,__data) external _pcre_free
00000001981fb2c8 (__TEXT,__text) external _pcre_free_study
00000001981f953c (__TEXT,__text) external _pcre_free_substring
00000001981f9410 (__TEXT,__text) external _pcre_free_substring_list
00000001981f8bd8 (__TEXT,__text) external _pcre_fullinfo
00000001981f94c0 (__TEXT,__text) external _pcre_get_named_substring
00000001981f8e98 (__TEXT,__text) external _pcre_get_stringnumber
00000001981f8fa0 (__TEXT,__text) external _pcre_get_stringtable_entries
00000001981f9420 (__TEXT,__text) external _pcre_get_substring
00000001981f9304 (__TEXT,__text) external _pcre_get_substring_list
00000001981f955c (__TEXT,__text) external _pcre_jit_free_unused_memory
00000001981f954c (__TEXT,__text) external _pcre_jit_stack_alloc
00000001981f9554 (__TEXT,__text) external _pcre_jit_stack_free
00000001981f9560 (__TEXT,__text) external _pcre_maketables
00000001edca33f8 (__AUTH,__data) external _pcre_malloc
00000001981db6e0 (__TEXT,__text) external _pcre_pattern_to_host_byte_order
00000001981f9d84 (__TEXT,__text) external _pcre_refcount
00000001edca3410 (__AUTH,__data) external _pcre_stack_free
00000001eb1f4b30 (__DATA,__common) external _pcre_stack_guard
00000001edca3408 (__AUTH,__data) external _pcre_stack_malloc
00000001981f9de8 (__TEXT,__text) external _pcre_study
00000001981fb8c8 (__TEXT,__text) external _pcre_version
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
