                 (undefined) external _APP_SANDBOX_READ (from libSystem)
                 (undefined) external _NSTemporaryDirectory (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURLComponents (from Foundation)
0000000218893808 (__DATA,__data) external _PXR_WORK_THREAD_LIMIT
0000000218ae0d38 (__DATA,__common) external _PXR_WORK_THREAD_LIMIT_value
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
                 (undefined) external __Unwind_Resume (from libSystem)
000000020a1b8eb0 (__TEXT,__text) external __Z10pathYyfreePvS_
000000020a1b8e38 (__TEXT,__text) external __Z11pathYyallocmPv
000000020a31a6cc (__TEXT,__text) external __Z11pathYyparseP21Sdf_PathParserContext
000000020a1b9244 (__TEXT,__text) external __Z12pathYyget_inPv
000000020a1b92dc (__TEXT,__text) external __Z12pathYyset_inP7__sFILEPv
000000020a1b924c (__TEXT,__text) external __Z13pathYyget_outPv
000000020a1b9484 (__TEXT,__text) external __Z13pathYyreallocPvmS_
000000020a1b8c38 (__TEXT,__text) external __Z13pathYyrestartP7__sFILEPv
000000020a1b92e4 (__TEXT,__text) external __Z13pathYyset_outP7__sFILEPv
000000020a326214 (__TEXT,__text) external __Z14Sdf_ParseLayerRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_10shared_ptrIN38pxrInternal_v0_21__aapl__pxrReserved__7ArAssetEEES7_S7_bNS9_8TfRefPtrINS9_7SdfDataEEEPNS9_13SdfLayerHintsE
000000020a1b9254 (__TEXT,__text) external __Z14pathYyget_lengPv
000000020a1b92fc (__TEXT,__text) external __Z14pathYyget_lvalPv
000000020a1b925c (__TEXT,__text) external __Z14pathYyget_textPv
000000020a1b930c (__TEXT,__text) external __Z14pathYylex_initPPv
000000020a1b9304 (__TEXT,__text) external __Z14pathYyset_lvalP18Sdf_PathLexerValuePv
000000020a1b92ec (__TEXT,__text) external __Z15pathYyget_debugPv
000000020a1b91f4 (__TEXT,__text) external __Z15pathYyget_extraPv
000000020a1b92f4 (__TEXT,__text) external __Z15pathYyset_debugiPv
000000020a1b9264 (__TEXT,__text) external __Z15pathYyset_extraPvS_
000000020a1b9220 (__TEXT,__text) external __Z16pathYyget_columnPv
000000020a1b91fc (__TEXT,__text) external __Z16pathYyget_linenoPv
000000020a1b92a4 (__TEXT,__text) external __Z16pathYyset_columniPv
000000020a1b926c (__TEXT,__text) external __Z16pathYyset_linenoiPv
000000020a1b915c (__TEXT,__text) external __Z17pathYy_scan_bytesPKcmPv
000000020a1b940c (__TEXT,__text) external __Z17pathYylex_destroyPv
000000020a1b9080 (__TEXT,__text) external __Z18pathYy_scan_bufferPcmPv
000000020a1b9118 (__TEXT,__text) external __Z18pathYy_scan_stringPKcPv
000000020a1b8eb4 (__TEXT,__text) external __Z19pathYy_flush_bufferP15yy_buffer_statePv
000000020a1b9514 (__TEXT,__text) external __Z19textFileFormatYylexPN38pxrInternal_v0_21__aapl__pxrReserved__17Sdf_ParserHelpers5ValueEPv
000000020a1b8aa8 (__TEXT,__text) external __Z20pathYy_create_bufferP7__sFILEiPv
000000020a1b8e3c (__TEXT,__text) external __Z20pathYy_delete_bufferP15yy_buffer_statePv
000000020a1b9380 (__TEXT,__text) external __Z20pathYylex_init_extraPvPS_
000000020a1bc784 (__TEXT,__text) external __Z20textFileFormatYyfreePvS_
000000020a1bc70c (__TEXT,__text) external __Z21textFileFormatYyallocmPv
000000020a322c34 (__TEXT,__text) external __Z21textFileFormatYyerrorPN38pxrInternal_v0_21__aapl__pxrReserved__21Sdf_TextParserContextEPKc
000000020a31bb58 (__TEXT,__text) external __Z21textFileFormatYyparsePN38pxrInternal_v0_21__aapl__pxrReserved__21Sdf_TextParserContextE
000000020a1b8fec (__TEXT,__text) external __Z22pathYypop_buffer_statePv
000000020a1bcb18 (__TEXT,__text) external __Z22textFileFormatYyget_inPv
000000020a1bcbb0 (__TEXT,__text) external __Z22textFileFormatYyset_inP7__sFILEPv
000000020a1b8d88 (__TEXT,__text) external __Z23pathYy_switch_to_bufferP15yy_buffer_statePv
