00007ffa00df2f83 (__TEXT,__text) non-external -[OS_axr_data copy]
00007ffa00df2d87 (__TEXT,__text) non-external -[OS_axr_data dealloc]
00007ffa00df2de7 (__TEXT,__text) non-external -[OS_axr_data debugDescription]
00007ffa00ea7a6f (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.1
00007ffa00ea7abe (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.2
00007ffa00ea7b0d (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.3
00007ffa00df2dc2 (__TEXT,__text) non-external -[OS_axr_data description]
00007ffa00df2fb3 (__TEXT,__text) non-external -[OS_axr_data hash]
00007ffa00df2f8e (__TEXT,__text) non-external -[OS_axr_data isEqual:]
00007ffa00e93576 (__TEXT,__text) non-external -[OS_axr_decoder copy]
00007ffa00e93536 (__TEXT,__text) non-external -[OS_axr_decoder dealloc]
00007ffa00e932b0 (__TEXT,__text) non-external -[OS_axr_decoder debugDescription]
00007ffa00e93529 (__TEXT,__text) non-external -[OS_axr_decoder description]
00007ffa00e8d945 (__TEXT,__text) non-external -[OS_axr_encoder dealloc]
00007ffa00e8d930 (__TEXT,__text) non-external -[OS_axr_encoder debugDescription]
00007ffa00e8d938 (__TEXT,__text) non-external -[OS_axr_encoder description]
00007ffa00e8c122 (__TEXT,__text) non-external -[OS_axr_part dealloc]
00007ffa00e8c05f (__TEXT,__text) non-external -[OS_axr_part debugDescription]
00007ffa00e8c115 (__TEXT,__text) non-external -[OS_axr_part description]
00007ffa00ec9b3c (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00007ffa00ec9b68 (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00007ffa00ec9c40 (__TEXT,__gcc_except_tab) non-external GCC_except_table10
00007ffa00ec9bec (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00007ffa00ec9c60 (__TEXT,__gcc_except_tab) non-external GCC_except_table18
00007ffa00ec9c50 (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00007ffa00ec9c8c (__TEXT,__gcc_except_tab) non-external GCC_except_table21
00007ffa00ec9b78 (__TEXT,__gcc_except_tab) non-external GCC_except_table22
00007ffa00ec9b88 (__TEXT,__gcc_except_tab) non-external GCC_except_table25
00007ffa00ec9b58 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00007ffa00ec9bb0 (__TEXT,__gcc_except_tab) non-external GCC_except_table35
00007ffa00ec9bcc (__TEXT,__gcc_except_tab) non-external GCC_except_table36
00007ffa00ec9cb8 (__TEXT,__gcc_except_tab) non-external GCC_except_table45
00007ffa00ec9d24 (__TEXT,__gcc_except_tab) non-external GCC_except_table49
00007ffa00ec9bdc (__TEXT,__gcc_except_tab) non-external GCC_except_table7
00007ffa00ec9c00 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00007ffa00ec9c18 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
