0000000286a9fe20 (__TEXT,__text) non-external +[GPDataConversionUtils convertFloat16ToFloat32:]
0000000286a9abb4 (__TEXT,__text) non-external +[MADService(Generative_Playground) getEmbeddingVectorDimension:]
0000000286a9fdd0 (__TEXT,__text) non-external -[GPAppleConnectTokenProvider .cxx_destruct]
0000000286a9fdbc (__TEXT,__text) non-external -[GPAppleConnectTokenProvider authenticatingProtocol]
0000000286a9fd30 (__TEXT,__text) non-external -[GPAppleConnectTokenProvider initWithAuthenticatingProtocol:]
0000000286a9fdc4 (__TEXT,__text) non-external -[GPAppleConnectTokenProvider setAuthenticatingProtocol:]
0000000286a9fdac (__TEXT,__text) non-external -[GPAppleConnectTokenProvider setupTokenWithCompletion:]
0000000286a9fdb4 (__TEXT,__text) non-external -[GPAppleConnectTokenProvider token]
0000000286a9fd08 (__TEXT,__text) non-external -[GPMagicPaperState frame]
0000000286a9fc74 (__TEXT,__text) non-external -[GPMagicPaperState initWithFrame:isEditing:]
0000000286a9fd20 (__TEXT,__text) non-external -[GPMagicPaperState isEditing]
0000000286a9fd14 (__TEXT,__text) non-external -[GPMagicPaperState setFrame:]
0000000286a9fd28 (__TEXT,__text) non-external -[GPMagicPaperState setIsEditing:]
0000000286a9ab58 (__TEXT,__text) non-external -[VFXRenderer(Generative_Playground) vfx_setClearBackground]
0000000286a9aad4 (__TEXT,__text) non-external -[VFXView(Generative_Playground) _vfx_setColorSpace:]
0000000286a9aa24 (__TEXT,__text) non-external -[VFXView(Generative_Playground) vfx_resetColorSpace]
0000000286a9a9c8 (__TEXT,__text) non-external -[VFXView(Generative_Playground) vfx_setClearBackground]
0000000286a9aa2c (__TEXT,__text) non-external -[VFXView(Generative_Playground) vfx_setExtendedLinearSRGBColorSpace]
0000000286a9aa80 (__TEXT,__text) non-external -[VFXView(Generative_Playground) vfx_setLinearSRGBColorSpace]
000000028781f2cc (__TEXT,__gcc_except_tab) non-external GCC_except_table0
                 (undefined) external _AVCaptureSessionDidStartRunningNotification (from AVFoundation)
                 (undefined) external _AVCaptureSessionDidStopRunningNotification (from AVFoundation)
                 (undefined) external _AVMediaTypeVideo (from AVFoundation)
                 (undefined) external _AnalyticsSendEventLazy (from CoreAnalytics)
                 (undefined) external _CACurrentMediaTime (from QuartzCore)
                 (undefined) external _CEMCreateEmojiLocaleData (from CoreEmoji)
                 (undefined) external _CEMEmojiTokenCopyGenmojiDescription (from CoreEmoji)
                 (undefined) external _CEMEmojiTokenCopyName (from CoreEmoji)
                 (undefined) external _CEMEmojiTokenCreateCopyRemovingModifiers (from CoreEmoji)
                 (undefined) external _CEMEmojiTokenGetString (from CoreEmoji)
                 (undefined) external _CEMEnumerateEmojiTokensInStringWithBlock (from CoreEmoji)
                 (undefined) external _CEMEnumerateEmojiTokensInStringWithLocaleAndBlock (from CoreEmoji)
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CGAffineTransformMakeRotation (from CoreGraphics)
                 (undefined) external _CGAffineTransformMakeScale (from CoreGraphics)
                 (undefined) external _CGAffineTransformMakeTranslation (from CoreGraphics)
                 (undefined) external _CGAffineTransformTranslate (from CoreGraphics)
                 (undefined) external _CGBitmapContextCreate (from CoreGraphics)
                 (undefined) external _CGBitmapContextCreateImage (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetHeight (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetWidth (from CoreGraphics)
                 (undefined) external _CGColorCreateGenericRGB (from CoreGraphics)
                 (undefined) external _CGColorSpaceCreateDeviceGray (from CoreGraphics)
                 (undefined) external _CGColorSpaceCreateDeviceRGB (from CoreGraphics)
                 (undefined) external _CGColorSpaceCreateWithName (from CoreGraphics)
                 (undefined) external _CGColorSpaceRelease (from CoreGraphics)
                 (undefined) external _CGContextAddPath (from CoreGraphics)
                 (undefined) external _CGContextConcatCTM (from CoreGraphics)
                 (undefined) external _CGContextFillRect (from CoreGraphics)
                 (undefined) external _CGContextScaleCTM (from CoreGraphics)
                 (undefined) external _CGContextSetFillColorWithColor (from CoreGraphics)
                 (undefined) external _CGContextTranslateCTM (from CoreGraphics)
                 (undefined) external _CGDataProviderCreateWithCFData (from CoreGraphics)
                 (undefined) external _CGImageCreateWithImageInRect (from CoreGraphics)
                 (undefined) external _CGImageDestinationAddImage (from ImageIO)
                 (undefined) external _CGImageDestinationCreateWithData (from ImageIO)
                 (undefined) external _CGImageDestinationFinalize (from ImageIO)
                 (undefined) external _CGImageGetAlphaInfo (from CoreGraphics)
                 (undefined) external _CGImageGetBitmapInfo (from CoreGraphics)
