00007ffd432b6f00 (__DATA,__bss) non-external __ZL12reportShadow
00007ffd432b6f08 (__DATA,__bss) non-external __ZL13reportGlobals
00007ffd432b6ef8 (__DATA,__bss) non-external __ZL15libmallocShadow
00007ffd432b6ef0 (__DATA,__bss) non-external __ZL3cfg
00007ffd0b6461a2 (__TEXT,__text) non-external __ZL3diev
00007ffd0b6475e0 (__TEXT,__const) non-external __ZL5zeros
00007ffd432b6f10 (__DATA,__bss) non-external __ZL6report
00007ffd432b73c0 (__DATA,__bss) non-external __ZL6shadow
00007ffd432b6ee8 (__DATA,__bss) non-external __ZL7_shadow
00007ffd432b6eb8 (__DATA,__bss) non-external __ZL9collector.0
00007ffd432b6ec0 (__DATA,__bss) non-external __ZL9collector.1
00007ffd432b6ec8 (__DATA,__bss) non-external __ZL9collector.2
00007ffd0b6466f0 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow11bzeroShadowEPKvm
00007ffd0b6466de (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow12memsetShadowEPvim
00007ffd0b646be0 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow12poisonGlobalERKN4asan9GlobalVarE
00007ffd0b64698e (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow14setShadowBytesEmm11ShadowValue
00007ffd0b646c28 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue
00007ffd0b647438 (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.1
00007ffd0b64745b (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.2
00007ffd0b64747e (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.3
00007ffd0b646c76 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow19poisonNewAllocationEmmm
00007ffd0b646c86 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow19poisonNewStackFrameEmmm
00007ffd0b646c96 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow21poisonFreedAllocationEmm
00007ffd0b6474a1 (__TEXT,__text) non-external __ZN10ASanShadow21poisonFreedAllocationEmm.cold.1
00007ffd0b646cd4 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow21poisonFreedStackFrameEmm
00007ffd0b6474c2 (__TEXT,__text) non-external __ZN10ASanShadow21poisonFreedStackFrameEmm.cold.1
00007ffd0b646700 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow6poisonEmmmmh
00007ffd0b647368 (__TEXT,__text) non-external __ZN10ASanShadow6poisonEmmmmh.cold.1
00007ffd0b6467e2 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow8unpoisonEmm
00007ffd0b644bee (__TEXT,__text) non-external (was a private external) __ZN12MemoryReader4readEmm
00007ffd0b647142 (__TEXT,__text) non-external __ZN12MemoryReader4readEmm.cold.1
00007ffd0b644552 (__TEXT,__text) non-external (was a private external) __ZN12MemoryReaderD2Ev
00007ffd0b645662 (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_
00007ffd0b6471a5 (__TEXT,__text) non-external __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_.cold.1
00007ffd0b6471c6 (__TEXT,__text) non-external __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_.cold.2
00007ffd0b643eef (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_
00007ffd0b646fa7 (__TEXT,__text) non-external __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_.cold.1
00007ffd0b646fc8 (__TEXT,__text) non-external __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_.cold.2
