00007ffb0e551bd6 (__TEXT,__text) non-external +[CBOR cborFalse]
00007ffb0e551b6a (__TEXT,__text) non-external +[CBOR cborNil]
00007ffb0e551ba0 (__TEXT,__text) non-external +[CBOR cborTrue]
00007ffb0e551547 (__TEXT,__text) non-external +[CBOR cborWithArray:]
00007ffb0e5516d9 (__TEXT,__text) non-external +[CBOR cborWithData:]
00007ffb0e551a3e (__TEXT,__text) non-external +[CBOR cborWithDateTime:]
00007ffb0e5515e7 (__TEXT,__text) non-external +[CBOR cborWithDictionary:]
00007ffb0e551687 (__TEXT,__text) non-external +[CBOR cborWithDictionary:keyOrderList:]
00007ffb0e5514c9 (__TEXT,__text) non-external +[CBOR cborWithDouble:]
00007ffb0e551c0c (__TEXT,__text) non-external +[CBOR cborWithEmbeddedCBORData:]
00007ffb0e551779 (__TEXT,__text) non-external +[CBOR cborWithEncodedTag24Data:]
00007ffb0e55144b (__TEXT,__text) non-external +[CBOR cborWithFloat:]
00007ffb0e551912 (__TEXT,__text) non-external +[CBOR cborWithFullDate:]
00007ffb0e5513cd (__TEXT,__text) non-external +[CBOR cborWithHalfFloat:]
00007ffb0e551260 (__TEXT,__text) non-external +[CBOR cborWithInteger:]
00007ffb0e551872 (__TEXT,__text) non-external +[CBOR cborWithUTF8String:]
00007ffb0e55131e (__TEXT,__text) non-external +[CBOR cborWithUnsignedInteger:]
00007ffb0e54af20 (__TEXT,__text) non-external +[CBOR encodeMajorType2or3:]
00007ffb0e54b59e (__TEXT,__text) non-external +[CBOR encodeMajorType7Bool:]
00007ffb0e54b55a (__TEXT,__text) non-external +[CBOR encodeMajorType7Undefined]
00007ffb0e5539ea (__TEXT,__text) non-external +[CBOR(COSE) cborWithCOSE:]
00007ffb0e556d44 (__TEXT,__text) non-external +[CBOR(COSEKey) cborWithCOSEKey:]
00007ffb0e54cdbc (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:]
00007ffb0e54cdd6 (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:keepKeyOrdering:]
00007ffb0e54cdeb (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:keepKeyOrdering:noCopy:]
00007ffb0e54d3f1 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeFromBytes:length:recursionLevel:keepKeyOrdering:noCopy:]
00007ffb0e54d6a3 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType0And1FromBuffer:length:tag:]
00007ffb0e54db64 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType2And3FromBuffer:length:tag:indefiniteLenContainerType:noCopy:]
00007ffb0e54e3d8 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType4FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
00007ffb0e54e984 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
00007ffb0e54f1a4 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType6FromBuffer:length:tag:]
00007ffb0e54f548 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType7FromBuffer:length:tag:]
00007ffb0e54b5ee (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:]
00007ffb0e54b602 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:encodingKeyOrder:]
00007ffb0e554e4f (__TEXT,__text) non-external +[NSData(COSE) dataWithCOSE:]
00007ffb0e556d51 (__TEXT,__text) non-external +[NSData(COSEKey) dataWithCOSEKey:]
00007ffb0e551dc7 (__TEXT,__text) non-external -[CBOR .cxx_destruct]
00007ffb0e550409 (__TEXT,__text) non-external -[CBOR array]
00007ffb0e550219 (__TEXT,__text) non-external -[CBOR boolValue]
00007ffb0e551d98 (__TEXT,__text) non-external -[CBOR cachedHash]
00007ffb0e54facc (__TEXT,__text) non-external -[CBOR copyWithZone:]
00007ffb0e550373 (__TEXT,__text) non-external -[CBOR data]
00007ffb0e55049d (__TEXT,__text) non-external -[CBOR date]
00007ffb0e550b14 (__TEXT,__text) non-external -[CBOR description]
00007ffb0e550453 (__TEXT,__text) non-external -[CBOR dictionary]
00007ffb0e55015e (__TEXT,__text) non-external -[CBOR doubleValue]
00007ffb0e551ce3 (__TEXT,__text) non-external -[CBOR encodeToEmbeddedCBORData]
00007ffb0e54ffdf (__TEXT,__text) non-external -[CBOR hash]
00007ffb0e54ff1f (__TEXT,__text) non-external -[CBOR initWithCbor:tag:]
00007ffb0e54fb07 (__TEXT,__text) non-external -[CBOR initWithType:value:valueSize:tag:]
00007ffb0e5509fe (__TEXT,__text) non-external -[CBOR isBoolean]
00007ffb0e550a13 (__TEXT,__text) non-external -[CBOR isDate]
00007ffb0e550abc (__TEXT,__text) non-external -[CBOR isEmbeddedCBORData]
00007ffb0e54fff1 (__TEXT,__text) non-external -[CBOR isEqual:]
00007ffb0e5509e9 (__TEXT,__text) non-external -[CBOR isFloatNumber]
00007ffb0e5509cb (__TEXT,__text) non-external -[CBOR isWholeNumber]
00007ffb0e5500af (__TEXT,__text) non-external -[CBOR longLongValue]
00007ffb0e5501b2 (__TEXT,__text) non-external -[CBOR numeric]
00007ffb0e551dac (__TEXT,__text) non-external -[CBOR orderedKeys]
00007ffb0e551da2 (__TEXT,__text) non-external -[CBOR setCachedHash:]
00007ffb0e551db6 (__TEXT,__text) non-external -[CBOR setOrderedKeys:]
00007ffb0e551d58 (__TEXT,__text) non-external -[CBOR setTag:]
00007ffb0e551d73 (__TEXT,__text) non-external -[CBOR setValue:]
00007ffb0e551d8e (__TEXT,__text) non-external -[CBOR setValueSize:]
00007ffb0e550275 (__TEXT,__text) non-external -[CBOR string]
00007ffb0e551d4e (__TEXT,__text) non-external -[CBOR tag]
00007ffb0e551d44 (__TEXT,__text) non-external -[CBOR type]
00007ffb0e550104 (__TEXT,__text) non-external -[CBOR unsignedLongLongValue]
00007ffb0e551d84 (__TEXT,__text) non-external -[CBOR valueSize]
00007ffb0e551d69 (__TEXT,__text) non-external -[CBOR value]
00007ffb0e54ce94 (__TEXT,__text) non-external -[CBOR(Decoder) asJSON]
00007ffb0e5538c7 (__TEXT,__text) non-external -[COSE .cxx_destruct]
00007ffb0e552856 (__TEXT,__text) non-external -[COSE _parseCommonHeaderParameters:]
00007ffb0e5532f0 (__TEXT,__text) non-external -[COSE _searchForHeaderLabel:]
00007ffb0e55388b (__TEXT,__text) non-external -[COSE algorithmIdentifier]
00007ffb0e55389f (__TEXT,__text) non-external -[COSE contentType]
00007ffb0e552789 (__TEXT,__text) non-external -[COSE content]
00007ffb0e553895 (__TEXT,__text) non-external -[COSE criticalHeaderParameters]
00007ffb0e551fbc (__TEXT,__text) non-external -[COSE initWithCBOR:]
00007ffb0e551dfc (__TEXT,__text) non-external -[COSE initWithData:]
00007ffb0e551e56 (__TEXT,__text) non-external -[COSE initWithData:type:]
00007ffb0e5523b3 (__TEXT,__text) non-external -[COSE initWithProtectedHeaders:unprotectedHeaders:payload:type:additionalCBORs:]
00007ffb0e5538b3 (__TEXT,__text) non-external -[COSE initializationVector]
00007ffb0e5538a9 (__TEXT,__text) non-external -[COSE keyIdentifier]
00007ffb0e5538bd (__TEXT,__text) non-external -[COSE partialInitializationVector]
00007ffb0e552686 (__TEXT,__text) non-external -[COSE protectedHeaderParameters]
00007ffb0e553881 (__TEXT,__text) non-external -[COSE protectedHeadererDictionary]
00007ffb0e553926 (__TEXT,__text) non-external -[COSE setType:]
00007ffb0e5539c7 (__TEXT,__text) non-external -[COSE sourceObject]
00007ffb0e552827 (__TEXT,__text) non-external -[COSE tag]
00007ffb0e553877 (__TEXT,__text) non-external -[COSE type]
00007ffb0e552706 (__TEXT,__text) non-external -[COSE unprotectedHeaderParameters]
00007ffb0e556ccf (__TEXT,__text) non-external -[COSEKey .cxx_destruct]
00007ffb0e555e5c (__TEXT,__text) non-external -[COSEKey _initCBORWithMemberParams]
00007ffb0e556c9d (__TEXT,__text) non-external -[COSEKey algorithm]
00007ffb0e556cbb (__TEXT,__text) non-external -[COSEKey baseInitializationVector]
00007ffb0e556c0b (__TEXT,__text) non-external -[COSEKey ecCurveD]
00007ffb0e556ba5 (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
00007ffb0e556bc7 (__TEXT,__text) non-external -[COSEKey ecCurveX]
00007ffb0e556be9 (__TEXT,__text) non-external -[COSEKey ecCurveY]
00007ffb0e5539c7 (__TEXT,__text) non-external -[COSEKey getSource]
00007ffb0e556ca7 (__TEXT,__text) non-external -[COSEKey identifier]
00007ffb0e556750 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
00007ffb0e5568ea (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
00007ffb0e556a5a (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
00007ffb0e554efe (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
00007ffb0e554ea4 (__TEXT,__text) non-external -[COSEKey initWithData:]
00007ffb0e556c71 (__TEXT,__text) non-external -[COSEKey okpCurveD]
00007ffb0e556c2d (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
00007ffb0e556c4f (__TEXT,__text) non-external -[COSEKey okpCurveX]
00007ffb0e556cb1 (__TEXT,__text) non-external -[COSEKey operations]
00007ffb0e556cc5 (__TEXT,__text) non-external -[COSEKey symmetricKey]
00007ffb0e556c93 (__TEXT,__text) non-external -[COSEKey type]
00007ffb0e554e3c (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
00007ffb0e554d95 (__TEXT,__text) non-external -[COSE_Mac0 description]
00007ffb0e554b6a (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
00007ffb0e5547bc (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
00007ffb0e554a55 (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
00007ffb0e554e2b (__TEXT,__text) non-external -[COSE_Mac0 mac]
00007ffb0e5546d4 (__TEXT,__text) non-external -[COSE_Sign1 description]
00007ffb0e553b19 (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
00007ffb0e5539f7 (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
00007ffb0e554618 (__TEXT,__text) non-external -[COSE_Sign1 signature]
00007ffb0e553d78 (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
00007ffb0e554003 (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
00007ffb0e55433a (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
00007ffb0e5544d1 (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
00007ffb0e5542a8 (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
00007ffb0e55af0c (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00007ffb0e559db0 (__TEXT,__const) external _CBORLibraryVersionNumber
00007ffb0e559d80 (__TEXT,__const) external _CBORLibraryVersionString
00007ffb0e559de8 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
00007ffb0e559de9 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
00007ffb43441ba0 (__DATA,__data) external _COSEHeaderX509Bag
00007ffb43441ba8 (__DATA,__data) external _COSEHeaderX509Chain
00007ffb43441bb8 (__DATA,__data) external _COSEHeaderX509Hash
00007ffb43441bc0 (__DATA,__data) external _COSEHeaderX509HashSender
00007ffb43441bc8 (__DATA,__data) external _COSEHeaderX509Uri
00007ffb43441bd0 (__DATA,__data) external _COSEHeaderX509UriSender
00007ffb43441bb0 (__DATA,__data) external _COSEHeaderx509ChainSender
00007ffb43440ff0 (__DATA,__objc_data) external _OBJC_CLASS_$_CBOR
00007ffb43441040 (__DATA,__objc_data) external _OBJC_CLASS_$_COSE
00007ffb43441130 (__DATA,__objc_data) external _OBJC_CLASS_$_COSEKey
00007ffb434410e0 (__DATA,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
00007ffb43441090 (__DATA,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
00007ffb43440e10 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._cachedHash
00007ffb43440e18 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
00007ffb43440df8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
00007ffb43440df0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
00007ffb43440e00 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
00007ffb43440e08 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
00007ffb43440e38 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
00007ffb43440e20 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
00007ffb43440e48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
00007ffb43440e40 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
00007ffb43440e58 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
00007ffb43440e50 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
00007ffb43440e60 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
00007ffb43440e30 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
00007ffb43440e28 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
00007ffb43440ea0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
00007ffb43440eb8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
00007ffb43440e70 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
00007ffb43440e78 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
00007ffb43440ea8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
00007ffb43440eb0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
00007ffb43440e90 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
00007ffb43440e80 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
00007ffb43440e88 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
00007ffb43440ec0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
00007ffb43440e98 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
00007ffb43440e68 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
00007ffb43441018 (__DATA,__objc_data) external _OBJC_METACLASS_$_CBOR
00007ffb43441068 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSE
00007ffb43441158 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSEKey
00007ffb43441108 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
00007ffb434410b8 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffb434415a0 (__DATA,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00007ffb41205c48 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
00007ffb41205ee8 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
00007ffb41205fe0 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb43440ec8 (__DATA,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb412060b8 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb41205d40 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00007ffb0e557370 (__TEXT,__objc_methlist) non-external __INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb41205c20 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
00007ffb41205e80 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
00007ffb41205f78 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb41205dd0 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb41206070 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb41205cd8 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00007ffb41205bd8 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
00007ffb41205e38 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
00007ffb41205f30 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb41205d88 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb41206028 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb41205c90 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffb41206100 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
00007ffb0e557390 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00007ffb0e5574f8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
00007ffb0e557530 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00007ffb0e5576e0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
00007ffb0e5577a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
00007ffb0e557898 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
00007ffb0e5578e8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
00007ffb412064a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
00007ffb41206750 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
00007ffb41206b98 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
00007ffb41206ac8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
00007ffb41206568 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
00007ffb41206878 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
00007ffb41206d00 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
00007ffb41206af0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
00007ffb412069d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
00007ffb41206330 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00007ffb41206418 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ffb41206140 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
