00000001920b36c0 (__TEXT,__text) non-external +[CalAlarm alarm]
00000001920b822c (__TEXT,__text) non-external +[CalCalendar calendar]
00000001920bc0a4 (__TEXT,__text) non-external +[CalCalendarItem sortedAlarms:]
00000001920b7e54 (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportEventsErrorWithCalendarName:]
00000001920b8030 (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportTasksErrorWithCalendarName:]
00000001920b7c5c (__TEXT,__text) non-external +[CalCalendarStore _calendarNotEditableErrorWithCalendarName:isEvent:]
00000001920b7a10 (__TEXT,__text) non-external +[CalCalendarStore _calendarNotFoundWithCalendarName:isEvent:]
00000001920b2b0c (__TEXT,__text) non-external +[CalCalendarStore _dateFromPotentialNSCalendarDate:]
00000001920b25e8 (__TEXT,__text) non-external +[CalCalendarStore allocWithZone:]
00000001920b24ec (__TEXT,__text) non-external +[CalCalendarStore defaultCalendarStore]
00000001920b72c4 (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:UID:calendars:]
00000001920b2900 (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:calendars:]
00000001920b50d4 (__TEXT,__text) non-external +[CalCalendarStore requestAccessForEntityType:eventStore:]
00000001920b4fe4 (__TEXT,__text) non-external +[CalCalendarStore setDefaultCalendarStore:]
00000001920b7548 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithCalendars:]
00000001920b7668 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithTasksCompletedSince:calendars:]
00000001920b77a8 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasks:]
00000001920b78d0 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasksDueBefore:calendars:]
00000001920b7174 (__TEXT,__text) non-external +[CalCalendarStore toEKCalendarsFromCalCalendars:]
00000001920b9088 (__TEXT,__text) non-external +[CalEvent event]
00000001920b96fc (__TEXT,__text) non-external +[CalEvent sortedAttendees:]
00000001920baf24 (__TEXT,__text) non-external +[CalNthWeekDay nthWeekDayWithDayOfTheWeek:weekNumber:]
00000001920bafbc (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithEndDate:]
